時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,135,130,5,45,5,5,0,0
15,140,120,110,50,20,5,0,0
30,120,100,120,55,50,25,0,0
45,120,95,120,60,50,40,0,0
60,130,85,110,65,50,45,5,5
75,115,85,100,70,45,40,15,20
90,100,85,100,60,40,35,20,30
105,90,85,90,60,40,35,20,30
120,90,70,70,50,40,40,25,20
135,90,70,65,45,40,35,15,30
150,90,70,50,50,40,35,15,30
165,100,70,50,50,35,30,15,20
180,100,80,55,45,35,25,20,15
195,90,80,70,45,35,25,20,15
210,90,70,80,45,40,30,25,15
225,90,60,90,40,40,30,25,20
240,90,70,60,50,35,30,15,20
255,90,70,60,50,35,25,20,30
270,90,70,45,50,35,25,15,30
285,90,70,45,40,30,30,25,15
300,100,70,65,40,30,30,25,15
315,90,70,65,40,45,30,15,20
330,90,75,65,40,40,30,15,35
345,90,70,65,40,35,35,15,20
360,80,70,65,40,30,35,20,25
375,80,65,70,40,35,30,25,30
390,80,65,70,35,35,25,25,20
405,80,65,65,35,30,30,15,20
420,80,65,55,40,25,25,20,25
435,80,65,55,35,25,30,20,30
450,80,70,70,35,25,25,25,35
465,90,70,75,35,25,25,15,30
480,90,70,70,35,20,20,30,20
495,95,65,60,35,20,25,20,20
510,100,65,60,35,20,20,20,20
525,95,75,65,35,25,20,25,20
540,100,80,75,45,25,25,25,25
555,100,80,75,40,25,30,25,35
570,100,70,75,30,25,30,25,35
585,85,65,80,30,25,25,25,15
600,90,70,75,30,20,25,25,30
615,90,75,60,30,15,25,15,30
630,80,75,80,30,10,25,20,20
645,80,70,80,30,10,20,20,25
660,0,60,70,30,20,20,0,15
675,0,0,0,30,15,15,0,15
690,0,0,0,35,5,15,0,15
705,0,0,0,0,5,15,0,25
