時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,100,5,50,30,5,0,0
15,130,100,110,55,35,0,0,0
30,110,110,120,60,45,0,0,0
45,110,100,110,55,50,0,0,0
60,110,90,110,65,45,0,5,15
75,110,80,100,70,45,0,20,20
90,100,80,90,65,45,0,20,35
105,85,80,90,60,40,0,20,30
120,80,80,75,60,40,0,25,30
135,80,80,80,55,40,0,20,30
150,85,80,75,55,40,0,20,30
165,85,70,75,50,35,5,20,30
180,95,70,75,50,35,40,20,15
195,100,60,75,45,35,45,25,15
210,100,70,60,50,40,35,15,15
225,100,80,55,50,45,45,15,20
240,85,80,65,45,45,35,15,20
255,85,75,75,45,40,35,20,35
270,80,75,70,55,40,40,20,20
285,80,70,65,55,40,40,25,30
300,90,70,65,40,35,45,25,20
315,95,70,65,40,50,45,10,25
330,95,75,65,40,50,40,30,30
345,90,75,65,45,40,40,20,25
360,85,75,60,45,35,45,20,30
375,80,75,65,45,40,40,25,30
390,80,75,65,40,40,35,30,30
405,90,65,65,40,35,40,20,20
420,90,65,70,40,25,35,15,20
435,75,65,65,35,25,35,20,20
450,75,65,65,35,35,35,25,30
465,85,95,65,40,25,35,15,30
480,80,95,70,40,20,40,35,25
495,80,80,65,35,25,35,20,30
510,75,75,65,40,30,35,15,20
525,70,75,70,35,30,40,25,30
540,85,75,75,45,30,35,20,20
555,100,75,75,45,30,35,20,30
570,105,60,75,40,25,40,20,15
585,95,60,75,30,20,40,25,15
600,95,80,80,35,20,35,25,15
615,90,80,90,40,20,35,20,30
630,90,80,80,35,15,30,15,15
645,80,75,80,35,15,30,20,20
660,0,70,75,35,10,30,0,20
675,0,0,0,35,10,25,0,20
690,0,0,0,35,10,20,0,20
705,0,0,0,0,5,0,0,25
