時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,170,110,110,45,35,5,0,0
15,170,130,100,60,30,5,0,0
30,150,130,95,65,45,40,0,0
45,140,120,95,70,55,45,0,0
60,130,120,100,80,60,45,5,5
75,140,120,100,80,60,45,20,35
90,140,110,100,85,60,50,20,35
105,140,110,100,80,60,50,25,45
120,120,100,110,75,70,55,25,35
135,120,100,110,75,50,55,30,40
150,120,100,110,85,50,55,30,40
165,120,100,110,85,50,55,15,35
180,115,100,110,75,55,45,20,40
195,120,110,75,75,55,45,25,35
210,130,110,70,75,50,40,25,40
225,130,90,80,75,55,45,30,35
240,130,90,90,65,50,45,15,35
255,115,90,90,75,45,45,15,35
270,115,90,90,75,45,45,20,20
285,120,100,90,70,50,45,20,30
300,120,100,90,70,60,50,25,45
315,125,100,90,70,55,50,30,45
330,130,110,90,75,50,50,35,45
345,130,110,100,75,55,50,35,45
360,130,110,110,70,45,45,40,35
375,130,110,100,70,50,40,25,35
390,130,105,100,70,50,40,30,35
405,130,105,100,70,50,40,30,35
420,130,95,90,70,45,40,35,20
435,130,95,90,75,45,40,30,35
450,130,110,90,70,45,45,25,45
465,140,100,90,65,50,45,25,45
480,140,110,100,60,45,45,30,45
495,150,110,100,55,45,45,20,35
510,150,100,100,60,40,45,20,35
525,150,90,110,60,40,40,25,30
540,150,100,110,70,45,40,30,35
555,150,120,100,65,45,40,30,35
570,150,110,90,65,50,40,20,20
585,140,90,90,65,45,40,20,30
600,130,90,90,60,35,35,15,30
615,120,90,90,55,35,40,15,20
630,0,95,100,55,35,40,15,35
645,0,95,0,60,40,40,20,30
660,0,0,0,70,40,40,0,30
675,0,0,0,65,35,30,0,35
690,0,0,0,0,30,0,0,20
705,0,0,0,0,0,0,0,35
