時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,200,120,120,0,35,25,0,0
15,200,120,130,0,55,30,0,0
30,180,135,130,0,55,45,0,0
45,170,140,140,0,60,60,0,0
60,170,130,140,0,60,70,5,5
75,170,130,140,0,90,60,5,35
90,170,130,140,0,80,60,30,45
105,170,140,140,0,70,70,25,50
120,170,120,140,0,70,65,25,35
135,160,110,130,0,60,65,30,35
150,150,120,130,0,60,65,15,30
165,140,140,130,0,60,70,30,30
180,140,140,110,40,55,60,20,30
195,140,130,110,100,50,55,25,30
210,130,125,110,100,50,55,25,35
225,130,125,90,90,50,55,15,30
240,150,120,80,90,50,55,20,30
255,150,120,90,90,50,45,15,30
270,150,120,90,90,50,50,20,35
285,150,100,70,90,50,50,20,35
300,150,100,90,95,65,40,25,35
315,140,100,90,95,60,40,30,35
330,125,95,110,95,60,50,30,35
345,125,95,110,95,60,55,35,35
360,150,130,100,90,60,50,40,35
375,150,130,100,90,60,55,25,45
390,150,120,100,90,55,55,25,45
405,150,120,90,85,55,55,30,45
420,150,110,90,85,50,50,35,40
435,150,120,90,85,50,45,30,40
450,160,120,90,90,50,45,25,45
465,160,110,100,85,50,45,50,35
480,160,100,100,85,50,45,30,35
495,160,110,110,85,45,45,25,35
510,170,110,0,85,45,45,25,20
525,155,110,80,85,45,45,25,35
540,160,120,130,90,50,45,20,40
555,150,120,120,90,50,45,25,45
570,140,100,80,90,45,50,20,45
585,130,90,100,90,45,50,25,30
600,130,100,100,85,40,45,15,35
615,130,100,100,80,40,45,20,20
630,115,100,100,75,40,45,20,45
645,0,90,0,75,40,35,25,35
660,0,0,0,75,35,40,0,35
675,0,0,0,70,30,40,0,30
690,0,0,0,0,0,0,0,40
705,0,0,0,0,0,0,0,0
