時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,0,130,70,40,5,0,0
15,120,0,130,75,50,30,0,0
30,120,0,110,75,50,55,0,0
45,120,0,110,75,55,60,0,0
60,120,0,110,75,55,50,30,30
75,115,0,110,75,60,50,20,30
90,115,0,110,70,60,60,20,35
105,110,0,110,70,60,60,15,40
120,110,110,100,70,55,60,25,35
135,110,90,90,70,55,50,30,30
150,110,80,90,65,55,50,15,30
165,110,75,100,65,55,50,15,25
180,110,80,100,75,50,50,20,20
195,115,90,80,80,45,45,25,30
210,115,105,80,80,50,45,25,30
225,115,105,90,80,50,45,15,30
240,110,100,90,75,50,50,15,45
255,110,95,100,70,50,50,20,35
270,110,85,90,70,50,60,20,35
285,105,85,90,75,50,50,20,35
300,105,90,80,70,60,50,30,35
315,105,95,90,70,60,50,30,30
330,110,100,100,75,55,50,40,35
345,120,95,100,75,55,50,35,40
360,120,95,100,75,45,45,20,40
375,115,105,100,70,45,45,25,30
390,105,105,90,70,45,50,30,30
405,105,105,90,70,50,50,15,30
420,110,105,90,60,50,50,15,25
435,110,100,90,60,50,50,25,30
450,120,100,100,70,50,50,30,45
465,130,100,100,70,50,45,20,50
480,130,110,110,70,45,35,35,45
495,130,115,110,65,40,35,40,35
510,130,110,110,65,40,40,20,35
525,145,110,110,65,50,40,30,35
540,150,110,110,70,50,40,30,45
555,145,100,120,70,50,35,25,30
570,135,90,110,65,45,45,20,25
585,130,100,100,65,45,50,30,30
600,0,100,110,65,40,40,25,35
615,0,100,110,65,40,30,30,30
630,0,0,0,65,40,30,20,30
645,0,0,0,70,40,40,30,35
660,0,0,0,70,40,40,0,35
675,0,0,0,0,0,40,0,35
690,0,0,0,0,0,0,0,35
705,0,0,0,0,0,0,0,35
