時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,160,130,110,60,30,5,0,0
15,150,130,100,65,35,5,0,0
30,150,140,100,70,45,15,0,0
45,140,130,100,70,50,40,0,0
60,140,120,110,70,55,40,5,5
75,160,120,110,70,50,40,20,30
90,150,100,100,65,45,40,20,30
105,130,90,100,65,45,35,30,30
120,120,80,80,65,45,35,20,20
135,120,70,70,60,45,35,15,30
150,120,70,70,55,45,35,15,15
165,110,65,65,55,40,35,15,20
180,110,80,60,50,40,35,25,15
195,110,90,50,45,40,35,20,15
210,100,90,50,50,40,35,20,15
225,90,80,60,50,40,30,15,20
240,90,80,60,55,40,30,15,20
255,90,80,55,55,35,30,15,20
270,90,80,65,50,35,30,20,20
285,105,65,70,45,35,30,25,30
300,95,65,65,45,40,30,25,30
315,85,80,55,45,45,35,15,30
330,100,85,70,50,40,35,25,30
345,100,85,75,50,40,30,25,35
360,100,75,70,55,35,30,15,35
375,100,80,70,55,35,30,25,35
390,100,80,60,50,40,30,30,30
405,100,80,65,45,40,35,30,30
420,100,75,65,45,35,30,15,20
435,85,75,65,40,35,30,20,25
450,90,75,70,45,35,30,25,40
465,90,75,70,45,35,30,45,30
480,100,75,70,45,35,30,35,30
495,100,75,65,40,35,30,30,30
510,95,75,65,40,35,25,20,30
525,110,70,65,40,30,25,25,20
540,115,90,65,45,25,25,20,30
555,115,90,70,45,30,25,15,35
570,115,85,70,45,30,30,20,20
585,110,70,70,40,30,30,25,20
600,105,70,70,35,25,25,25,20
615,90,70,65,40,25,25,15,20
630,90,80,65,45,20,25,15,30
645,0,80,65,40,20,25,25,15
660,0,0,0,30,5,20,0,15
675,0,0,0,30,10,20,0,20
690,0,0,0,30,10,20,0,15
705,0,0,0,20,5,0,0,25
