時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,140,120,110,55,20,20,0,0
15,120,120,110,65,20,15,0,0
30,120,120,100,60,35,35,0,0
45,110,110,80,55,45,40,0,0
60,110,90,80,55,45,45,15,15
75,90,80,80,50,45,40,20,20
90,90,70,70,50,40,35,20,20
105,90,70,70,50,40,40,25,20
120,95,55,65,45,40,40,25,20
135,95,55,65,45,35,40,15,15
150,95,55,70,45,30,20,20,15
165,0,65,70,50,30,10,20,15
180,0,65,75,50,30,10,20,15
195,50,65,70,50,30,20,20,15
210,75,65,65,45,30,30,25,15
225,80,65,65,35,30,30,15,10
240,90,65,65,35,30,30,30,15
255,95,65,65,40,25,30,15,25
270,95,75,65,40,25,20,20,25
285,95,80,70,35,25,20,25,25
300,95,80,70,40,25,20,25,20
315,95,70,75,40,30,20,25,15
330,95,70,70,40,40,20,15,30
345,95,65,70,40,40,15,20,30
360,90,60,55,40,30,15,25,35
375,85,60,55,35,15,20,25,20
390,85,70,60,35,15,25,15,20
405,75,70,60,35,15,20,15,20
420,75,70,60,30,15,15,15,20
435,75,75,55,30,20,5,20,15
450,80,75,65,30,20,5,15,30
465,80,70,65,30,20,5,15,20
480,80,70,65,25,10,5,30,30
495,55,55,65,25,10,5,20,20
510,45,55,60,25,5,5,20,20
525,45,60,60,25,5,5,25,25
540,65,60,60,20,10,5,15,20
555,70,60,55,20,5,5,20,20
570,70,60,55,20,5,5,20,15
585,60,45,50,20,5,5,25,15
600,60,45,50,20,5,5,25,15
615,50,45,55,15,5,0,15,20
630,50,35,80,10,5,0,20,15
645,50,35,80,10,5,0,25,15
660,45,35,80,10,5,0,0,15
675,40,45,40,10,5,0,0,20
690,40,40,30,10,5,5,0,20
705,0,20,0,5,5,5,0,20
