時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,90,80,80,40,30,10,0,0
15,90,85,90,45,30,5,0,0
30,95,80,75,45,20,20,0,0
45,90,75,70,45,25,20,0,0
60,85,60,70,45,30,25,10,5
75,65,50,55,40,35,25,25,20
90,65,45,55,40,35,25,20,20
105,60,55,55,35,30,25,25,20
120,60,55,45,30,30,25,25,20
135,50,50,45,30,30,25,15,20
150,55,45,50,30,25,25,15,20
165,50,45,45,35,20,20,20,20
180,50,45,40,40,20,15,20,15
195,45,40,50,35,20,20,25,15
210,45,40,50,35,20,20,25,15
225,55,50,55,30,20,20,15,20
240,60,55,60,25,20,15,15,15
255,60,50,50,30,20,15,15,15
270,45,50,45,0,20,15,20,20
285,50,45,45,0,20,15,25,20
300,55,45,40,0,20,10,25,20
315,50,55,40,0,25,15,15,20
330,55,60,55,0,35,20,15,20
345,60,60,60,10,30,20,20,30
360,55,60,60,30,20,20,20,20
375,50,55,50,35,15,20,25,25
390,45,50,35,35,10,15,15,20
405,50,45,35,35,15,15,15,15
420,55,40,40,35,15,5,15,30
435,50,50,50,35,15,10,25,20
450,50,50,45,25,15,15,15,20
465,50,50,45,25,15,20,20,20
480,45,45,40,25,10,15,40,20
495,50,45,35,25,5,10,20,20
510,55,50,40,25,5,5,25,20
525,60,55,50,25,10,10,25,15
540,60,60,45,30,15,15,15,30
555,60,55,45,30,20,15,15,15
570,60,50,50,25,15,15,20,20
585,55,50,40,25,10,10,25,15
600,60,45,40,25,5,10,25,20
615,60,40,45,20,5,10,20,20
630,60,50,50,15,5,10,15,20
645,55,50,55,20,5,10,25,20
660,0,50,50,25,5,5,0,15
675,0,45,45,20,5,5,0,15
690,0,0,0,20,10,5,0,15
705,0,0,0,15,10,5,0,25
