時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,170,120,90,5,50,20,0,0
15,140,130,100,0,45,25,0,0
30,130,130,120,0,45,45,0,0
45,130,120,120,25,50,45,0,0
60,110,100,120,60,50,45,5,15
75,110,100,120,75,50,40,15,20
90,120,90,110,80,50,45,20,20
105,110,90,110,80,50,45,25,35
120,110,90,90,80,50,40,25,30
135,110,90,80,75,50,40,15,20
150,105,90,80,80,45,40,15,30
165,100,90,80,80,50,40,20,30
180,110,90,60,75,45,35,20,30
195,110,90,50,70,45,35,25,30
210,110,90,60,70,45,35,30,20
225,110,90,80,65,50,40,20,25
240,110,85,90,65,50,35,15,35
255,105,85,80,70,40,35,25,35
270,100,85,80,70,40,35,20,20
285,100,85,80,70,40,40,25,30
300,0,0,0,0,0,0,0,0
315,110,95,80,70,55,40,20,30
330,120,95,80,70,50,40,20,45
345,130,90,70,60,45,40,15,45
360,130,90,70,60,50,35,20,30
375,120,95,75,65,40,35,25,35
390,110,95,75,65,45,40,30,35
405,100,95,75,65,50,40,15,40
420,100,90,80,65,45,45,20,35
435,100,90,90,60,45,40,20,35
450,110,100,90,60,40,40,25,40
465,130,100,90,60,40,40,15,40
480,140,95,70,60,40,35,35,20
495,140,90,70,55,40,30,20,30
510,140,85,65,55,40,40,20,30
525,140,85,65,55,40,30,25,30
540,130,85,80,55,35,40,25,45
555,130,90,90,60,40,40,15,20
570,130,90,90,55,35,35,20,20
585,130,90,90,55,35,40,25,20
600,130,90,90,50,35,35,25,20
615,110,95,90,50,40,30,15,20
630,0,0,90,50,35,30,15,35
645,0,0,0,50,35,35,25,30
660,0,0,0,50,35,35,0,30
675,0,0,0,50,30,35,0,30
690,0,0,0,45,0,25,0,20
705,0,0,0,0,0,25,0,0
