時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,160,130,100,60,35,10,0,0
30,140,130,100,60,45,30,0,0
45,140,120,100,60,50,45,0,0
60,120,110,100,60,50,45,25,0
75,110,95,90,60,45,45,20,0
90,110,85,90,65,45,40,25,0
105,80,70,70,60,45,40,15,0
120,95,75,65,55,45,40,15,0
135,100,75,65,50,45,40,15,0
150,100,65,70,50,45,35,15,0
165,100,65,70,45,40,35,15,0
180,100,70,70,40,40,35,15,0
195,100,80,70,40,40,45,25,0
210,100,70,70,50,40,40,25,0
225,100,70,80,50,40,40,10,0
240,95,80,80,50,40,35,15,0
255,95,80,80,50,40,35,20,0
270,90,80,65,45,35,35,25,0
285,90,80,65,45,35,35,25,0
300,100,50,65,40,40,35,25,0
315,100,60,65,45,45,40,15,0
330,100,70,80,45,40,45,15,0
345,100,70,80,50,40,40,20,0
360,100,75,65,45,40,35,20,0
375,95,70,60,40,40,35,25,0
390,90,70,60,40,40,40,20,0
405,90,70,55,40,35,40,15,0
420,90,70,60,35,35,35,20,0
435,90,70,60,40,35,35,20,0
450,90,75,70,45,30,35,25,0
465,90,75,70,45,30,35,15,0
480,100,75,60,35,30,30,35,0
495,100,75,60,35,35,30,20,0
510,100,70,60,40,25,30,25,0
525,100,70,65,40,25,35,15,0
540,100,80,75,40,30,35,25,0
555,105,80,75,40,40,35,20,0
570,105,80,75,35,35,30,25,0
585,105,70,75,35,30,30,30,0
600,100,70,75,40,25,25,15,0
615,90,70,75,40,20,25,25,0
630,0,70,80,35,20,25,25,0
645,0,70,0,30,25,25,20,0
660,0,0,0,30,25,25,0,0
675,0,0,0,35,15,25,0,0
690,0,0,0,0,10,25,0,0
705,0,0,0,0,5,0,0,0
