時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
09:00,90,80,5,55,5,5,0,5,4,Friday,False
09:15,90,80,60,60,10,5,0,20,4,Friday,False
09:30,90,80,45,50,25,20,0,20,4,Friday,False
09:45,100,90,40,40,45,40,0,20,4,Friday,False
10:00,80,85,35,40,40,40,5,20,4,Friday,False
10:15,80,85,35,55,55,40,15,20,4,Friday,False
10:30,85,70,35,50,55,45,20,20,4,Friday,False
10:45,75,50,45,35,45,20,25,25,4,Friday,False
11:00,75,35,45,45,35,30,25,30,4,Friday,False
11:15,75,45,45,45,30,30,20,30,4,Friday,False
11:30,60,50,35,50,30,35,15,15,4,Friday,False
11:45,55,50,35,45,40,35,20,30,4,Friday,False
12:00,55,50,40,45,40,35,20,20,4,Friday,False
12:15,60,50,40,45,20,35,25,20,4,Friday,False
12:30,65,50,40,40,25,35,25,30,4,Friday,False
12:45,65,50,35,40,30,40,15,20,4,Friday,False
13:00,60,45,35,35,35,40,15,30,4,Friday,False
13:15,50,50,35,35,35,35,15,20,4,Friday,False
13:30,45,55,35,35,40,30,25,30,4,Friday,False
13:45,60,55,40,40,25,30,20,30,4,Friday,False
14:00,65,55,40,35,25,40,25,30,4,Friday,False
14:15,75,45,35,35,25,40,15,20,4,Friday,False
14:30,60,45,30,35,30,45,15,20,4,Friday,False
14:45,60,55,30,35,40,40,15,30,4,Friday,False
15:00,60,65,45,40,30,35,20,30,4,Friday,False
15:15,55,65,40,40,20,25,20,30,4,Friday,False
15:30,60,65,35,30,25,25,25,30,4,Friday,False
15:45,60,55,35,35,30,35,30,20,4,Friday,False
16:00,50,50,30,35,25,35,30,30,4,Friday,False
16:15,50,45,30,30,20,35,15,30,4,Friday,False
16:30,50,45,35,25,15,35,20,15,4,Friday,False
16:45,50,50,35,25,10,35,20,20,4,Friday,False
17:00,50,55,30,20,5,25,25,20,4,Friday,False
17:15,60,70,30,30,10,25,25,20,4,Friday,False
17:30,70,55,35,40,35,20,15,20,4,Friday,False
17:45,65,55,35,35,30,20,20,15,4,Friday,False
18:00,60,50,35,25,20,30,20,15,4,Friday,False
18:15,50,50,35,25,25,35,25,30,4,Friday,False
