時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
09:00,125,105,55,25,5,5,0,15,6,Sunday,False
09:15,135,115,60,60,10,10,0,20,6,Sunday,False
09:30,150,125,80,70,30,35,0,15,6,Sunday,False
09:45,145,135,80,75,45,50,0,20,6,Sunday,False
10:00,140,125,85,75,55,50,15,35,6,Sunday,False
10:15,140,110,85,70,60,45,15,45,6,Sunday,False
10:30,110,100,75,60,50,50,20,45,6,Sunday,False
10:45,100,90,75,60,45,50,25,20,6,Sunday,False
11:00,80,85,70,55,45,45,25,20,6,Sunday,False
11:15,85,80,60,60,45,45,35,25,6,Sunday,False
11:30,95,80,50,60,40,35,30,30,6,Sunday,False
11:45,95,70,50,60,40,35,20,30,6,Sunday,False
12:00,105,60,45,55,40,35,20,30,6,Sunday,False
12:15,100,60,45,55,50,35,25,30,6,Sunday,False
12:30,85,80,45,50,60,45,25,35,6,Sunday,False
12:45,0,0,0,0,0,0,0,0,6,Sunday,False
13:00,90,75,65,45,60,50,20,35,6,Sunday,False
13:15,90,85,65,50,40,45,20,30,6,Sunday,False
13:30,95,65,60,60,30,40,20,20,6,Sunday,False
13:45,90,80,60,55,40,35,20,20,6,Sunday,False
14:00,0,85,65,50,50,45,25,30,6,Sunday,False
14:15,0,80,60,45,55,45,30,45,6,Sunday,False
14:30,0,75,65,50,40,45,20,45,6,Sunday,False
14:45,0,75,65,50,45,45,15,35,6,Sunday,False
15:00,0,65,60,55,40,50,20,35,6,Sunday,False
15:15,0,65,65,55,25,45,20,35,6,Sunday,False
15:30,40,85,70,55,45,45,25,35,6,Sunday,False
15:45,70,95,120,60,55,45,15,35,6,Sunday,False
16:00,85,105,110,55,60,45,30,45,6,Sunday,False
16:15,85,80,100,50,55,45,20,45,6,Sunday,False
16:30,110,80,60,55,50,50,35,45,6,Sunday,False
16:45,110,80,50,50,45,50,20,45,6,Sunday,False
17:00,130,80,55,50,45,55,25,55,6,Sunday,False
17:15,130,80,70,50,40,65,30,30,6,Sunday,False
17:30,110,95,65,40,45,65,30,15,6,Sunday,False
17:45,100,90,65,40,50,60,15,20,6,Sunday,False
18:00,85,85,65,50,50,45,20,35,6,Sunday,False
18:15,85,55,55,50,35,35,15,20,6,Sunday,False
18:30,90,55,60,40,25,35,25,30,6,Sunday,False
18:45,85,55,55,30,25,35,15,30,6,Sunday,False
19:00,80,55,45,35,25,30,15,20,6,Sunday,False
19:15,75,50,30,25,20,20,20,15,6,Sunday,False
19:30,70,45,35,25,5,15,20,15,6,Sunday,False
19:45,60,35,35,30,5,10,15,15,6,Sunday,False
20:00,50,40,35,20,5,5,25,15,6,Sunday,False
20:15,0,0,0,35,15,20,15,15,6,Sunday,False
20:30,0,0,0,30,20,30,20,15,6,Sunday,False
20:45,0,0,0,0,20,0,0,20,6,Sunday,False
09:00,115,110,50,40,5,5,0,15,0,Monday,False
09:15,130,120,70,60,10,15,0,35,0,Monday,False
09:30,140,120,60,75,40,35,0,35,0,Monday,False
09:45,140,110,50,75,55,45,0,20,0,Monday,False
10:00,135,105,65,65,55,55,5,40,0,Monday,False
10:15,125,105,60,65,60,55,15,35,0,Monday,False
10:30,0,0,0,0,0,0,0,0,0,Monday,False
10:45,95,95,75,75,60,45,20,35,0,Monday,False
11:00,85,95,75,95,60,55,25,30,0,Monday,False
11:15,90,100,75,75,50,50,25,30,0,Monday,False
11:30,95,85,75,75,45,55,30,30,0,Monday,False
11:45,95,80,45,80,45,55,20,30,0,Monday,False
12:00,90,80,50,70,45,50,20,30,0,Monday,False
12:15,100,80,60,65,45,45,30,35,0,Monday,False
12:30,105,75,70,55,50,45,25,30,0,Monday,False
12:45,95,65,60,60,50,40,25,35,0,Monday,False
13:00,90,75,60,70,55,45,35,35,0,Monday,False
13:15,95,85,50,75,60,45,30,30,0,Monday,False
13:30,0,0,0,0,0,0,0,0,0,Monday,False
13:45,95,85,60,80,50,55,20,25,0,Monday,False
14:00,95,85,60,75,50,60,25,30,0,Monday,False
14:15,95,85,60,65,55,60,30,35,0,Monday,False
14:30,95,85,65,65,55,60,30,35,0,Monday,False
14:45,90,85,60,75,45,50,35,20,0,Monday,False
15:00,90,85,60,75,50,55,20,35,0,Monday,False
15:15,85,90,65,75,50,65,25,35,0,Monday,False
15:30,105,90,65,70,50,65,25,20,0,Monday,False
15:45,105,100,60,70,50,65,30,35,0,Monday,False
16:00,100,100,70,70,55,65,30,30,0,Monday,False
16:15,100,70,60,75,55,70,25,40,0,Monday,False
16:30,95,75,60,80,45,55,20,40,0,Monday,False
16:45,85,80,60,80,40,45,20,35,0,Monday,False
17:00,95,90,60,80,45,50,25,35,0,Monday,False
17:15,100,95,70,75,50,55,15,40,0,Monday,False
17:30,100,95,65,65,50,50,20,35,0,Monday,False
17:45,110,100,60,65,50,60,15,35,0,Monday,False
18:00,90,100,60,65,50,60,15,35,0,Monday,False
18:15,90,80,70,65,50,40,25,20,0,Monday,False
18:30,85,70,70,65,30,40,15,20,0,Monday,False
18:45,90,60,70,65,25,40,15,30,0,Monday,False
19:00,85,50,60,65,30,45,15,20,0,Monday,False
19:15,85,45,50,50,30,35,15,15,0,Monday,False
19:30,75,40,50,35,20,15,20,15,0,Monday,False
19:45,65,40,50,35,5,25,20,15,0,Monday,False
20:00,50,40,40,45,5,25,25,15,0,Monday,False
20:15,0,45,50,45,20,20,15,15,0,Monday,False
20:30,0,0,45,35,30,35,15,15,0,Monday,False
20:45,0,0,0,0,15,0,0,20,0,Monday,False
09:00,80,70,30,30,5,5,0,15,1,Tuesday,False
