時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
09:00,65,5,5,20,5,5,0,15,2,Wednesday,False
09:15,100,80,20,40,5,5,0,20,2,Wednesday,False
09:30,120,100,35,55,30,10,0,15,2,Wednesday,False
09:45,120,100,85,70,60,45,0,20,2,Wednesday,False
10:00,115,110,90,85,90,55,0,35,2,Wednesday,False
10:15,125,105,90,100,90,60,0,45,2,Wednesday,False
10:30,130,105,90,100,80,60,0,45,2,Wednesday,False
10:45,110,110,80,100,70,60,0,35,2,Wednesday,False
11:00,110,110,80,95,75,60,0,40,2,Wednesday,False
11:15,105,110,80,0,80,60,0,35,2,Wednesday,False
11:30,120,110,75,0,80,70,0,45,2,Wednesday,False
11:45,110,100,85,0,80,70,0,45,2,Wednesday,False
12:00,110,100,85,0,80,75,0,45,2,Wednesday,False
12:15,120,110,95,0,95,75,0,45,2,Wednesday,False
12:30,120,100,100,0,95,75,0,60,2,Wednesday,False
12:45,120,100,100,0,95,80,0,45,2,Wednesday,False
13:00,130,110,100,40,100,85,0,60,2,Wednesday,False
13:15,120,110,110,90,95,65,0,35,2,Wednesday,False
13:30,100,110,90,110,90,65,0,50,2,Wednesday,False
13:45,100,110,90,100,85,65,0,45,2,Wednesday,False
14:00,120,105,85,100,85,65,0,50,2,Wednesday,False
14:15,120,100,85,90,90,75,0,50,2,Wednesday,False
14:30,130,100,85,100,100,75,0,60,2,Wednesday,False
14:45,130,100,80,110,110,75,0,60,2,Wednesday,False
15:00,130,100,85,100,100,75,0,50,2,Wednesday,False
15:15,120,120,90,85,100,65,0,50,2,Wednesday,False
15:30,120,120,85,85,100,70,0,50,2,Wednesday,False
15:45,120,120,80,85,100,75,0,50,2,Wednesday,False
16:00,130,115,85,90,90,75,0,60,2,Wednesday,False
16:15,140,115,95,95,85,75,0,50,2,Wednesday,False
16:30,140,115,95,100,85,75,0,60,2,Wednesday,False
16:45,130,105,85,110,75,75,0,65,2,Wednesday,False
17:00,130,105,85,110,75,70,0,75,2,Wednesday,False
17:15,130,105,95,110,90,70,0,45,2,Wednesday,False
17:30,130,105,100,100,100,70,0,50,2,Wednesday,False
