,Unnamed: 0,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705
2,ソアリン,112.5,130.0,130.0,130.0,120.0,110.0,100.0,90.0,90.0,90.0,90.0,90.0,95.0,95.0,90.0,90.0,90.0,85.0,85.0,85.0,85.0,85.0,90.0,85.0,85.0,85.0,87.5,90.0,90.0,85.0,85.0,90.0,90.0,90.0,95.0,95.0,95.0,90.0,90.0,90.0,85.0,80.0,70.0,65.0,40.0,0.0,0.0,0.0
5,トイストーリーマニア,90.0,110.0,110.0,100.0,100.0,90.0,82.5,80.0,75.0,70.0,67.5,65.0,65.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,65.0,70.0,70.0,70.0,70.0,75.0,75.0,70.0,65.0,65.0,65.0,55.0,50.0,40.0,30.0,0.0,0.0
3,タワーオブテラー,45.0,65.0,70.0,70.0,70.0,65.0,60.0,60.0,60.0,60.0,55.0,55.0,55.0,50.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,50.0,50.0,50.0,52.5,50.0,52.5,50.0,50.0,55.0,55.0,55.0,55.0,50.0,50.0,45.0,50.0,45.0,40.0,20.0,0.0,0.0
1,センターオブジアース,37.5,50.0,60.0,57.5,55.0,55.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,45.0,50.0,47.5,50.0,50.0,45.0,45.0,45.0,45.0,45.0,42.5,45.0,47.5,45.0,45.0,42.5,40.0,40.0,40.0,37.5,35.0,30.0,25.0,22.5,20.0,0.0
0,インディージョーンズ,10.0,15.0,35.0,45.0,45.0,45.0,40.0,40.0,40.0,40.0,40.0,40.0,35.0,37.5,40.0,35.0,40.0,35.0,35.0,35.0,35.0,42.5,40.0,40.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,30.0,25.0,30.0,30.0,30.0,30.0,30.0,27.5,25.0,25.0,20.0,15.0,15.0,10.0,5.0,5.0,5.0
7,レイジングスピリッツ,5.0,5.0,20.0,35.0,40.0,40.0,35.0,35.0,35.0,35.0,32.5,30.0,30.0,30.0,30.0,30.0,35.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,35.0,35.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,20.0,15.0,15.0,10.0,5.0,5.0
6,マジックランプシアター,0.0,0.0,0.0,0.0,5.0,20.0,20.0,25.0,25.0,25.0,15.0,20.0,25.0,25.0,25.0,20.0,20.0,25.0,20.0,25.0,25.0,20.0,20.0,25.0,20.0,25.0,30.0,20.0,20.0,25.0,25.0,25.0,30.0,20.0,20.0,25.0,20.0,25.0,25.0,20.0,20.0,15.0,20.0,20.0,0.0,0.0,0.0,0.0
4,タートルトーク,0.0,2.5,0.0,7.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,25.0,25.0,30.0,30.0,30.0,30.0,22.5,20.0,30.0,20.0,20.0,22.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,20.0,15.0,15.0,15.0,15.0,20.0
