,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720
ソアリン,586,0,0,3,0,0,149,0,0,99,0,0,66,0,0,100,0,0,144,0,0,179,0,0,137,0,0,168,0,0,165,0,0,166,0,0,159,0,0,170,0,0,177,0,0,204,0,0,222,0,0,195,0,0,167,0,0,194,0,0,174,0,0,192,0,0,159,0,0,182,0,0,167,0,0,180,0,0,174,0,0,239,0,0,245,0,0,136,0,0,138,0,0,135,0,0,118,0,0,129,0,0,154,0,0,137,0,0,137,0,0,100,0,0,121,0,0,109,0,0,77,0,0,92,0,0,121,0,0,302,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0
トイストーリーマニア,570,0,0,4,0,0,230,0,0,104,0,0,143,0,0,131,0,0,172,0,0,123,0,0,161,0,0,159,0,0,171,0,0,180,0,0,185,0,0,215,0,0,193,0,0,162,0,0,177,0,0,192,0,0,196,0,0,174,0,0,208,0,0,159,0,0,151,0,0,150,0,0,198,0,0,155,0,0,144,0,0,158,0,0,134,0,0,136,0,0,116,0,0,139,0,0,131,0,0,152,0,0,242,0,0,179,0,0,140,0,0,218,0,0,163,0,0,127,0,0,146,0,0,113,0,0,40,0,0,74,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0
タワーオブテラー,1617,0,0,5,0,0,589,0,0,309,0,0,387,0,0,381,0,0,344,0,0,333,0,0,281,0,0,448,0,0,416,0,0,361,0,0,372,0,0,415,0,0,386,0,0,400,0,0,403,0,0,475,0,0,405,0,0,324,0,0,394,0,0,510,0,0,359,0,0,474,0,0,393,0,0,387,0,0,388,0,0,371,0,0,417,0,0,415,0,0,395,0,0,424,0,0,431,0,0,400,0,0,409,0,0,405,0,0,390,0,0,333,0,0,362,0,0,423,0,0,360,0,0,366,0,0,279,0,0,266,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0
センターオブジアース,1204,0,0,9,0,0,765,0,0,467,0,0,397,0,0,485,0,0,407,0,0,325,0,0,358,0,0,424,0,0,389,0,0,328,0,0,388,0,0,460,0,0,413,0,0,377,0,0,377,0,0,397,0,0,395,0,0,423,0,0,478,0,0,502,0,0,457,0,0,451,0,0,476,0,0,443,0,0,431,0,0,452,0,0,465,0,0,492,0,0,507,0,0,499,0,0,512,0,0,447,0,0,516,0,0,531,0,0,439,0,0,516,0,0,450,0,0,435,0,0,510,0,0,454,0,0,435,0,0,340,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0
インディジョーンズ,2908,0,0,7,0,0,1259,0,0,672,0,0,473,0,0,535,0,0,603,0,0,473,0,0,445,0,0,614,0,0,566,0,0,543,0,0,581,0,0,705,0,0,572,0,0,587,0,0,627,0,0,581,0,0,646,0,0,588,0,0,651,0,0,560,0,0,542,0,0,551,0,0,630,0,0,696,0,0,617,0,0,561,0,0,589,0,0,638,0,0,593,0,0,654,0,0,715,0,0,810,0,0,708,0,0,589,0,0,624,0,0,671,0,0,708,0,0,589,0,0,639,0,0,780,0,0,760,0,0,920,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0
レイジングスピリッツ,2278,0,0,4,0,0,1278,0,0,517,0,0,404,0,0,515,0,0,542,0,0,403,0,0,393,0,0,480,0,0,462,0,0,402,0,0,444,0,0,556,0,0,512,0,0,447,0,0,418,0,0,503,0,0,505,0,0,562,0,0,470,0,0,472,0,0,491,0,0,437,0,0,418,0,0,468,0,0,500,0,0,488,0,0,475,0,0,529,0,0,534,0,0,507,0,0,584,0,0,628,0,0,541,0,0,534,0,0,505,0,0,498,0,0,495,0,0,497,0,0,521,0,0,620,0,0,602,0,0,611,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0
マジックランプシアター,1011,0,0,1,0,0,1773,0,0,654,0,0,490,0,0,382,0,0,385,0,0,296,0,0,356,0,0,403,0,0,363,0,0,380,0,0,267,0,0,304,0,0,303,0,0,368,0,0,345,0,0,321,0,0,326,0,0,307,0,0,338,0,0,393,0,0,374,0,0,299,0,0,279,0,0,303,0,0,235,0,0,325,0,0,309,0,0,318,0,0,306,0,0,307,0,0,222,0,0,299,0,0,323,0,0,316,0,0,305,0,0,258,0,0,226,0,0,292,0,0,253,0,0,190,0,0,67,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タートルトーク,1023,0,0,1,0,0,1185,0,0,555,0,0,487,0,0,341,0,0,267,0,0,257,0,0,298,0,0,369,0,0,359,0,0,332,0,0,314,0,0,372,0,0,329,0,0,304,0,0,312,0,0,328,0,0,327,0,0,305,0,0,331,0,0,351,0,0,334,0,0,331,0,0,267,0,0,345,0,0,287,0,0,270,0,0,291,0,0,324,0,0,272,0,0,280,0,0,298,0,0,310,0,0,281,0,0,303,0,0,315,0,0,331,0,0,308,0,0,361,0,0,336,0,0,375,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
