日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,8,5600.0,743.0,"[1, 1, 2, 3, 5, 5, 3, 6, 5, 4, 7, 6, 2, 2, 6, 2, 3, 1, 7]","[1, 2, 3, 5, 3, 6, 5, 4, 7, 6, 2, 6]","[0, 120, 195, 270, 315, 375, 435, 480, 525, 585, 645, 705]"
,4,4640.0,615.5,"[2, 2, 6, 3, 4, 4, 5, 0, 0, 5, 5, 6, 5, 6]","[2, 6, 3, 4, 5, 0, 5, 6, 5, 6]","[0, 75, 120, 195, 255, 300, 405, 450, 510, 555]"
,5,5167.0,710.5,"[2, 7, 6, 6, 2, 3, 3, 1, 3, 2, 6, 7, 7, 6, 3, 1, 7, 4, 3]","[2, 7, 6, 2, 3, 1, 3, 2, 6, 7, 6]","[0, 75, 135, 195, 270, 330, 420, 480, 555, 615, 675]"
,6,4180.0,556.0,"[3, 5, 6, 1, 2, 4, 5, 5, 2, 5, 5, 5]","[3, 5, 6, 1, 2, 4, 5, 2, 5]","[0, 60, 120, 180, 270, 345, 405, 450, 510]"
,3,5607.0,727.0,"[5, 4, 7, 3, 2, 2, 5, 5, 3, 0, 5, 5, 3, 0, 5, 2, 3, 6, 6]","[5, 4, 7, 3, 2, 5, 3, 0, 5, 3, 0, 5]","[0, 30, 75, 150, 210, 285, 330, 390, 510, 555, 615, 705]"
,4,5573.0,710.0,"[5, 6, 4, 5, 3, 1, 6, 3, 5, 7, 5, 0, 0, 6, 4, 5, 7, 5, 0, 0]","[5, 6, 4, 5, 3, 1, 6, 3, 5, 7, 5, 0]","[0, 30, 60, 135, 180, 255, 345, 405, 465, 510, 585, 630]"
,4,5177.0,720.0,"[5, 5, 2, 4, 4, 4, 6, 4, 1, 1, 4, 1, 0, 2, 3, 2]","[5, 2, 4, 6, 4, 1, 4, 1, 0, 2, 3]","[0, 30, 120, 180, 240, 300, 390, 435, 525, 645, 705]"
,7,4686.0,722.5,"[0, 6, 7, 1, 1, 5, 5, 3, 3, 1, 3, 2, 3, 1, 3, 2, 2, 5, 2]","[0, 6, 7, 1, 5, 3, 1, 3, 2, 3]","[0, 135, 210, 270, 360, 405, 480, 570, 630, 690]"
,3,4711.0,707.0,"[0, 7, 1, 3, 7, 5, 3, 1, 4, 2, 1, 2, 0, 4, 4, 3]","[0, 7, 1, 3, 7, 5, 3, 1, 4, 2]","[0, 135, 210, 300, 360, 435, 480, 540, 645, 675]"
,4,4203.0,630.0,"[5, 0, 4, 7, 6, 7, 7, 6, 1, 1, 5]","[5, 0, 4, 7, 6, 7, 6, 1, 5]","[0, 30, 180, 225, 300, 360, 435, 495, 585]"
,9,4672.0,710.0,"[6, 1, 0, 5, 2, 6, 3, 6, 6, 2, 7, 4, 3, 2, 1, 4, 3]","[6, 1, 0, 5, 2, 6, 3, 6, 2, 7]","[0, 45, 165, 270, 330, 390, 465, 525, 585, 660]"
,3,4722.0,630.0,"[7, 3, 3, 6, 6, 4, 6, 6, 3, 4, 1, 4, 2]","[7, 3, 6, 4, 6, 3, 4, 1, 4, 2]","[0, 45, 135, 195, 240, 300, 375, 420, 510, 570]"
,7,5128.0,631.5,"[2, 5, 7, 2, 5, 4, 3, 5, 3, 3, 5, 3]","[2, 5, 7, 2, 5, 4, 3, 5, 3, 5, 3]","[0, 75, 120, 195, 255, 300, 360, 420, 465, 540, 585]"
,5,5126.0,707.0,"[6, 6, 6, 2, 4, 5, 6, 1, 7, 6, 5, 7, 1, 7, 3, 6, 3, 0]","[6, 2, 4, 5, 6, 1, 7, 6, 5, 7, 1]","[0, 45, 135, 195, 240, 300, 390, 465, 525, 570, 630]"
,5,4718.0,712.5,"[4, 6, 7, 7, 1, 0, 3, 1, 7, 1, 7, 2, 3, 3, 4]","[4, 6, 7, 1, 0, 3, 1, 7, 1, 7]","[0, 30, 75, 135, 225, 345, 405, 495, 570, 660]"
,4,4715.0,674.5,"[0, 2, 6, 4, 4, 4, 7, 7, 6, 2, 2, 3, 6, 4, 1]","[0, 2, 6, 4, 7, 6, 2, 3, 6, 4]","[0, 135, 210, 285, 330, 405, 465, 525, 585, 645]"
