日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,4,5687.0,719.0,"[3, 4, 7, 1, 2, 3, 2, 4, 6, 4, 2, 4, 2, 4, 7]","[3, 4, 7, 1, 2, 3, 2, 4, 6, 4, 2, 4]","[0, 60, 120, 195, 285, 360, 420, 480, 525, 600, 630, 705]"
,8,4721.0,594.0,"[3, 4, 6, 2, 2, 4, 5, 3, 3, 2, 4, 7]","[3, 4, 6, 2, 4, 5, 3, 2, 4, 7]","[0, 60, 120, 195, 255, 315, 360, 420, 495, 540]"
,2,5240.0,603.0,"[4, 7, 6, 4, 2, 4, 7, 7, 4, 4, 4, 7, 3, 4]","[4, 7, 6, 4, 2, 4, 7, 4, 7, 3, 4]","[0, 30, 75, 135, 195, 270, 315, 375, 435, 495, 555]"
,5,5212.0,733.0,"[2, 4, 7, 5, 4, 7, 4, 3, 0, 1, 7, 4, 0, 4, 2, 2, 4, 0, 2]","[2, 4, 7, 5, 4, 7, 4, 3, 0, 1, 7]","[0, 75, 135, 195, 240, 300, 360, 420, 480, 600, 675]"
,5,5221.0,709.0,"[4, 7, 0, 4, 1, 7, 3, 6, 2, 7, 4, 4, 7, 4, 5, 4, 6, 1, 0]","[4, 7, 0, 4, 1, 7, 3, 6, 2, 7, 4]","[0, 30, 75, 210, 270, 360, 435, 495, 555, 630, 690]"
,10,6061.0,716.5,"[5, 4, 4, 6, 2, 6, 3, 4, 5, 3, 5, 4, 6, 1, 0, 0, 2, 3, 0]","[5, 4, 6, 2, 6, 3, 4, 5, 3, 5, 4, 6, 1]","[0, 30, 75, 135, 210, 285, 345, 405, 450, 510, 570, 615, 660]"
,5,5618.0,657.0,"[4, 4, 5, 7, 4, 5, 3, 6, 7, 7, 4, 4, 3, 3, 5, 6]","[4, 5, 7, 4, 5, 3, 6, 7, 4, 3, 5, 6]","[0, 30, 75, 135, 195, 240, 315, 375, 450, 495, 555, 600]"
,8,5651.0,728.0,"[2, 6, 2, 4, 7, 4, 7, 1, 6, 7, 5, 5, 3, 5, 5, 5, 4, 5, 6]","[2, 6, 2, 4, 7, 4, 7, 1, 6, 7, 5, 3]","[0, 75, 120, 210, 255, 330, 390, 465, 540, 600, 675, 690]"
,6,5642.0,678.0,"[4, 7, 0, 6, 5, 2, 4, 5, 4, 5, 7, 4]","[4, 7, 0, 6, 5, 2, 4, 5, 4, 5, 7, 4]","[0, 30, 75, 210, 270, 315, 390, 450, 495, 540, 585, 645]"
,9,6162.0,707.5,"[4, 7, 3, 7, 4, 7, 2, 4, 5, 4, 3, 7, 6, 2, 3]","[4, 7, 3, 7, 4, 7, 2, 4, 5, 4, 3, 7, 6]","[0, 30, 75, 150, 225, 270, 330, 405, 465, 510, 555, 615, 675]"
,2,5704.0,725.0,"[4, 3, 4, 7, 4, 5, 7, 0, 7, 4, 7, 3, 4, 2, 0, 4, 0]","[4, 3, 4, 7, 4, 5, 7, 0, 7, 4, 7, 3]","[0, 30, 120, 165, 240, 300, 345, 405, 525, 585, 630, 690]"
,6,5179.0,633.0,"[7, 3, 4, 5, 5, 2, 5, 2, 7, 7, 4, 6, 4]","[7, 3, 4, 5, 2, 5, 2, 7, 4, 6, 4]","[0, 45, 135, 180, 240, 300, 345, 420, 495, 540, 600]"
