日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-06,8,3799.0,473,"[6, 7, 4, 3, 4, 4, 3, 0, 4, 4]","[6, 7, 4, 3, 4, 3, 0, 4]","[0, 45, 105, 180, 225, 270, 330, 420]"
2023-08-06,2,4227.0,608,"[2, 0, 0, 4, 3, 3, 5, 3, 6, 1, 0]","[2, 0, 4, 3, 5, 3, 6, 1, 0]","[0, 60, 180, 225, 270, 300, 360, 420, 510]"
2023-08-06,5,4682.0,674,"[6, 0, 6, 6, 4, 6, 7, 5, 0, 1, 3]","[6, 0, 6, 4, 6, 7, 5, 0, 1, 3]","[0, 45, 180, 240, 285, 360, 435, 465, 570, 645]"
2023-08-06,6,4712.0,726,"[7, 3, 6, 4, 0, 0, 6, 1, 0, 0, 0, 1, 1, 7]","[7, 3, 6, 4, 0, 6, 1, 0, 1, 7]","[0, 60, 135, 195, 240, 330, 390, 480, 585, 675]"
2023-08-06,3,3765.0,596,"[1, 1, 5, 7, 3, 2, 0, 0, 2, 2, 0]","[1, 5, 7, 3, 2, 0, 2, 0]","[0, 135, 180, 240, 300, 345, 450, 495]"
2023-08-06,2,4721.0,700,"[1, 7, 6, 4, 3, 6, 0, 4, 0, 3, 1]","[1, 7, 6, 4, 3, 6, 0, 4, 0, 3]","[0, 135, 195, 255, 315, 360, 420, 525, 585, 675]"
2023-08-06,3,4672.0,647,"[5, 4, 1, 6, 1, 1, 7, 2, 1, 3, 3, 6]","[5, 4, 1, 6, 1, 7, 2, 1, 3, 6]","[0, 30, 60, 195, 255, 330, 405, 450, 540, 600]"
2023-08-06,5,4221.0,488,"[0, 1, 3, 7, 2, 5, 3, 3, 3, 6, 3, 3]","[0, 1, 3, 7, 2, 5, 3, 6, 3]","[0, 30, 150, 210, 285, 330, 360, 420, 480]"
2023-08-06,2,4740.0,667,"[7, 2, 2, 2, 3, 3, 3, 4, 1, 4, 1, 2, 0, 7, 7]","[7, 2, 3, 4, 1, 4, 1, 2, 0, 7]","[0, 60, 150, 210, 255, 330, 375, 465, 510, 615]"
2023-08-06,3,4721.0,608,"[2, 7, 7, 5, 0, 2, 6, 4, 3, 4, 0]","[2, 7, 5, 0, 2, 6, 4, 3, 4, 0]","[0, 60, 135, 180, 270, 315, 375, 420, 435, 510]"
