時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2023-07-06 09:00:00,0,0,0,0,0,0,0,0
2023-07-06 09:15:00,80,70,40,30,5,10,0,15
2023-07-06 09:30:00,0,0,0,0,0,0,0,0
2023-07-06 09:45:00,130,75,45,60,25,10,0,20
2023-07-06 10:00:00,115,80,45,60,40,20,0,20
2023-07-06 10:15:00,110,80,40,55,40,30,15,20
2023-07-06 10:30:00,105,65,45,50,35,25,20,20
2023-07-06 10:45:00,95,65,45,50,30,25,25,15
2023-07-06 11:00:00,85,60,50,45,35,25,25,15
2023-07-06 11:15:00,85,65,50,50,35,25,15,15
2023-07-06 11:30:00,85,65,50,55,35,20,15,15
2023-07-06 11:45:00,100,65,40,50,35,25,15,15
2023-07-06 12:00:00,110,75,50,55,35,30,25,15
2023-07-06 12:15:00,115,70,50,55,35,30,25,15
2023-07-06 12:30:00,100,65,50,65,35,25,25,20
2023-07-06 12:45:00,0,0,0,0,0,0,0,0
2023-07-06 13:00:00,90,60,40,50,40,30,15,20
2023-07-06 13:15:00,85,60,40,50,40,30,15,20
2023-07-06 13:30:00,90,60,50,50,35,25,20,20
2023-07-06 13:45:00,90,70,55,50,35,25,25,25
2023-07-06 14:00:00,100,70,60,55,35,25,25,15
2023-07-06 14:15:00,95,55,60,0,35,25,15,15
2023-07-06 14:30:00,90,55,45,0,40,30,15,15
2023-07-06 14:45:00,80,55,40,0,40,30,20,15
2023-07-06 15:00:00,80,55,40,0,40,35,20,20
2023-07-06 15:15:00,90,80,55,0,35,35,30,20
2023-07-06 15:30:00,90,80,55,15,35,30,30,20
2023-07-06 15:45:00,85,70,55,40,35,30,30,30
2023-07-06 16:00:00,85,60,80,75,30,25,15,25
2023-07-06 16:15:00,85,55,90,75,30,20,15,20
2023-07-06 16:30:00,85,65,90,75,25,20,25,20
2023-07-06 16:45:00,85,60,100,70,25,20,15,20
2023-07-06 17:00:00,100,65,100,70,25,20,15,20
2023-07-06 17:15:00,115,85,40,65,30,20,20,20
2023-07-06 17:30:00,110,85,40,65,30,25,20,20
2023-07-06 17:45:00,110,65,45,65,30,30,20,15
2023-07-06 18:00:00,75,65,55,65,35,25,25,15
2023-07-06 18:15:00,75,65,55,65,30,25,25,30
2023-07-06 18:30:00,70,70,45,50,25,25,25,15
2023-07-06 18:45:00,80,50,45,50,20,20,15,15
2023-07-06 19:00:00,70,50,45,50,20,15,15,15
2023-07-06 19:15:00,70,45,45,45,20,15,25,15
2023-07-06 19:30:00,60,40,50,40,10,15,20,15
2023-07-06 19:45:00,60,40,50,40,5,10,25,20
2023-07-06 20:00:00,50,40,25,30,5,5,25,20
2023-07-06 20:15:00,50,40,20,25,5,5,15,15
2023-07-06 20:30:00,0,30,30,20,5,5,20,20
2023-07-06 20:45:00,0,0,0,0,5,5,0,20
