時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2022-07-01 09:00:00,95,65,50,25,5,5,0,0
2022-07-01 09:15:00,80,65,45,35,10,5,0,0
2022-07-01 09:30:00,110,65,55,45,10,10,0,0
2022-07-01 09:45:00,110,65,60,45,10,10,0,0
2022-07-01 10:00:00,120,65,55,40,20,20,30,15
2022-07-01 10:15:00,120,55,45,35,30,20,15,15
2022-07-01 10:30:00,80,55,45,35,30,20,30,20
2022-07-01 10:45:00,60,45,40,30,30,20,15,20
2022-07-01 11:00:00,60,40,45,30,25,15,25,20
2022-07-01 11:15:00,60,40,40,30,20,15,30,20
2022-07-01 11:30:00,60,35,35,30,20,15,15,15
2022-07-01 11:45:00,60,45,45,30,10,15,25,20
2022-07-01 12:00:00,55,45,50,30,5,15,30,15
2022-07-01 12:15:00,40,45,45,25,5,15,25,15
2022-07-01 12:30:00,40,40,45,20,5,20,25,15
2022-07-01 12:45:00,45,35,45,15,20,15,15,15
2022-07-01 13:00:00,65,50,45,15,20,15,20,15
2022-07-01 13:15:00,65,45,45,20,20,10,25,15
2022-07-01 13:30:00,60,45,45,25,5,10,35,15
2022-07-01 13:45:00,45,45,45,30,15,15,20,20
2022-07-01 14:00:00,45,40,40,25,20,10,25,20
2022-07-01 14:15:00,40,50,40,15,20,20,15,20
2022-07-01 14:30:00,60,55,50,20,20,15,20,20
2022-07-01 14:45:00,60,55,50,20,20,20,30,20
2022-07-01 15:00:00,60,45,50,20,20,20,25,20
2022-07-01 15:15:00,55,40,50,15,5,15,20,25
2022-07-01 15:30:00,45,40,50,15,5,15,30,15
2022-07-01 15:45:00,45,40,50,15,5,15,15,15
2022-07-01 16:00:00,50,45,40,15,5,5,25,15
2022-07-01 16:15:00,50,45,35,15,5,5,30,20
2022-07-01 16:30:00,50,50,40,15,15,5,20,20
2022-07-01 16:45:00,50,45,40,10,15,5,25,15
2022-07-01 17:00:00,55,40,45,5,10,10,30,15
2022-07-01 17:15:00,70,50,40,10,10,10,20,15
2022-07-01 17:30:00,60,0,35,10,10,5,20,15
2022-07-01 17:45:00,50,0,40,10,10,5,30,25
2022-07-01 18:00:00,50,0,50,10,15,5,20,25
2022-07-01 18:15:00,55,0,45,10,20,5,20,30
2022-07-01 18:30:00,60,0,40,15,20,10,30,15
2022-07-01 18:45:00,60,0,40,15,20,10,15,20
2022-07-01 19:00:00,65,0,40,10,20,5,25,20
2022-07-01 19:15:00,70,5,35,10,20,5,15,15
2022-07-01 19:30:00,70,50,35,5,15,10,0,20
2022-07-01 19:45:00,65,60,35,5,5,5,0,15
2022-07-01 20:00:00,60,70,40,10,5,5,0,15
2022-07-01 20:15:00,0,0,45,10,5,5,0,15
2022-07-01 20:30:00,0,0,0,10,5,5,0,20
2022-07-01 20:45:00,0,0,0,5,5,5,0,0
