時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2022-08-17 09:00:00,140,100,120,65,5,20,0,0
2022-08-17 09:15:00,130,100,130,65,25,25,0,0
2022-08-17 09:30:00,120,100,110,65,50,25,0,0
2022-08-17 09:45:00,110,95,80,65,50,40,0,0
2022-08-17 10:00:00,105,95,90,60,45,40,15,15
2022-08-17 10:15:00,105,110,80,60,45,40,20,20
2022-08-17 10:30:00,90,105,75,50,40,35,25,20
2022-08-17 10:45:00,85,85,60,45,40,35,25,20
2022-08-17 11:00:00,90,65,60,45,45,40,25,20
2022-08-17 11:15:00,90,60,70,45,50,35,15,15
2022-08-17 11:30:00,90,60,70,50,45,30,15,15
2022-08-17 11:45:00,85,65,65,50,40,25,20,15
2022-08-17 12:00:00,85,65,65,45,35,30,20,15
2022-08-17 12:15:00,75,65,55,45,40,30,20,15
2022-08-17 12:30:00,75,65,50,45,40,25,25,15
2022-08-17 12:45:00,75,60,50,50,35,30,15,15
2022-08-17 13:00:00,75,60,50,45,35,30,15,20
2022-08-17 13:15:00,75,60,55,45,30,30,15,20
2022-08-17 13:30:00,80,60,55,40,30,25,20,20
2022-08-17 13:45:00,75,65,55,40,30,30,25,20
2022-08-17 14:00:00,75,65,55,40,30,25,25,25
2022-08-17 14:15:00,75,65,60,40,30,25,15,20
2022-08-17 14:30:00,80,70,60,40,40,30,15,20
2022-08-17 14:45:00,80,75,65,35,40,30,15,35
2022-08-17 15:00:00,75,75,65,35,40,35,20,30
2022-08-17 15:15:00,75,75,70,40,35,30,25,25
2022-08-17 15:30:00,75,70,70,45,35,30,15,30
2022-08-17 15:45:00,75,70,70,45,35,25,15,30
2022-08-17 16:00:00,75,70,65,40,30,30,15,30
2022-08-17 16:15:00,75,70,65,30,25,30,25,20
2022-08-17 16:30:00,75,60,65,30,30,25,25,35
2022-08-17 16:45:00,75,60,65,35,35,25,15,20
2022-08-17 17:00:00,75,0,60,35,25,20,30,30
2022-08-17 17:15:00,85,0,60,40,25,10,20,20
2022-08-17 17:30:00,85,0,60,40,15,20,20,30
2022-08-17 17:45:00,85,0,75,35,20,25,25,20
2022-08-17 18:00:00,90,0,75,40,35,25,15,30
2022-08-17 18:15:00,90,0,75,40,35,35,20,30
2022-08-17 18:30:00,90,0,75,35,30,30,20,15
2022-08-17 18:45:00,90,0,75,40,30,30,25,15
2022-08-17 19:00:00,85,0,80,40,25,30,25,15
2022-08-17 19:15:00,80,0,80,35,20,25,15,20
2022-08-17 19:30:00,80,0,90,30,20,25,15,20
2022-08-17 19:45:00,70,0,65,30,20,25,20,20
2022-08-17 20:00:00,0,0,60,30,10,20,0,20
2022-08-17 20:15:00,0,0,0,30,10,20,0,15
2022-08-17 20:30:00,0,0,0,30,5,15,0,15
2022-08-17 20:45:00,0,0,0,20,5,5,0,20
