時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2023-07-24 09:00:00,0,0,0,0,0,0,0,0
2023-07-24 09:15:00,130,100,40,50,15,5,0,15
2023-07-24 09:30:00,140,100,50,50,25,20,0,15
2023-07-24 09:45:00,150,100,50,60,40,25,0,20
2023-07-24 10:00:00,150,105,40,70,40,30,0,20
2023-07-24 10:15:00,140,105,40,70,35,30,15,20
2023-07-24 10:30:00,120,80,40,55,40,30,20,20
2023-07-24 10:45:00,110,60,55,55,40,30,25,25
2023-07-24 11:00:00,110,65,60,70,40,30,25,25
2023-07-24 11:15:00,90,65,55,60,40,30,15,15
2023-07-24 11:30:00,90,65,100,60,40,25,20,15
2023-07-24 11:45:00,90,65,90,55,35,25,20,15
2023-07-24 12:00:00,90,70,70,60,35,30,25,20
2023-07-24 12:15:00,95,70,70,60,40,25,25,15
2023-07-24 12:30:00,95,80,35,60,40,30,25,20
2023-07-24 12:45:00,100,80,35,60,40,35,20,30
2023-07-24 13:00:00,100,70,40,55,40,30,20,15
2023-07-24 13:15:00,90,60,40,55,40,25,15,30
2023-07-24 13:30:00,80,60,50,55,35,30,20,30
2023-07-24 13:45:00,80,75,50,60,35,25,25,20
2023-07-24 14:00:00,80,75,50,60,35,25,25,30
2023-07-24 14:15:00,85,75,45,60,35,25,25,30
2023-07-24 14:30:00,85,75,45,55,35,25,15,15
2023-07-24 14:45:00,85,60,35,60,40,30,25,20
2023-07-24 15:00:00,80,80,45,60,35,30,25,20
2023-07-24 15:15:00,80,80,60,50,40,25,25,15
2023-07-24 15:30:00,85,70,65,50,40,25,25,20
2023-07-24 15:45:00,85,75,50,50,35,30,15,15
2023-07-24 16:00:00,80,75,40,55,35,30,15,15
2023-07-24 16:15:00,80,70,40,50,30,30,15,20
2023-07-24 16:30:00,90,70,40,45,30,25,25,20
2023-07-24 16:45:00,90,70,40,45,30,20,15,20
2023-07-24 17:00:00,90,60,40,45,25,25,15,20
2023-07-24 17:15:00,90,65,45,45,25,20,25,15
2023-07-24 17:30:00,0,0,0,0,0,0,0,0
2023-07-24 17:45:00,90,80,35,40,35,25,20,15
2023-07-24 18:00:00,95,90,40,45,30,20,20,15
2023-07-24 18:15:00,90,90,40,45,25,20,25,20
2023-07-24 18:30:00,85,80,40,40,25,25,25,20
2023-07-24 18:45:00,90,80,45,40,20,25,15,20
2023-07-24 19:00:00,90,60,45,35,25,20,15,20
2023-07-24 19:15:00,90,55,45,35,20,15,15,15
2023-07-24 19:30:00,80,55,40,30,15,15,25,20
2023-07-24 19:45:00,70,50,40,30,10,5,25,20
2023-07-24 20:00:00,60,45,25,25,5,5,15,15
2023-07-24 20:15:00,0,40,20,20,5,5,15,15
2023-07-24 20:30:00,0,35,25,20,5,5,20,15
2023-07-24 20:45:00,0,0,0,30,5,5,0,15
