時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
2024-09-01 09:00:00,65,70,5,5,5,5,0,5,6,Sunday,False
2024-09-01 09:15:00,95,80,30,80,20,5,0,20,6,Sunday,False
2024-09-01 09:30:00,100,70,50,70,50,45,0,15,6,Sunday,False
2024-09-01 09:45:00,100,60,80,65,50,55,0,35,6,Sunday,False
2024-09-01 10:00:00,85,70,65,65,60,55,5,20,6,Sunday,False
2024-09-01 10:15:00,75,70,50,60,60,50,15,20,6,Sunday,False
2024-09-01 10:30:00,65,50,40,50,50,40,15,20,6,Sunday,False
2024-09-01 10:45:00,60,50,30,50,50,45,15,20,6,Sunday,False
2024-09-01 11:00:00,60,50,25,40,45,35,15,20,6,Sunday,False
2024-09-01 11:15:00,60,50,30,35,40,35,15,20,6,Sunday,False
2024-09-01 11:30:00,60,40,35,45,40,30,15,15,6,Sunday,False
2024-09-01 11:45:00,60,40,35,40,30,15,15,15,6,Sunday,False
2024-09-01 12:00:00,55,50,35,30,30,25,15,20,6,Sunday,False
2024-09-01 12:15:00,45,50,35,35,40,35,15,15,6,Sunday,False
2024-09-01 12:30:00,45,40,30,40,45,35,15,15,6,Sunday,False
2024-09-01 12:45:00,50,40,25,40,40,35,15,15,6,Sunday,False
2024-09-01 13:00:00,60,50,25,40,35,40,15,15,6,Sunday,False
2024-09-01 13:15:00,65,50,35,40,40,30,15,15,6,Sunday,False
2024-09-01 13:30:00,0,0,35,40,0,30,15,0,6,Sunday,False
2024-09-01 13:45:00,0,60,35,40,0,30,15,0,6,Sunday,False
2024-09-01 14:00:00,40,60,30,50,45,15,15,0,6,Sunday,False
2024-09-01 14:15:00,60,50,30,50,45,55,15,20,6,Sunday,False
2024-09-01 14:30:00,75,50,30,40,45,55,15,20,6,Sunday,False
2024-09-01 14:45:00,70,50,35,35,50,45,15,20,6,Sunday,False
2024-09-01 15:00:00,65,60,35,40,45,35,15,20,6,Sunday,False
2024-09-01 15:15:00,70,50,30,40,40,35,15,20,6,Sunday,False
2024-09-01 15:30:00,60,45,35,50,30,35,15,20,6,Sunday,False
2024-09-01 15:45:00,60,55,35,50,35,45,15,20,6,Sunday,False
2024-09-01 16:00:00,60,65,25,45,45,40,15,20,6,Sunday,False
2024-09-01 16:15:00,65,60,30,40,45,45,15,15,6,Sunday,False
2024-09-01 16:30:00,60,60,30,40,45,30,15,20,6,Sunday,False
2024-09-01 16:45:00,60,55,35,35,35,40,15,15,6,Sunday,False
2024-09-01 17:00:00,80,60,35,35,35,35,15,15,6,Sunday,False
2024-09-01 17:15:00,75,60,30,45,45,35,15,15,6,Sunday,False
2024-09-01 17:30:00,70,60,35,40,45,40,15,15,6,Sunday,False
2024-09-01 17:45:00,65,55,35,45,40,25,15,15,6,Sunday,False
2024-09-01 18:00:00,55,55,30,45,40,15,15,15,6,Sunday,False
2024-09-01 18:15:00,50,55,30,35,30,10,15,15,6,Sunday,False
2024-09-01 18:30:00,55,55,25,35,25,10,15,15,6,Sunday,False
2024-09-01 18:45:00,60,55,25,35,25,10,15,15,6,Sunday,False
2024-09-01 19:00:00,55,55,20,35,35,5,15,15,6,Sunday,False
2024-09-01 19:15:00,60,40,25,30,25,5,15,15,6,Sunday,False
2024-09-01 19:30:00,55,40,25,25,25,5,15,15,6,Sunday,False
2024-09-01 19:45:00,55,40,25,25,15,5,15,20,6,Sunday,False
2024-09-01 20:00:00,50,45,25,25,10,5,15,15,6,Sunday,False
2024-09-01 20:15:00,50,45,25,25,15,5,15,20,6,Sunday,False
2024-09-01 20:30:00,50,50,25,20,10,10,0,15,6,Sunday,False
2024-09-01 20:45:00,0,45,25,20,5,10,0,20,6,Sunday,False
2024-09-02 09:00:00,70,50,5,35,5,5,0,5,0,Monday,False
2024-09-02 09:15:00,110,75,35,65,10,5,0,15,0,Monday,False
2024-09-02 09:30:00,100,80,50,55,45,35,0,15,0,Monday,False
2024-09-02 09:45:00,95,70,65,65,70,55,0,15,0,Monday,False
2024-09-02 10:00:00,95,60,50,70,70,60,15,20,0,Monday,False
2024-09-02 10:15:00,90,60,50,70,70,50,15,20,0,Monday,False
2024-09-02 10:30:00,70,55,50,65,55,40,15,20,0,Monday,False
2024-09-02 10:45:00,70,50,40,75,45,45,15,20,0,Monday,False
2024-09-02 11:00:00,70,45,40,65,45,50,15,15,0,Monday,False
2024-09-02 11:15:00,65,50,40,65,40,65,15,15,0,Monday,False
2024-09-02 11:30:00,65,45,40,55,40,60,15,10,0,Monday,False
2024-09-02 11:45:00,55,45,40,50,40,65,15,10,0,Monday,False
2024-09-02 12:00:00,50,40,30,55,45,40,15,15,0,Monday,False
2024-09-02 12:15:00,50,40,40,50,45,30,15,15,0,Monday,False
2024-09-02 12:30:00,60,30,40,55,40,40,15,15,0,Monday,False
2024-09-02 12:45:00,60,35,40,55,40,45,15,15,0,Monday,False
2024-09-02 13:00:00,60,45,40,55,35,40,15,15,0,Monday,False
2024-09-02 13:15:00,60,55,30,55,40,30,15,15,0,Monday,False
2024-09-02 13:30:00,55,50,40,50,45,35,15,15,0,Monday,False
2024-09-02 13:45:00,55,50,40,45,45,45,15,15,0,Monday,False
2024-09-02 14:00:00,70,55,40,55,50,45,15,15,0,Monday,False
2024-09-02 14:15:00,70,45,40,55,50,40,15,15,0,Monday,False
2024-09-02 14:30:00,70,50,40,55,55,45,15,15,0,Monday,False
2024-09-02 14:45:00,60,60,45,60,50,50,15,15,0,Monday,False
2024-09-02 15:00:00,55,60,40,60,50,55,15,15,0,Monday,False
2024-09-02 15:15:00,55,60,40,60,55,45,15,20,0,Monday,False
2024-09-02 15:30:00,70,50,40,55,55,45,15,20,0,Monday,False
2024-09-02 15:45:00,80,45,40,50,55,50,15,15,0,Monday,False
2024-09-02 16:00:00,80,40,35,50,40,45,15,15,0,Monday,False
2024-09-02 16:15:00,70,50,35,55,40,45,15,20,0,Monday,False
2024-09-02 16:30:00,65,60,30,50,40,50,15,20,0,Monday,False
2024-09-02 16:45:00,60,65,35,50,45,45,15,15,0,Monday,False
2024-09-02 17:00:00,65,55,45,50,40,45,15,15,0,Monday,False
2024-09-02 17:15:00,60,50,45,45,40,45,15,15,0,Monday,False
2024-09-02 17:30:00,65,40,45,0,40,45,15,20,0,Monday,False
2024-09-02 17:45:00,70,40,50,0,50,50,15,15,0,Monday,False
2024-09-02 18:00:00,60,50,50,0,50,45,15,15,0,Monday,False
2024-09-02 18:15:00,60,50,45,0,45,50,15,15,0,Monday,False
2024-09-02 18:30:00,60,50,35,0,0,50,15,15,0,Monday,False
2024-09-02 18:45:00,70,45,45,0,0,60,15,15,0,Monday,False
2024-09-02 19:00:00,75,45,50,20,0,75,15,15,0,Monday,False
