時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
2024-02-01 09:00:00,35,0,10,5,0,5,0,15,3,Thursday,False
2024-02-01 09:15:00,90,0,35,40,0,5,0,15,3,Thursday,False
2024-02-01 09:30:00,125,0,100,100,0,5,0,15,3,Thursday,False
2024-02-01 09:45:00,150,0,100,95,0,60,0,15,3,Thursday,False
2024-02-01 10:00:00,160,0,120,100,0,100,0,30,3,Thursday,False
2024-02-01 10:15:00,170,0,130,120,0,100,0,40,3,Thursday,False
2024-02-01 10:30:00,180,0,130,130,0,110,0,50,3,Thursday,False
2024-02-01 10:45:00,160,0,140,0,0,110,0,35,3,Thursday,False
2024-02-01 11:00:00,160,0,160,0,0,120,0,50,3,Thursday,False
2024-02-01 11:15:00,160,0,170,0,0,120,0,50,3,Thursday,False
2024-02-01 11:30:00,160,0,150,0,0,120,0,55,3,Thursday,False
2024-02-01 11:45:00,160,0,150,0,0,130,0,45,3,Thursday,False
2024-02-01 12:00:00,150,0,140,0,0,130,0,45,3,Thursday,False
2024-02-01 12:15:00,150,0,140,100,0,130,0,45,3,Thursday,False
2024-02-01 12:30:00,150,0,135,130,0,120,0,45,3,Thursday,False
2024-02-01 12:45:00,150,0,135,140,0,130,0,45,3,Thursday,False
2024-02-01 13:00:00,140,0,145,140,0,130,0,50,3,Thursday,False
2024-02-01 13:15:00,135,0,140,150,0,120,0,50,3,Thursday,False
2024-02-01 13:30:00,135,0,140,145,0,120,0,55,3,Thursday,False
2024-02-01 13:45:00,150,0,140,145,0,120,0,45,3,Thursday,False
2024-02-01 14:00:00,145,0,140,140,0,120,0,45,3,Thursday,False
2024-02-01 14:15:00,155,0,140,140,0,120,0,45,3,Thursday,False
2024-02-01 14:30:00,170,0,145,150,0,120,0,60,3,Thursday,False
2024-02-01 14:45:00,150,0,145,150,0,120,0,45,3,Thursday,False
2024-02-01 15:00:00,160,0,140,150,0,120,0,50,3,Thursday,False
2024-02-01 15:15:00,160,0,150,180,0,115,0,50,3,Thursday,False
2024-02-01 15:30:00,170,0,150,170,0,115,0,50,3,Thursday,False
2024-02-01 15:45:00,170,0,160,170,0,115,0,50,3,Thursday,False
2024-02-01 16:00:00,175,0,170,0,0,120,0,50,3,Thursday,False
2024-02-01 16:15:00,180,0,190,0,0,130,0,60,3,Thursday,False
2024-02-01 16:30:00,170,0,180,0,0,140,0,60,3,Thursday,False
2024-02-01 16:45:00,170,0,170,0,0,140,0,45,3,Thursday,False
2024-02-01 17:00:00,170,0,170,0,0,140,0,50,3,Thursday,False
2024-02-01 17:15:00,165,0,170,0,0,140,0,50,3,Thursday,False
2024-02-01 17:30:00,165,0,160,0,0,150,0,50,3,Thursday,False
2024-02-01 17:45:00,165,0,165,0,0,150,0,50,3,Thursday,False
2024-02-01 18:00:00,160,0,170,0,0,130,0,50,3,Thursday,False
2024-02-01 18:15:00,150,0,165,0,0,130,0,45,3,Thursday,False
2024-02-01 18:30:00,140,0,160,0,0,110,0,45,3,Thursday,False
2024-02-01 18:45:00,140,0,145,40,0,110,0,45,3,Thursday,False
2024-02-01 19:00:00,130,0,0,90,0,80,0,50,3,Thursday,False
2024-02-01 19:15:00,0,0,0,100,0,70,0,45,3,Thursday,False
2024-02-01 19:30:00,0,0,0,0,0,65,0,35,3,Thursday,False
2024-02-01 19:45:00,0,0,0,0,0,70,0,35,3,Thursday,False
2024-02-01 20:00:00,0,0,0,0,0,70,0,45,3,Thursday,False
2024-02-01 20:15:00,0,0,0,0,0,0,0,20,3,Thursday,False
2024-02-01 20:30:00,0,0,0,0,0,0,0,20,3,Thursday,False
2024-02-01 20:45:00,0,0,0,0,0,0,0,15,3,Thursday,False
2024-02-02 09:00:00,140,0,5,45,0,5,0,15,4,Friday,False
2024-02-02 09:15:00,165,0,80,110,0,5,0,20,4,Friday,False
2024-02-02 09:30:00,165,0,120,110,0,45,0,15,4,Friday,False
