日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-25,2,5212.0,727,"[2, 6, 7, 6, 4, 0, 4, 4, 3, 4, 2, 0, 7, 6, 6, 2]","[2, 6, 7, 6, 4, 0, 4, 3, 4, 2, 7]","[0, 120, 180, 240, 300, 345, 450, 495, 555, 600, 675]"
2022-07-25,2,5141.0,597,"[5, 5, 3, 4, 3, 3, 3, 5, 6, 3, 5, 4, 4, 0, 3, 3]","[5, 3, 4, 3, 5, 6, 3, 5, 4, 0, 3]","[0, 30, 105, 165, 225, 270, 330, 390, 435, 465, 555]"
2022-07-25,4,5638.0,725,"[3, 7, 3, 6, 5, 6, 4, 7, 6, 6, 4, 7, 1, 4, 6, 0, 3, 3, 0, 0]","[3, 7, 3, 6, 5, 6, 4, 7, 6, 4, 7, 1]","[0, 30, 75, 150, 195, 255, 315, 375, 450, 510, 555, 645]"
2022-07-25,5,4694.0,734,"[1, 6, 5, 2, 4, 2, 4, 3, 1, 1, 2, 0, 5, 5, 1, 3]","[1, 6, 5, 2, 4, 2, 4, 3, 1, 2]","[0, 135, 195, 255, 345, 405, 480, 525, 570, 660]"
2022-07-25,3,5606.0,583,"[3, 3, 6, 3, 5, 4, 4, 4, 3, 6, 3, 5, 4, 4, 4, 4, 5, 4]","[3, 6, 3, 5, 4, 3, 6, 3, 5, 4, 5, 4]","[0, 30, 75, 135, 195, 240, 315, 360, 435, 465, 510, 540]"
2022-07-25,10,3780.0,495,"[3, 2, 3, 7, 7, 3, 4, 4, 3, 6]","[3, 2, 3, 7, 3, 4, 3, 6]","[0, 30, 150, 210, 270, 330, 390, 450]"
2022-07-25,9,5162.0,712,"[3, 4, 6, 5, 3, 2, 5, 5, 2, 0, 7, 2, 6, 0, 2, 4, 4, 1, 1]","[3, 4, 6, 5, 3, 2, 5, 2, 0, 7, 2]","[0, 30, 90, 150, 195, 255, 345, 390, 480, 570, 630]"
2022-07-25,3,5155.0,712,"[4, 1, 2, 5, 1, 6, 6, 3, 2, 4, 2, 6, 3, 4, 1]","[4, 1, 2, 5, 1, 6, 3, 2, 4, 2, 6]","[0, 45, 165, 255, 300, 375, 435, 495, 555, 600, 675]"
2022-07-25,9,5607.0,710,"[3, 7, 6, 1, 2, 3, 5, 3, 0, 6, 5, 2, 4, 3, 6, 4, 1]","[3, 7, 6, 1, 2, 3, 5, 3, 0, 6, 5, 2]","[0, 30, 75, 135, 210, 300, 360, 390, 450, 540, 600, 630]"
2022-07-25,4,5168.0,710,"[5, 2, 7, 2, 6, 2, 4, 3, 2, 2, 6, 1, 3, 6, 0, 7, 3, 0, 4, 2]","[5, 2, 7, 2, 6, 2, 4, 3, 2, 6, 3]","[0, 30, 150, 210, 300, 360, 435, 480, 540, 615, 675]"
