時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,160,140,130,0,25,0,0,0
15,170,140,140,55,30,0,0,0
30,160,120,120,50,30,25,0,0
45,150,110,110,50,40,30,0,0
60,100,110,100,45,40,35,15,5
75,100,90,100,45,40,35,20,20
90,90,65,50,45,35,35,30,20
105,85,65,40,45,35,30,20,20
120,85,60,40,45,35,30,20,20
135,85,50,40,45,30,25,30,15
150,85,50,45,45,30,20,15,15
165,75,55,55,40,25,20,25,15
180,65,55,60,35,25,20,30,20
195,65,55,60,35,25,25,15,15
210,70,55,55,40,20,25,25,15
225,80,55,50,45,20,25,15,15
240,70,55,50,40,20,25,20,25
255,70,55,50,35,20,25,25,15
270,65,60,40,30,20,25,15,15
285,65,60,40,30,20,25,20,20
300,70,60,40,30,25,25,25,20
315,70,60,50,30,20,25,30,20
330,70,60,50,30,30,25,20,20
345,70,55,50,30,30,25,30,20
360,70,60,50,35,25,30,15,20
375,70,55,50,30,25,20,20,20
390,60,45,50,30,15,15,30,30
405,60,45,50,30,15,15,20,30
420,60,55,45,30,15,15,20,15
435,70,55,50,30,15,20,30,15
450,65,55,45,30,15,20,20,25
465,65,55,45,30,20,20,20,20
480,60,55,40,20,15,20,30,20
495,65,45,45,25,10,20,20,20
510,65,50,40,20,5,20,25,15
525,60,60,50,20,5,15,20,25
540,60,50,50,20,10,15,20,15
555,65,50,45,15,15,15,25,15
570,65,50,45,20,10,15,30,15
585,65,40,40,20,10,20,20,15
600,60,40,35,20,5,15,25,15
615,50,40,35,20,5,5,15,20
630,50,45,40,20,5,5,20,20
645,55,45,45,10,5,5,0,20
660,55,40,45,10,5,10,0,20
675,45,40,45,15,5,10,0,15
690,0,30,0,15,10,5,0,15
705,0,0,0,15,5,5,0,15
