時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,200,150,110,50,30,15,0,0
15,180,150,110,75,40,5,0,0
30,150,130,110,85,50,40,0,0
45,150,130,110,85,60,45,0,0
60,140,130,120,85,60,60,30,20
75,140,120,120,85,60,55,20,30
90,140,120,130,85,65,55,15,50
105,150,110,130,80,65,60,30,35
120,150,110,120,80,65,60,30,50
135,150,110,130,85,65,60,30,35
150,150,110,120,90,65,60,30,35
165,155,110,120,85,65,55,20,45
180,150,110,110,85,65,50,35,45
195,150,110,80,80,55,50,35,35
210,160,120,80,80,60,50,35,35
225,160,120,80,80,60,55,35,30
240,160,120,100,80,55,55,30,45
255,160,120,110,80,55,55,30,50
270,150,120,110,75,55,55,30,50
285,150,140,110,75,60,50,25,35
300,150,140,110,80,70,50,25,30
315,150,140,110,80,65,55,30,45
330,150,120,110,75,65,60,25,50
345,160,120,110,75,60,60,40,45
360,160,120,110,75,55,50,40,45
375,160,120,110,80,55,50,30,45
390,160,120,120,85,60,50,30,45
405,160,130,120,85,60,50,35,35
420,160,130,120,85,65,50,40,35
435,155,130,120,85,60,55,25,50
450,150,140,110,80,60,50,30,50
465,150,140,100,80,55,50,50,50
480,150,135,100,80,50,60,35,35
495,160,125,100,75,55,60,35,30
510,170,120,120,75,60,55,20,40
525,170,100,110,75,55,50,30,45
540,160,110,120,80,55,50,30,50
555,160,115,120,80,55,50,25,45
570,150,115,120,80,55,50,20,30
585,140,110,130,80,55,45,25,35
600,0,120,130,80,45,45,25,35
615,0,120,0,80,45,45,15,35
630,0,120,0,80,50,40,15,50
645,0,120,0,80,50,40,20,45
660,0,90,0,0,45,40,0,45
675,0,0,0,0,40,35,0,30
690,0,0,0,0,0,0,0,30
705,0,0,0,0,0,0,0,20
