時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,70,5,45,25,5,5,0,0
15,70,0,45,30,5,5,0,0
30,70,0,40,25,5,5,0,0
45,60,45,45,30,5,5,0,0
60,50,45,45,25,10,10,5,15
75,45,45,35,25,10,15,20,15
90,40,30,35,25,10,15,30,15
105,45,30,35,25,5,15,20,15
120,45,25,35,20,5,15,20,15
135,40,25,30,15,5,15,30,20
150,30,40,30,10,5,15,15,20
165,30,40,35,10,5,10,25,20
180,30,25,35,10,5,5,30,20
195,40,30,35,10,5,5,15,20
210,40,35,35,15,5,5,25,15
225,35,35,35,15,5,5,30,20
240,30,40,40,15,5,5,15,15
255,30,40,40,10,5,5,25,15
270,40,35,55,10,5,5,30,20
285,35,30,30,10,15,5,20,15
300,35,30,20,10,10,5,25,15
315,35,30,20,10,10,20,15,15
330,45,40,35,20,5,10,20,15
345,45,40,35,15,5,10,30,15
360,40,40,30,15,5,10,15,15
375,30,30,30,5,15,5,20,20
390,30,30,20,5,20,5,30,20
405,25,30,20,5,20,5,15,20
420,20,30,25,10,20,5,20,20
435,20,30,20,5,15,5,30,20
450,35,40,30,5,15,5,20,20
465,35,30,30,5,15,5,20,20
480,30,25,25,10,10,5,30,20
495,45,35,30,5,10,5,15,15
510,45,40,30,5,5,5,25,15
525,40,40,30,10,15,5,30,15
540,40,40,25,10,15,5,15,20
555,35,30,30,10,20,5,25,15
570,35,25,25,10,20,10,30,15
585,35,30,25,10,20,10,20,15
600,35,30,25,5,20,5,25,20
615,35,30,25,5,20,5,30,15
630,40,25,25,5,20,5,20,20
645,40,35,30,5,20,5,0,15
660,40,35,45,10,10,5,0,15
675,35,30,45,10,5,5,0,15
690,35,30,30,10,5,5,0,15
705,0,0,0,10,5,5,0,15
