時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,90,85,80,40,20,5,0,0
15,95,85,90,45,30,5,0,0
30,95,85,90,50,30,15,0,0
45,90,75,80,45,25,25,0,0
60,80,60,80,45,35,35,10,5
75,75,60,70,35,35,30,15,5
90,65,50,55,35,35,25,20,20
105,60,50,50,35,35,30,25,20
120,60,45,60,40,35,30,25,20
135,60,40,50,35,35,30,10,20
150,60,40,50,35,35,25,15,20
165,65,45,45,35,30,20,15,15
180,70,60,45,35,30,20,20,15
195,70,50,45,35,20,20,25,20
210,60,50,45,40,15,25,15,15
225,45,35,45,35,15,25,15,20
240,45,55,45,30,15,25,15,20
255,60,55,40,30,20,25,20,20
270,70,50,40,25,20,20,20,20
285,60,50,40,25,20,25,20,15
300,60,50,40,30,20,25,25,20
315,50,40,50,30,25,15,15,15
330,50,50,50,30,35,20,15,30
345,60,60,45,30,30,20,15,30
360,65,60,50,30,20,20,20,20
375,55,55,50,30,25,20,25,35
390,55,50,45,20,20,10,25,20
405,55,45,45,20,15,15,30,20
420,55,45,40,20,15,25,15,30
435,55,60,40,20,20,25,20,30
450,60,60,45,20,20,20,25,30
465,60,60,45,25,20,15,50,30
480,55,55,40,25,15,15,35,30
495,55,55,40,20,10,15,25,15
510,50,45,40,25,5,15,25,20
525,60,45,45,20,10,15,25,20
540,70,65,45,20,20,15,15,20
555,65,60,45,20,15,25,20,20
570,60,55,50,20,15,20,20,20
585,60,50,50,20,15,20,25,20
600,60,40,45,20,10,20,25,15
615,60,45,45,20,10,20,15,15
630,60,55,55,20,5,15,15,20
645,70,55,60,20,5,5,25,15
660,0,0,60,20,5,10,0,20
675,0,0,0,20,5,10,0,20
690,0,0,0,20,5,10,0,20
705,0,0,0,15,5,5,0,20
