時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,160,120,90,55,25,5,0,0
15,160,120,100,65,35,5,0,0
30,150,130,90,65,50,30,0,0
45,150,120,100,60,50,40,0,0
60,150,120,100,60,50,40,30,0
75,140,100,100,60,45,40,15,0
90,130,100,90,55,45,35,20,0
105,120,90,80,50,45,35,20,0
120,120,80,70,50,45,30,25,0
135,100,80,70,45,45,30,15,0
150,100,70,65,50,40,30,15,0
165,90,65,65,55,40,30,15,0
180,110,70,70,55,35,30,25,0
195,120,70,70,50,35,30,20,0
210,120,70,75,40,40,35,15,0
225,110,70,80,45,40,30,15,0
240,100,70,75,55,40,30,15,0
255,100,70,60,55,40,30,20,0
270,100,70,60,50,40,25,20,0
285,100,70,65,45,40,25,25,0
300,100,60,70,45,35,30,25,0
315,100,60,65,45,50,30,15,0
330,100,60,65,40,45,30,20,0
345,100,75,65,40,45,35,20,0
360,100,75,65,45,35,30,15,0
375,100,75,65,45,35,30,30,0
390,100,70,65,40,40,30,30,0
405,100,70,65,45,35,30,15,0
420,110,65,60,45,35,30,15,0
435,110,65,60,0,35,30,20,0
450,95,90,70,0,40,35,25,0
465,90,85,75,0,45,35,15,0
480,90,85,80,0,40,35,35,0
495,100,80,75,0,35,35,20,0
510,105,80,65,0,30,35,20,0
525,105,75,70,0,30,30,25,0
540,120,85,80,0,30,30,15,0
555,130,80,80,15,35,35,15,0
570,120,70,80,40,35,35,20,0
585,110,70,80,60,30,25,25,0
600,100,80,75,60,25,25,25,0
615,90,80,80,60,20,25,15,0
630,90,85,90,55,20,30,20,0
645,90,85,90,45,20,25,20,0
660,0,65,0,40,20,25,0,0
675,0,0,0,40,20,25,0,0
690,0,0,0,40,10,15,0,0
705,0,0,0,0,5,10,0,0
