時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,110,90,45,5,5,0,0
15,140,120,90,50,20,5,0,0
30,130,110,90,45,35,10,0,0
45,110,100,80,40,40,30,0,0
60,100,100,80,40,40,30,15,15
75,100,100,80,50,35,30,30,20
90,90,90,80,50,35,15,30,20
105,0,0,80,50,35,20,20,20
120,0,40,60,40,35,15,20,30
135,40,50,50,40,35,15,30,30
150,90,65,40,40,35,15,20,20
165,110,70,40,40,30,20,30,20
180,100,70,40,45,30,20,30,20
195,110,70,40,45,30,25,20,20
210,90,70,60,40,30,30,20,30
225,85,80,60,40,30,30,30,20
240,85,70,60,35,30,30,20,35
255,85,70,60,35,35,25,30,35
270,80,70,50,45,35,25,35,30
285,75,60,50,40,30,30,25,30
300,80,60,40,35,30,30,25,20
315,80,80,50,35,35,30,35,30
330,85,75,60,35,45,30,40,35
345,80,70,60,35,45,25,30,35
360,80,70,55,35,45,30,35,35
375,70,70,60,35,30,30,20,35
390,80,70,60,35,25,25,30,20
405,80,65,50,35,25,25,20,20
420,75,70,45,35,25,25,20,20
435,65,65,45,35,25,25,30,25
450,75,65,55,35,25,25,15,30
465,80,65,50,25,20,25,25,25
480,80,65,50,25,20,25,30,25
495,80,65,50,30,10,25,15,30
510,75,65,50,30,20,20,25,20
525,75,65,45,30,25,30,25,35
540,70,70,50,30,25,30,20,30
555,75,75,55,30,35,25,25,20
570,80,75,50,30,25,25,30,30
585,80,70,50,25,25,30,25,20
600,85,70,45,25,25,30,30,20
615,80,70,55,25,15,30,30,15
630,70,70,60,25,5,20,15,15
645,70,70,65,20,5,15,0,15
660,0,0,0,20,10,10,0,15
675,0,0,0,25,15,20,0,15
690,0,0,0,25,5,15,0,15
705,0,0,0,30,5,0,0,15
