時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,150,105,110,0,45,5,0,0
15,150,110,120,0,50,15,0,0
30,135,125,110,0,50,40,0,0
45,135,115,100,50,50,40,0,0
60,115,115,100,55,45,40,10,0
75,115,110,100,60,45,40,25,0
90,100,70,90,65,40,40,15,0
105,100,70,80,65,40,35,25,0
120,100,60,60,55,45,40,25,0
135,100,60,60,50,45,40,15,0
150,110,80,60,45,40,35,15,0
165,100,80,70,45,40,35,15,0
180,90,80,70,50,35,35,25,0
195,90,80,80,55,35,30,25,0
210,90,70,80,55,40,30,20,0
225,110,60,70,55,40,35,15,0
240,110,70,80,45,40,35,15,0
255,110,70,80,45,35,30,20,0
270,90,70,55,45,40,30,20,0
285,90,70,55,50,35,30,25,0
300,80,70,60,50,35,35,25,0
315,90,80,65,45,45,30,20,0
330,100,80,70,45,40,30,15,0
345,110,60,70,45,40,35,20,0
360,110,60,70,45,35,35,20,0
375,80,80,70,45,35,35,20,0
390,80,80,65,45,35,30,30,0
405,100,80,70,45,35,30,15,0
420,100,80,70,40,35,30,15,0
435,90,80,65,35,35,30,20,0
450,90,70,70,40,35,30,25,0
465,90,60,75,45,35,30,20,0
480,90,50,70,45,30,30,30,0
495,90,80,65,40,30,25,20,0
510,90,70,65,45,25,30,30,0
525,100,70,75,45,25,30,25,0
540,120,90,75,50,35,30,15,0
555,120,80,75,45,35,30,15,0
570,100,70,75,40,30,30,25,0
585,90,65,70,35,30,30,25,0
600,90,70,75,35,20,35,25,0
615,90,75,75,40,20,30,15,0
630,80,75,80,40,20,20,15,0
645,0,80,80,40,25,25,20,0
660,0,0,0,40,20,25,0,0
675,0,0,0,40,20,30,0,0
690,0,0,0,40,20,0,0,0
705,0,0,0,0,15,0,0,0
