時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,140,120,100,5,25,5,0,0
15,140,120,110,60,30,5,0,0
30,140,110,100,65,35,25,0,0
45,130,100,100,65,45,35,0,0
60,130,80,90,60,50,40,25,0
75,125,80,90,55,45,35,20,0
90,100,90,80,50,35,35,20,0
105,90,80,65,50,30,30,20,0
120,90,75,65,50,40,25,25,0
135,85,65,65,50,40,30,15,0
150,100,65,65,45,40,30,20,0
165,100,65,65,45,35,30,15,0
180,100,60,50,50,30,30,20,0
195,90,70,50,45,30,30,25,0
210,95,65,50,45,35,30,15,0
225,100,60,50,40,35,30,15,0
240,100,70,55,45,35,30,15,0
255,100,70,60,50,35,30,15,0
270,95,65,60,50,25,30,15,0
285,95,65,60,40,25,30,20,0
300,95,65,60,40,30,30,25,0
315,95,70,65,40,45,30,15,0
330,90,70,70,35,40,30,15,0
345,90,70,70,40,40,30,15,0
360,85,70,60,40,30,30,20,0
375,85,70,60,40,30,30,25,0
390,95,70,60,40,25,30,15,0
405,95,70,65,45,25,30,15,0
420,90,65,65,35,30,30,15,0
435,90,65,60,35,30,30,15,0
450,95,70,70,35,30,35,25,0
465,95,65,70,40,25,35,15,0
480,85,60,55,35,25,35,35,0
495,85,55,50,35,20,30,20,0
510,90,55,45,30,20,30,25,0
525,85,70,50,30,20,25,25,0
540,90,75,70,35,20,25,15,0
555,95,75,65,35,20,25,15,0
570,95,70,65,35,20,25,15,0
585,90,60,55,35,20,25,25,0
600,90,55,55,35,15,25,25,0
615,95,60,55,30,15,25,20,0
630,90,65,60,25,10,20,15,0
645,0,65,60,25,10,20,25,0
660,0,0,0,25,10,20,0,0
675,0,0,0,25,5,20,0,0
690,0,0,0,30,5,15,0,0
705,0,0,0,0,10,0,0,0
