,時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
0,2022-07-01 09:00:00,95,65,50,25,5,5,0,0,4,Friday,False
1,2022-07-01 09:15:00,80,65,45,35,10,5,0,0,4,Friday,False
2,2022-07-01 09:30:00,110,65,55,45,10,10,0,0,4,Friday,False
3,2022-07-01 09:45:00,110,65,60,45,10,10,0,0,4,Friday,False
4,2022-07-01 10:00:00,120,65,55,40,20,20,30,15,4,Friday,False
5,2022-07-01 10:15:00,120,55,45,35,30,20,15,15,4,Friday,False
6,2022-07-01 10:30:00,80,55,45,35,30,20,30,20,4,Friday,False
7,2022-07-01 10:45:00,60,45,40,30,30,20,15,20,4,Friday,False
8,2022-07-01 11:00:00,60,40,45,30,25,15,25,20,4,Friday,False
9,2022-07-01 11:15:00,60,40,40,30,20,15,30,20,4,Friday,False
10,2022-07-01 11:30:00,60,35,35,30,20,15,15,15,4,Friday,False
11,2022-07-01 11:45:00,60,45,45,30,10,15,25,20,4,Friday,False
12,2022-07-01 12:00:00,55,45,50,30,5,15,30,15,4,Friday,False
13,2022-07-01 12:15:00,40,45,45,25,5,15,25,15,4,Friday,False
14,2022-07-01 12:30:00,40,40,45,20,5,20,25,15,4,Friday,False
15,2022-07-01 12:45:00,45,35,45,15,20,15,15,15,4,Friday,False
16,2022-07-01 13:00:00,65,50,45,15,20,15,20,15,4,Friday,False
17,2022-07-01 13:15:00,65,45,45,20,20,10,25,15,4,Friday,False
18,2022-07-01 13:30:00,60,45,45,25,5,10,35,15,4,Friday,False
19,2022-07-01 13:45:00,45,45,45,30,15,15,20,20,4,Friday,False
20,2022-07-01 14:00:00,45,40,40,25,20,10,25,20,4,Friday,False
21,2022-07-01 14:15:00,40,50,40,15,20,20,15,20,4,Friday,False
22,2022-07-01 14:30:00,60,55,50,20,20,15,20,20,4,Friday,False
23,2022-07-01 14:45:00,60,55,50,20,20,20,30,20,4,Friday,False
24,2022-07-01 15:00:00,60,45,50,20,20,20,25,20,4,Friday,False
25,2022-07-01 15:15:00,55,40,50,15,5,15,20,25,4,Friday,False
26,2022-07-01 15:30:00,45,40,50,15,5,15,30,15,4,Friday,False
27,2022-07-01 15:45:00,45,40,50,15,5,15,15,15,4,Friday,False
28,2022-07-01 16:00:00,50,45,40,15,5,5,25,15,4,Friday,False
29,2022-07-01 16:15:00,50,45,35,15,5,5,30,20,4,Friday,False
30,2022-07-01 16:30:00,50,50,40,15,15,5,20,20,4,Friday,False
31,2022-07-01 16:45:00,50,45,40,10,15,5,25,15,4,Friday,False
32,2022-07-01 17:00:00,55,40,45,5,10,10,30,15,4,Friday,False
33,2022-07-01 17:15:00,70,50,40,10,10,10,20,15,4,Friday,False
34,2022-07-01 17:30:00,60,0,35,10,10,5,20,15,4,Friday,False
35,2022-07-01 17:45:00,50,0,40,10,10,5,30,25,4,Friday,False
36,2022-07-01 18:00:00,50,0,50,10,15,5,20,25,4,Friday,False
37,2022-07-01 18:15:00,55,0,45,10,20,5,20,30,4,Friday,False
38,2022-07-01 18:30:00,60,0,40,15,20,10,30,15,4,Friday,False
39,2022-07-01 18:45:00,60,0,40,15,20,10,15,20,4,Friday,False
40,2022-07-01 19:00:00,65,0,40,10,20,5,25,20,4,Friday,False
41,2022-07-01 19:15:00,70,5,35,10,20,5,15,15,4,Friday,False
42,2022-07-01 19:30:00,70,50,35,5,15,10,0,20,4,Friday,False
43,2022-07-01 19:45:00,65,60,35,5,5,5,0,15,4,Friday,False
44,2022-07-01 20:00:00,60,70,40,10,5,5,0,15,4,Friday,False
45,2022-07-01 20:15:00,0,0,45,10,5,5,0,15,4,Friday,False
46,2022-07-01 20:30:00,0,0,0,10,5,5,0,20,4,Friday,False
47,2022-07-01 20:45:00,0,0,0,5,5,5,0,0,4,Friday,False
48,2022-07-02 09:00:00,130,5,90,30,5,5,0,0,5,Saturday,False
49,2022-07-02 09:15:00,130,130,90,40,15,5,0,0,5,Saturday,False
50,2022-07-02 09:30:00,120,130,100,50,20,10,0,0,5,Saturday,False
51,2022-07-02 09:45:00,120,120,90,50,40,25,0,0,5,Saturday,False
52,2022-07-02 10:00:00,140,130,80,50,45,35,5,5,5,Saturday,False
53,2022-07-02 10:15:00,130,120,75,50,45,35,20,15,5,Saturday,False
54,2022-07-02 10:30:00,125,105,75,45,40,30,30,20,5,Saturday,False
55,2022-07-02 10:45:00,110,100,70,45,40,25,20,20,5,Saturday,False
56,2022-07-02 11:00:00,110,95,60,45,35,30,20,15,5,Saturday,False
57,2022-07-02 11:15:00,90,95,50,45,35,30,30,30,5,Saturday,False
