,時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
0,2023-08-01 09:00:00,0,0,0,0,0,0,0,0,1,Tuesday,False
1,2023-08-01 09:15:00,140,110,50,55,10,10,0,15,1,Tuesday,False
2,2023-08-01 09:30:00,140,120,70,70,30,40,0,20,1,Tuesday,False
3,2023-08-01 09:45:00,140,110,65,65,70,45,0,35,1,Tuesday,False
4,2023-08-01 10:00:00,130,110,60,0,80,50,0,35,1,Tuesday,False
5,2023-08-01 10:15:00,115,115,50,0,85,60,20,30,1,Tuesday,False
6,2023-08-01 10:30:00,115,110,55,0,80,60,20,35,1,Tuesday,False
7,2023-08-01 10:45:00,115,110,110,0,70,50,25,35,1,Tuesday,False
8,2023-08-01 11:00:00,100,100,140,10,60,50,30,40,1,Tuesday,False
9,2023-08-01 11:15:00,100,0,140,55,60,45,30,40,1,Tuesday,False
10,2023-08-01 11:30:00,100,0,120,90,45,45,30,35,1,Tuesday,False
11,2023-08-01 11:45:00,100,0,110,90,40,45,35,35,1,Tuesday,False
12,2023-08-01 12:00:00,100,0,50,90,40,40,35,35,1,Tuesday,False
13,2023-08-01 12:15:00,95,0,50,90,50,45,25,40,1,Tuesday,False
14,2023-08-01 12:30:00,0,0,40,90,55,45,25,40,1,Tuesday,False
15,2023-08-01 12:45:00,0,30,40,80,55,40,30,40,1,Tuesday,False
16,2023-08-01 13:00:00,0,80,70,80,55,45,30,15,1,Tuesday,False
17,2023-08-01 13:15:00,45,0,0,90,60,55,35,20,1,Tuesday,False
18,2023-08-01 13:30:00,0,0,0,100,55,0,0,20,1,Tuesday,False
19,2023-08-01 13:45:00,0,0,0,0,45,0,0,0,1,Tuesday,False
20,2023-08-01 14:00:00,70,0,30,100,50,10,25,0,1,Tuesday,False
21,2023-08-01 14:15:00,120,0,65,100,55,5,30,15,1,Tuesday,False
22,2023-08-01 14:30:00,130,0,70,100,55,60,30,30,1,Tuesday,False
23,2023-08-01 14:45:00,130,60,70,80,45,60,40,35,1,Tuesday,False
24,2023-08-01 15:00:00,110,100,60,80,45,55,35,40,1,Tuesday,False
25,2023-08-01 15:15:00,110,115,90,80,45,55,35,40,1,Tuesday,False
26,2023-08-01 15:30:00,95,100,55,110,50,45,35,40,1,Tuesday,False
27,2023-08-01 15:45:00,95,100,50,110,50,50,45,40,1,Tuesday,False
28,2023-08-01 16:00:00,95,80,50,80,50,50,30,15,1,Tuesday,False
29,2023-08-01 16:15:00,90,80,50,65,50,45,15,20,1,Tuesday,False
30,2023-08-01 16:30:00,80,90,60,55,45,50,20,20,1,Tuesday,False
31,2023-08-01 16:45:00,80,90,60,60,40,55,20,40,1,Tuesday,False
32,2023-08-01 17:00:00,80,90,50,65,30,50,20,20,1,Tuesday,False
33,2023-08-01 17:15:00,85,90,50,70,30,40,20,20,1,Tuesday,False
34,2023-08-01 17:30:00,100,95,45,60,35,40,15,20,1,Tuesday,False
35,2023-08-01 17:45:00,100,90,50,55,50,40,20,20,1,Tuesday,False
36,2023-08-01 18:00:00,100,90,50,55,45,40,20,20,1,Tuesday,False
37,2023-08-01 18:15:00,0,0,0,0,0,0,0,0,1,Tuesday,False
38,2023-08-01 18:30:00,90,70,55,50,40,50,25,20,1,Tuesday,False
39,2023-08-01 18:45:00,90,85,45,50,35,45,15,15,1,Tuesday,False
40,2023-08-01 19:00:00,90,85,45,50,35,45,15,15,1,Tuesday,False
41,2023-08-01 19:15:00,90,80,45,45,30,35,15,15,1,Tuesday,False
42,2023-08-01 19:30:00,90,80,45,40,35,20,20,20,1,Tuesday,False
43,2023-08-01 19:45:00,85,80,40,35,20,30,25,15,1,Tuesday,False
44,2023-08-01 20:00:00,80,70,30,35,15,20,25,15,1,Tuesday,False
45,2023-08-01 20:15:00,70,60,30,20,10,5,25,20,1,Tuesday,False
46,2023-08-01 20:30:00,45,35,30,20,5,10,15,20,1,Tuesday,False
47,2023-08-01 20:45:00,0,0,0,25,10,15,0,20,1,Tuesday,False
48,2023-08-02 09:00:00,0,0,0,0,0,0,0,0,2,Wednesday,False
49,2023-08-02 09:15:00,140,120,55,65,5,5,0,15,2,Wednesday,False
50,2023-08-02 09:30:00,140,120,65,80,30,10,0,15,2,Wednesday,False
51,2023-08-02 09:45:00,150,130,65,80,50,50,0,30,2,Wednesday,False
52,2023-08-02 10:00:00,120,110,60,70,70,55,0,35,2,Wednesday,False
53,2023-08-02 10:15:00,100,100,60,65,70,50,15,35,2,Wednesday,False
54,2023-08-02 10:30:00,100,100,55,70,60,45,20,35,2,Wednesday,False
55,2023-08-02 10:45:00,100,90,65,80,55,45,25,35,2,Wednesday,False
56,2023-08-02 11:00:00,85,80,65,80,60,45,25,45,2,Wednesday,False
57,2023-08-02 11:15:00,85,70,65,85,60,40,25,35,2,Wednesday,False
58,2023-08-02 11:30:00,90,60,70,70,55,35,30,35,2,Wednesday,False
59,2023-08-02 11:45:00,100,70,50,60,45,40,35,20,2,Wednesday,False
60,2023-08-02 12:00:00,100,75,45,60,40,40,20,25,2,Wednesday,False
61,2023-08-02 12:15:00,80,70,50,60,40,40,25,50,2,Wednesday,False
62,2023-08-02 12:30:00,80,80,45,65,45,40,30,40,2,Wednesday,False
63,2023-08-02 12:45:00,80,85,55,70,45,40,30,40,2,Wednesday,False
64,2023-08-02 13:00:00,90,70,60,70,45,30,30,20,2,Wednesday,False
65,2023-08-02 13:15:00,90,65,60,65,50,30,25,20,2,Wednesday,False
66,2023-08-02 13:30:00,90,65,60,60,50,35,20,20,2,Wednesday,False
67,2023-08-02 13:45:00,90,65,60,70,45,40,25,20,2,Wednesday,False
68,2023-08-02 14:00:00,75,100,60,70,45,45,35,35,2,Wednesday,False
69,2023-08-02 14:15:00,105,100,60,60,45,45,30,35,2,Wednesday,False
70,2023-08-02 14:30:00,105,80,55,60,45,45,30,15,2,Wednesday,False
71,2023-08-02 14:45:00,105,80,55,70,40,45,15,20,2,Wednesday,False
72,2023-08-02 15:00:00,110,75,50,65,40,45,25,35,2,Wednesday,False
73,2023-08-02 15:15:00,90,75,55,65,55,50,20,40,2,Wednesday,False
74,2023-08-02 15:30:00,80,85,60,75,50,55,30,40,2,Wednesday,False
75,2023-08-02 15:45:00,70,85,60,80,50,45,35,35,2,Wednesday,False
76,2023-08-02 16:00:00,95,80,50,65,60,45,15,35,2,Wednesday,False
77,2023-08-02 16:15:00,100,80,45,55,55,35,35,35,2,Wednesday,False
78,2023-08-02 16:30:00,100,85,40,55,45,30,25,20,2,Wednesday,False
79,2023-08-02 16:45:00,95,75,40,45,45,40,25,20,2,Wednesday,False
80,2023-08-02 17:00:00,85,75,45,50,40,40,15,20,2,Wednesday,False
81,2023-08-02 17:15:00,100,80,50,50,25,40,15,30,2,Wednesday,False
82,2023-08-02 17:30:00,100,80,60,55,45,40,25,20,2,Wednesday,False
83,2023-08-02 17:45:00,100,75,60,55,50,35,20,20,2,Wednesday,False
