時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2022-07-08 09:00:00,80,70,50,35,20,5,0,0
2022-07-08 09:15:00,80,75,60,45,20,5,0,0
2022-07-08 09:30:00,75,65,60,35,0,15,0,0
2022-07-08 09:45:00,65,65,60,35,0,35,0,0
2022-07-08 10:00:00,65,65,55,45,0,30,5,5
2022-07-08 10:15:00,70,55,55,45,0,20,25,15
2022-07-08 10:30:00,70,45,55,40,0,25,30,20
2022-07-08 10:45:00,60,45,55,40,0,25,15,20
2022-07-08 11:00:00,65,45,50,40,0,25,25,20
2022-07-08 11:15:00,55,45,55,35,5,25,30,20
2022-07-08 11:30:00,55,55,55,35,0,20,15,15
2022-07-08 11:45:00,55,55,40,35,0,25,25,15
2022-07-08 12:00:00,60,50,45,30,0,30,30,15
2022-07-08 12:15:00,60,45,55,40,0,30,15,15
2022-07-08 12:30:00,60,45,55,30,0,25,25,15
2022-07-08 12:45:00,60,45,55,30,0,30,15,15
2022-07-08 13:00:00,60,50,50,30,5,30,15,20
2022-07-08 13:15:00,45,60,50,30,25,15,25,20
2022-07-08 13:30:00,50,60,50,30,40,20,20,20
2022-07-08 13:45:00,65,50,35,30,30,20,25,20
2022-07-08 14:00:00,65,50,40,30,30,20,25,15
2022-07-08 14:15:00,45,50,45,30,45,20,20,15
2022-07-08 14:30:00,55,50,50,20,45,20,15,20
2022-07-08 14:45:00,60,50,50,20,45,20,30,15
2022-07-08 15:00:00,55,40,40,25,40,25,30,30
2022-07-08 15:15:00,50,40,40,30,40,25,20,20
2022-07-08 15:30:00,50,40,40,30,35,15,30,20
2022-07-08 15:45:00,50,45,35,25,35,25,15,20
2022-07-08 16:00:00,50,50,35,20,30,20,25,20
2022-07-08 16:15:00,50,50,40,15,30,15,30,15
2022-07-08 16:30:00,55,35,45,15,30,10,30,35
2022-07-08 16:45:00,55,35,45,20,25,5,25,20
2022-07-08 17:00:00,55,45,45,20,25,10,30,15
2022-07-08 17:15:00,55,55,45,20,20,10,15,15
2022-07-08 17:30:00,55,60,45,20,20,10,25,20
2022-07-08 17:45:00,55,60,45,20,40,10,30,35
2022-07-08 18:00:00,55,60,45,15,30,10,20,20
2022-07-08 18:15:00,50,55,45,15,30,15,30,20
2022-07-08 18:30:00,50,55,40,15,30,20,15,20
2022-07-08 18:45:00,60,40,40,15,25,20,20,15
2022-07-08 19:00:00,60,40,35,15,20,20,25,15
2022-07-08 19:15:00,65,55,40,20,20,5,15,15
2022-07-08 19:30:00,60,50,45,20,15,5,20,15
2022-07-08 19:45:00,60,45,50,20,10,10,0,15
2022-07-08 20:00:00,60,50,55,20,10,10,0,15
2022-07-08 20:15:00,0,50,50,15,5,10,0,20
2022-07-08 20:30:00,0,0,0,15,5,5,0,20
2022-07-08 20:45:00,0,0,0,15,5,0,0,10
