時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2022-07-16 09:00:00,160,120,80,40,20,5,0,0
2022-07-16 09:15:00,170,120,100,50,20,5,0,0
2022-07-16 09:30:00,180,130,100,55,30,25,0,0
2022-07-16 09:45:00,160,130,100,55,45,40,0,0
2022-07-16 10:00:00,160,120,100,55,45,40,5,15
2022-07-16 10:15:00,140,110,100,55,45,35,25,20
2022-07-16 10:30:00,140,110,90,50,40,40,30,15
2022-07-16 10:45:00,130,100,90,50,35,40,20,15
2022-07-16 11:00:00,130,100,70,50,40,40,25,15
2022-07-16 11:15:00,130,100,70,45,40,35,30,15
2022-07-16 11:30:00,120,100,70,45,40,35,20,20
2022-07-16 11:45:00,120,100,80,45,40,30,25,20
2022-07-16 12:00:00,120,110,80,45,35,25,30,15
2022-07-16 12:15:00,120,110,80,50,35,30,20,30
2022-07-16 12:30:00,120,100,70,45,30,30,20,30
2022-07-16 12:45:00,110,90,70,45,35,30,35,30
2022-07-16 13:00:00,110,90,70,45,35,35,15,25
2022-07-16 13:15:00,110,90,70,50,35,35,25,25
2022-07-16 13:30:00,130,90,80,50,40,30,35,20
2022-07-16 13:45:00,130,90,90,60,40,30,40,20
2022-07-16 14:00:00,130,60,80,60,50,30,30,20
2022-07-16 14:15:00,130,80,80,60,0,30,35,30
2022-07-16 14:30:00,130,90,80,50,0,35,40,35
2022-07-16 14:45:00,130,110,80,50,0,40,30,35
2022-07-16 15:00:00,145,110,80,50,0,35,35,45
2022-07-16 15:15:00,130,100,90,60,0,30,45,30
2022-07-16 15:30:00,120,90,90,50,0,30,30,30
2022-07-16 15:45:00,110,90,90,50,0,25,40,30
2022-07-16 16:00:00,110,90,90,45,30,20,45,30
2022-07-16 16:15:00,110,90,80,40,35,25,30,45
2022-07-16 16:30:00,110,90,80,40,40,25,15,45
2022-07-16 16:45:00,110,90,80,40,40,25,20,20
2022-07-16 17:00:00,110,90,90,35,40,15,30,20
2022-07-16 17:15:00,110,90,90,35,35,15,40,30
2022-07-16 17:30:00,100,90,80,50,35,25,20,20
2022-07-16 17:45:00,100,90,75,50,35,25,30,30
2022-07-16 18:00:00,100,80,75,35,35,25,20,30
2022-07-16 18:15:00,100,80,75,35,35,20,25,30
2022-07-16 18:30:00,110,70,75,30,30,25,20,30
2022-07-16 18:45:00,110,70,75,30,25,20,15,15
2022-07-16 19:00:00,110,65,75,30,20,20,25,20
2022-07-16 19:15:00,110,80,80,30,20,15,15,30
2022-07-16 19:30:00,0,90,90,30,10,15,25,20
2022-07-16 19:45:00,0,85,80,30,10,15,0,20
2022-07-16 20:00:00,0,0,0,30,15,10,0,20
2022-07-16 20:15:00,0,0,0,30,10,15,0,15
2022-07-16 20:30:00,0,0,0,25,10,5,0,15
2022-07-16 20:45:00,0,0,0,25,5,5,0,20
