時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2023-07-05 09:00:00,0,0,0,0,0,0,0,0
2023-07-05 09:15:00,110,90,40,40,5,10,0,20
2023-07-05 09:30:00,120,85,50,55,25,20,0,20
2023-07-05 09:45:00,120,85,50,60,35,25,0,20
2023-07-05 10:00:00,115,75,45,60,45,30,0,20
2023-07-05 10:15:00,100,70,45,55,50,35,15,20
2023-07-05 10:30:00,85,70,35,50,40,40,25,15
2023-07-05 10:45:00,85,60,45,50,35,35,25,15
2023-07-05 11:00:00,90,60,55,60,35,30,25,15
2023-07-05 11:15:00,90,60,50,60,40,30,15,15
2023-07-05 11:30:00,90,55,50,60,40,30,15,20
2023-07-05 11:45:00,85,55,55,60,35,30,20,15
2023-07-05 12:00:00,110,55,60,60,40,30,20,15
2023-07-05 12:15:00,100,80,45,60,45,30,20,20
2023-07-05 12:30:00,95,60,50,60,40,30,25,20
2023-07-05 12:45:00,95,45,55,60,35,30,15,15
2023-07-05 13:00:00,85,45,55,55,40,35,15,15
2023-07-05 13:15:00,90,60,55,55,45,35,15,15
2023-07-05 13:30:00,100,70,45,55,35,35,20,30
2023-07-05 13:45:00,90,75,55,55,40,35,25,15
2023-07-05 14:00:00,85,75,50,55,40,35,25,15
2023-07-05 14:15:00,95,65,50,55,40,30,25,20
2023-07-05 14:30:00,100,50,45,55,40,40,25,20
2023-07-05 14:45:00,95,65,45,60,40,40,25,20
2023-07-05 15:00:00,100,65,50,65,40,35,25,20
2023-07-05 15:15:00,85,65,50,55,40,35,25,30
2023-07-05 15:30:00,85,75,50,55,40,35,25,25
2023-07-05 15:45:00,95,65,50,55,35,35,25,15
2023-07-05 16:00:00,100,55,50,60,35,35,15,15
2023-07-05 16:15:00,100,55,50,60,35,30,15,20
2023-07-05 16:30:00,90,60,60,60,30,25,20,20
2023-07-05 16:45:00,90,65,55,60,25,25,25,20
2023-07-05 17:00:00,90,70,50,55,25,20,25,25
2023-07-05 17:15:00,0,0,0,0,0,0,0,0
2023-07-05 17:30:00,100,60,80,55,35,20,15,15
2023-07-05 17:45:00,90,60,70,60,35,20,20,15
2023-07-05 18:00:00,80,60,65,50,25,25,25,20
2023-07-05 18:15:00,0,0,0,0,0,0,0,0
2023-07-05 18:30:00,90,55,60,45,30,25,25,20
2023-07-05 18:45:00,80,55,60,50,25,25,15,15
2023-07-05 19:00:00,70,60,40,50,20,25,15,15
2023-07-05 19:15:00,70,55,35,40,20,15,15,15
2023-07-05 19:30:00,60,45,45,30,15,15,20,20
2023-07-05 19:45:00,60,40,45,30,10,10,25,15
2023-07-05 20:00:00,55,40,35,25,20,5,25,15
2023-07-05 20:15:00,40,30,35,15,5,5,15,15
2023-07-05 20:30:00,40,30,35,15,5,5,15,15
2023-07-05 20:45:00,0,0,0,0,5,5,0,15
