時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,70,55,50,25,15,5,0,0
15,70,55,45,20,10,5,0,0
30,60,45,40,20,5,5,0,0
45,60,45,40,20,5,5,0,0
60,55,40,35,20,5,5,5,5
75,50,40,35,15,5,10,20,15
90,40,35,35,20,5,10,30,15
105,40,30,35,25,5,10,20,15
120,35,30,35,30,5,10,20,15
135,35,30,35,30,5,10,15,15
150,40,35,40,25,5,15,15,20
165,45,35,45,15,5,15,25,20
180,40,30,45,10,5,15,30,20
195,40,35,40,25,5,10,20,20
210,35,35,40,15,5,10,25,15
225,35,35,40,15,5,5,30,20
240,40,40,30,15,5,10,15,20
255,45,35,30,10,5,10,25,20
270,45,40,30,10,5,10,30,20
285,40,30,30,15,5,10,30,20
300,40,35,30,15,15,10,25,20
315,40,35,30,15,15,5,15,20
330,45,45,35,15,15,5,20,20
345,45,35,40,15,10,5,30,20
360,40,30,35,20,10,10,15,15
375,35,35,35,20,5,5,30,20
390,35,35,35,10,5,5,25,15
405,40,35,30,10,5,5,20,15
420,40,35,20,10,5,5,25,15
435,40,35,30,10,5,5,30,15
450,40,35,35,10,5,5,20,15
465,35,35,35,10,5,5,25,20
480,35,35,30,10,5,5,30,20
495,50,35,30,10,5,5,20,20
510,40,35,25,10,5,5,25,15
525,40,35,30,10,5,5,30,15
540,35,40,30,10,5,10,20,15
555,45,35,30,10,5,10,25,15
570,45,35,30,10,15,10,30,15
585,40,30,30,10,20,10,15,15
600,40,30,25,10,20,10,25,15
615,35,30,25,10,20,5,15,20
630,40,30,35,10,5,5,20,20
645,40,30,40,10,5,5,0,20
660,50,30,40,10,5,5,0,20
675,45,30,45,10,5,5,0,15
690,35,25,40,15,5,5,0,15
705,0,0,0,10,5,5,0,0
