時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,90,70,60,10,20,5,0,0
15,80,60,60,30,10,5,0,0
30,80,65,50,40,10,15,0,0
45,75,60,55,35,15,15,0,0
60,75,50,60,35,20,25,5,15
75,65,45,65,35,20,25,25,15
90,65,45,55,35,30,25,30,15
105,60,45,50,40,35,30,15,20
120,55,40,45,40,35,30,25,20
135,50,40,40,40,40,30,30,20
150,50,45,40,30,30,30,15,20
165,50,45,40,25,25,25,25,20
180,55,45,50,30,25,25,30,20
195,60,45,50,40,25,25,15,15
210,65,40,55,40,30,30,25,20
225,45,40,55,35,30,30,30,15
240,60,45,55,35,30,30,15,20
255,65,45,55,35,30,25,30,15
270,65,45,55,30,30,30,15,15
285,65,40,60,35,25,30,20,20
300,60,50,45,35,25,30,15,20
315,50,55,40,30,25,30,20,15
330,60,55,55,35,35,35,20,25
345,65,50,55,40,35,30,25,20
360,70,50,50,35,25,30,30,25
375,70,50,50,35,25,25,20,20
390,55,45,50,30,20,25,30,15
405,55,45,45,30,20,25,15,20
420,60,45,50,30,15,20,20,20
435,60,50,40,30,10,20,30,20
450,65,50,60,30,15,20,15,20
465,65,50,65,20,15,15,30,20
480,65,45,60,20,10,20,30,20
495,75,60,55,25,10,20,30,15
510,65,60,55,25,10,15,25,20
525,65,60,50,25,10,15,30,25
540,65,60,50,25,20,20,15,20
555,65,50,50,30,20,15,25,20
570,70,50,50,30,15,15,30,20
585,70,45,50,20,10,10,30,15
600,70,45,50,20,5,5,30,15
615,70,50,50,20,5,5,30,15
630,70,50,50,25,5,5,20,15
645,70,45,50,25,5,5,0,15
660,0,45,65,15,5,5,0,20
675,0,0,0,15,5,5,0,20
690,0,0,0,15,5,5,0,20
705,0,0,0,0,5,5,0,0
