時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,80,70,50,35,20,5,0,0
15,80,75,60,45,20,5,0,0
30,75,65,60,35,0,15,0,0
45,65,65,60,35,0,35,0,0
60,65,65,55,45,0,30,5,5
75,70,55,55,45,0,20,25,15
90,70,45,55,40,0,25,30,20
105,60,45,55,40,0,25,15,20
120,65,45,50,40,0,25,25,20
135,55,45,55,35,5,25,30,20
150,55,55,55,35,0,20,15,15
165,55,55,40,35,0,25,25,15
180,60,50,45,30,0,30,30,15
195,60,45,55,40,0,30,15,15
210,60,45,55,30,0,25,25,15
225,60,45,55,30,0,30,15,15
240,60,50,50,30,5,30,15,20
255,45,60,50,30,25,15,25,20
270,50,60,50,30,40,20,20,20
285,65,50,35,30,30,20,25,20
300,65,50,40,30,30,20,25,15
315,45,50,45,30,45,20,20,15
330,55,50,50,20,45,20,15,20
345,60,50,50,20,45,20,30,15
360,55,40,40,25,40,25,30,30
375,50,40,40,30,40,25,20,20
390,50,40,40,30,35,15,30,20
405,50,45,35,25,35,25,15,20
420,50,50,35,20,30,20,25,20
435,50,50,40,15,30,15,30,15
450,55,35,45,15,30,10,30,35
465,55,35,45,20,25,5,25,20
480,55,45,45,20,25,10,30,15
495,55,55,45,20,20,10,15,15
510,55,60,45,20,20,10,25,20
525,55,60,45,20,40,10,30,35
540,55,60,45,15,30,10,20,20
555,50,55,45,15,30,15,30,20
570,50,55,40,15,30,20,15,20
585,60,40,40,15,25,20,20,15
600,60,40,35,15,20,20,25,15
615,65,55,40,20,20,5,15,15
630,60,50,45,20,15,5,20,15
645,60,45,50,20,10,10,0,15
660,60,50,55,20,10,10,0,15
675,0,50,50,15,5,10,0,20
690,0,0,0,15,5,5,0,20
705,0,0,0,15,5,0,0,10
