時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,150,120,90,40,20,5,0,0
15,130,130,90,50,20,5,0,0
30,140,110,80,50,25,10,0,0
45,120,90,80,45,35,30,0,0
60,120,90,90,50,40,25,5,30
75,110,90,90,50,40,25,20,35
90,100,90,75,45,40,30,25,30
105,90,90,70,40,35,25,15,20
120,100,85,65,40,35,30,25,20
135,110,85,55,35,35,30,30,25
150,110,75,60,35,35,30,15,30
165,110,75,55,40,35,30,25,20
180,100,75,60,40,30,25,30,25
195,120,75,70,45,30,25,15,30
210,120,70,70,45,25,30,20,20
225,120,60,75,40,30,30,30,20
240,110,60,50,35,30,25,20,35
255,90,60,40,30,35,25,25,35
270,90,80,45,30,30,25,25,30
285,80,80,45,30,30,25,20,30
300,80,80,55,30,30,25,15,30
315,85,80,50,30,25,25,15,30
330,90,90,65,30,35,30,40,35
345,100,90,65,30,30,30,40,30
360,90,90,55,30,30,25,40,35
375,80,90,55,30,30,20,20,35
390,80,60,60,30,30,20,30,35
405,80,50,60,25,20,0,30,30
420,75,70,60,20,20,0,25,20
435,60,70,60,25,25,0,30,20
450,70,75,40,30,25,0,35,30
465,90,80,45,30,20,0,25,35
480,90,75,50,30,10,0,30,35
495,100,70,55,30,10,0,15,35
510,90,60,55,30,20,0,20,15
525,90,70,60,25,20,0,30,40
540,70,70,60,25,20,0,15,30
555,75,80,55,25,20,0,25,35
570,75,70,60,25,20,0,30,35
585,80,70,60,30,20,0,20,20
600,85,65,60,30,20,0,25,25
615,85,65,60,20,20,0,15,20
630,85,70,60,20,10,0,25,30
645,75,75,60,25,10,0,0,30
660,0,0,60,30,10,0,0,30
675,0,0,0,30,5,0,0,20
690,0,0,0,25,5,0,0,15
705,0,0,0,20,5,0,0,30
