時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,90,90,90,40,25,5,0,0
15,100,90,90,40,20,5,0,0
30,110,100,80,45,30,15,0,0
45,100,90,70,40,30,30,0,0
60,80,90,70,40,35,30,5,15
75,70,80,60,40,35,30,20,15
90,70,80,60,40,30,30,30,15
105,65,50,50,40,30,30,15,20
120,60,50,50,40,30,25,20,25
135,60,40,45,35,30,25,30,20
150,60,55,45,35,20,25,20,20
165,65,60,45,40,20,25,25,20
180,65,60,45,35,20,20,30,15
195,60,55,45,40,20,20,20,15
210,60,55,60,40,20,20,25,15
225,60,55,60,40,30,20,15,15
240,60,55,60,30,30,20,15,15
255,65,60,55,25,20,20,25,25
270,70,50,55,25,20,20,20,15
285,65,45,60,25,15,20,20,15
300,60,50,60,25,15,20,25,15
315,60,65,60,25,20,25,15,20
330,60,70,60,25,35,25,20,35
345,60,55,55,25,40,20,30,30
360,70,45,55,30,35,20,30,20
375,55,55,55,30,20,20,20,30
390,55,60,40,30,20,20,30,25
405,50,60,40,20,15,20,15,30
420,65,60,45,20,15,20,20,30
435,70,50,45,20,15,20,30,30
450,65,50,45,20,15,10,15,30
465,55,60,55,20,15,5,25,20
480,65,60,50,10,10,5,30,20
495,70,60,40,10,5,15,25,20
510,70,65,40,20,10,20,20,20
525,70,65,40,25,15,20,30,20
540,70,65,55,20,20,15,15,30
555,70,65,55,20,20,20,25,20
570,70,60,55,20,15,25,30,15
585,70,55,40,20,15,20,20,20
600,70,50,40,20,15,20,20,15
615,75,50,45,15,10,20,15,20
630,80,60,50,15,5,20,20,20
645,80,60,50,0,5,20,0,20
660,0,60,50,0,10,20,0,15
675,0,0,50,0,10,15,0,15
690,0,0,0,0,15,10,0,20
705,0,0,0,0,10,0,0,25
