時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,100,90,5,35,5,20,0,0
15,100,90,70,40,10,20,0,0
30,100,90,65,40,15,20,0,0
45,110,90,55,40,40,20,0,0
60,110,90,60,45,40,10,5,15
75,100,90,70,45,40,5,20,15
90,90,80,70,45,30,5,30,20
105,90,70,70,50,30,5,25,20
120,90,60,65,50,20,10,30,35
135,150,60,70,50,20,30,30,30
150,100,50,65,40,30,35,15,25
165,70,50,60,40,30,35,25,25
180,70,50,55,35,30,35,15,15
195,80,45,45,35,30,30,25,15
210,80,55,50,45,30,30,25,15
225,80,55,50,40,30,30,25,20
240,70,65,60,40,30,30,20,20
255,70,65,60,40,30,25,25,35
270,75,65,60,35,30,20,30,20
285,65,55,50,35,30,20,20,20
300,70,45,50,40,25,25,25,20
315,80,55,55,40,45,25,35,20
330,90,65,60,40,45,5,25,30
345,85,65,60,40,35,10,30,40
360,75,60,60,40,25,20,35,30
375,75,65,60,35,25,15,20,40
390,75,65,70,35,25,10,30,30
405,70,65,65,30,25,5,40,25
420,70,65,60,30,20,5,20,35
435,70,75,50,30,20,5,30,35
450,70,65,55,30,20,5,20,35
465,70,65,60,30,20,5,25,35
480,70,65,5,30,15,0,30,35
495,70,65,50,30,10,0,40,35
510,70,65,55,30,10,0,25,35
525,70,75,65,30,25,5,15,35
540,80,75,60,30,30,5,20,20
555,95,75,55,30,30,10,25,20
570,80,60,60,30,15,25,30,30
585,80,60,65,30,15,25,20,30
600,70,65,65,30,15,10,25,30
615,90,75,70,25,10,5,20,15
630,80,75,65,25,10,5,20,20
645,70,75,65,25,10,5,0,20
660,70,0,70,25,10,0,0,20
675,0,0,0,25,10,0,0,20
690,0,0,0,30,10,0,0,20
705,0,0,0,0,10,0,0,20
