時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,150,140,80,60,30,5,0,0
15,150,140,100,70,30,10,0,0
30,170,140,110,70,40,30,0,0
45,190,140,120,70,45,40,0,0
60,180,130,100,60,45,45,5,25
75,170,120,100,60,45,45,25,25
90,130,100,100,55,45,40,25,20
105,130,100,90,50,45,40,35,25
120,130,100,90,50,45,35,20,20
135,130,95,80,50,40,35,30,30
150,110,95,80,50,40,30,15,30
165,110,80,80,50,40,30,25,15
180,100,70,70,50,40,30,30,15
195,100,70,70,50,40,35,20,20
210,100,70,60,55,40,35,25,20
225,110,70,55,55,35,35,35,20
240,110,70,55,50,35,35,25,35
255,100,75,75,50,35,35,25,35
270,90,70,75,50,40,35,25,25
285,100,70,75,45,40,30,20,25
300,100,70,70,45,40,30,25,25
315,90,70,65,45,50,35,35,30
330,90,85,65,50,45,35,40,30
345,100,85,65,55,45,35,25,30
360,110,80,65,55,35,35,35,20
375,110,80,65,50,35,35,25,20
390,100,70,65,50,30,35,25,35
405,90,70,65,50,30,30,20,35
420,90,70,55,45,40,30,20,35
435,90,70,55,45,40,30,30,30
450,90,70,60,45,35,30,35,35
465,100,70,60,45,30,30,25,30
480,100,70,65,45,25,30,35,20
495,110,70,65,50,25,35,15,30
510,120,80,75,40,30,30,25,35
525,120,80,75,40,30,30,30,35
540,100,85,75,40,30,25,15,30
555,100,85,75,45,30,25,25,30
570,100,65,75,45,30,30,30,30
585,110,65,65,40,25,30,20,20
600,110,50,65,35,15,25,25,20
615,100,60,65,35,5,20,15,20
630,90,70,60,35,15,20,20,15
645,80,0,65,30,15,20,0,20
660,0,0,0,35,10,20,0,15
675,0,0,0,35,10,10,0,20
690,0,0,0,35,10,15,0,20
705,0,0,0,0,10,0,0,15
