時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,75,5,70,5,15,5,0,0
15,75,80,80,40,15,5,0,0
30,75,80,70,40,15,10,0,0
45,85,70,70,35,15,20,0,0
60,85,50,70,35,35,25,15,5
75,75,35,55,40,35,25,25,20
90,70,35,55,45,35,25,30,20
105,60,45,50,40,35,25,15,20
120,60,50,50,35,25,20,25,20
135,55,50,50,35,25,25,30,20
150,45,40,45,35,25,25,20,15
165,45,30,40,35,20,25,20,15
180,55,30,45,30,20,25,30,15
195,50,35,40,30,15,20,15,15
210,40,45,40,25,15,15,25,15
225,45,45,40,25,25,15,30,10
240,50,45,45,25,20,15,15,15
255,50,45,45,25,20,15,25,15
270,50,45,45,25,15,15,15,15
285,50,45,45,25,15,15,25,15
300,45,35,45,25,15,15,25,15
315,45,40,40,25,15,20,15,20
330,45,50,40,25,30,20,20,20
345,50,50,50,25,30,20,30,25
360,50,45,50,25,20,20,15,25
375,45,40,50,25,10,15,20,25
390,45,35,50,25,10,15,30,25
405,40,35,35,20,5,15,15,15
420,40,50,35,20,5,15,20,15
435,40,45,40,15,15,15,30,15
450,50,45,45,15,10,15,15,15
465,50,40,40,15,5,10,25,20
480,45,40,40,15,5,10,30,20
495,50,45,45,25,5,10,15,20
510,50,40,40,30,5,10,20,20
525,50,45,45,15,10,15,30,20
540,50,55,45,15,15,15,15,20
555,50,55,45,15,15,15,25,20
570,45,40,40,15,15,10,30,15
585,45,40,40,15,15,10,20,15
600,40,35,40,15,15,10,30,15
615,55,30,45,15,5,10,15,15
630,50,30,50,20,5,5,15,15
645,50,45,50,20,5,5,0,15
660,50,35,50,15,5,5,0,15
675,50,35,50,15,10,5,0,20
690,0,30,0,15,10,5,0,15
705,0,0,0,10,10,5,0,0
