時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,160,120,80,40,20,5,0,0
15,170,120,100,50,20,5,0,0
30,180,130,100,55,30,25,0,0
45,160,130,100,55,45,40,0,0
60,160,120,100,55,45,40,5,15
75,140,110,100,55,45,35,25,20
90,140,110,90,50,40,40,30,15
105,130,100,90,50,35,40,20,15
120,130,100,70,50,40,40,25,15
135,130,100,70,45,40,35,30,15
150,120,100,70,45,40,35,20,20
165,120,100,80,45,40,30,25,20
180,120,110,80,45,35,25,30,15
195,120,110,80,50,35,30,20,30
210,120,100,70,45,30,30,20,30
225,110,90,70,45,35,30,35,30
240,110,90,70,45,35,35,15,25
255,110,90,70,50,35,35,25,25
270,130,90,80,50,40,30,35,20
285,130,90,90,60,40,30,40,20
300,130,60,80,60,50,30,30,20
315,130,80,80,60,0,30,35,30
330,130,90,80,50,0,35,40,35
345,130,110,80,50,0,40,30,35
360,145,110,80,50,0,35,35,45
375,130,100,90,60,0,30,45,30
390,120,90,90,50,0,30,30,30
405,110,90,90,50,0,25,40,30
420,110,90,90,45,30,20,45,30
435,110,90,80,40,35,25,30,45
450,110,90,80,40,40,25,15,45
465,110,90,80,40,40,25,20,20
480,110,90,90,35,40,15,30,20
495,110,90,90,35,35,15,40,30
510,100,90,80,50,35,25,20,20
525,100,90,75,50,35,25,30,30
540,100,80,75,35,35,25,20,30
555,100,80,75,35,35,20,25,30
570,110,70,75,30,30,25,20,30
585,110,70,75,30,25,20,15,15
600,110,65,75,30,20,20,25,20
615,110,80,80,30,20,15,15,30
630,0,90,90,30,10,15,25,20
645,0,85,80,30,10,15,0,20
660,0,0,0,30,15,10,0,20
675,0,0,0,30,10,15,0,15
690,0,0,0,25,10,5,0,15
705,0,0,0,25,5,5,0,20
