日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,4,6119.0,703.5,"[6, 7, 4, 1, 0, 3, 4, 5, 7, 3, 5, 5, 4, 4, 2]","[6, 7, 4, 1, 0, 3, 4, 5, 7, 3, 5, 4, 2]","[0, 45, 105, 150, 240, 360, 420, 480, 510, 585, 645, 675, 690]"
,2,5623.0,715.0,"[5, 1, 6, 3, 0, 4, 5, 3, 6, 4, 3, 4, 3, 6, 5, 4, 7, 1]","[5, 1, 6, 3, 0, 4, 5, 3, 6, 4, 3, 4]","[0, 30, 165, 225, 285, 390, 450, 495, 555, 615, 660, 705]"
,4,6103.0,715.0,"[7, 6, 3, 6, 6, 6, 3, 5, 4, 7, 7, 5, 4, 3, 4, 1, 2, 6]","[7, 6, 3, 6, 3, 5, 4, 7, 5, 4, 3, 4, 1]","[0, 45, 90, 165, 225, 285, 330, 390, 465, 510, 570, 615, 660]"
,3,6094.0,729.5,"[5, 5, 6, 4, 6, 7, 2, 4, 6, 6, 6, 2, 6, 4, 2, 6, 6, 2, 5]","[5, 6, 4, 6, 7, 2, 4, 6, 2, 6, 4, 2, 6]","[0, 30, 60, 135, 195, 255, 330, 390, 450, 525, 585, 630, 705]"
,3,6132.0,710.5,"[4, 6, 4, 4, 4, 7, 5, 2, 5, 4, 7, 4, 4, 2, 1, 4, 4, 3, 4, 7]","[4, 6, 4, 7, 5, 2, 5, 4, 7, 4, 2, 1, 4]","[0, 30, 75, 135, 195, 255, 315, 360, 420, 495, 540, 615, 690]"
,4,5703.0,714.5,"[4, 7, 4, 3, 7, 2, 2, 2, 4, 3, 4, 3, 2, 1, 4, 1, 6, 4, 0, 6]","[4, 7, 4, 3, 7, 2, 4, 3, 4, 3, 2, 1]","[0, 30, 75, 150, 210, 270, 345, 405, 465, 510, 585, 645]"
,8,6125.0,709.5,"[4, 6, 3, 5, 5, 5, 4, 2, 4, 4, 5, 5, 4, 4, 2, 3, 3, 7, 3]","[4, 6, 3, 5, 4, 2, 4, 5, 4, 2, 3, 7, 3]","[0, 30, 75, 150, 195, 255, 330, 375, 435, 480, 555, 615, 675]"
,7,5683.0,708.5,"[7, 3, 2, 4, 7, 4, 5, 4, 2, 3, 4, 1, 5, 4, 0, 2, 0, 3, 5, 0]","[7, 3, 2, 4, 7, 4, 5, 4, 2, 3, 4, 1]","[0, 45, 135, 210, 270, 330, 390, 435, 480, 555, 615, 660]"
,8,5644.0,717.0,"[5, 7, 7, 3, 3, 4, 6, 7, 2, 6, 2, 7, 2, 1, 4, 2, 4, 2, 0, 2]","[5, 7, 3, 4, 6, 7, 2, 6, 2, 7, 2, 1]","[0, 30, 75, 150, 210, 270, 330, 405, 465, 525, 600, 660]"
,6,5634.0,714.5,"[3, 5, 6, 4, 7, 3, 5, 1, 4, 3, 7, 7, 3, 4, 2, 3, 0, 4]","[3, 5, 6, 4, 7, 3, 5, 1, 4, 3, 7, 3]","[0, 60, 120, 180, 240, 300, 375, 420, 510, 555, 615, 675]"
