日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,4,4253.0,728.5,"[0, 2, 7, 2, 7, 0, 1, 2, 6, 0, 5, 5, 2, 7, 1, 7, 7]","[0, 2, 7, 2, 7, 0, 1, 2, 6]","[0, 135, 210, 285, 360, 435, 540, 630, 705]"
,7,3746.0,504.0,"[4, 6, 2, 6, 0, 6, 6, 6, 2, 6]","[4, 6, 2, 6, 0, 6, 2, 6]","[0, 30, 75, 150, 210, 315, 375, 450]"
,7,4719.0,623.0,"[7, 6, 7, 1, 7, 2, 2, 3, 2, 4, 4, 6]","[7, 6, 7, 1, 7, 2, 3, 2, 4, 6]","[0, 45, 90, 150, 240, 315, 375, 450, 525, 570]"
,6,5120.0,650.5,"[3, 2, 3, 6, 5, 3, 6, 2, 5, 4, 5, 5]","[3, 2, 3, 6, 5, 3, 6, 2, 5, 4, 5]","[0, 60, 150, 225, 270, 330, 390, 450, 525, 570, 615]"
,5,5148.0,710.5,"[6, 3, 6, 4, 1, 6, 3, 7, 3, 1, 6, 2, 6, 2]","[6, 3, 6, 4, 1, 6, 3, 7, 3, 1, 6]","[0, 45, 120, 180, 240, 330, 390, 450, 525, 600, 675]"
,10,5124.0,707.0,"[5, 6, 1, 7, 7, 7, 7, 4, 5, 6, 0, 1, 2, 6, 6, 5, 2, 2, 2]","[5, 6, 1, 7, 4, 5, 6, 0, 1, 2, 6]","[0, 30, 60, 195, 255, 300, 360, 405, 525, 615, 675]"
,4,5111.0,702.0,"[7, 7, 4, 4, 4, 5, 6, 2, 1, 5, 6, 0, 5, 6]","[7, 4, 5, 6, 2, 1, 5, 6, 0, 5, 6]","[0, 45, 120, 165, 225, 300, 390, 435, 495, 615, 645]"
,8,5139.0,710.0,"[3, 1, 6, 2, 4, 7, 5, 1, 5, 6, 4, 5, 3, 6]","[3, 1, 6, 2, 4, 7, 5, 1, 5, 6, 4]","[0, 60, 180, 255, 315, 375, 450, 495, 600, 630, 690]"
,8,5152.0,706.5,"[5, 7, 3, 5, 7, 1, 0, 4, 1, 6, 6, 2, 4]","[5, 7, 3, 5, 7, 1, 0, 4, 1, 6, 2]","[0, 30, 75, 150, 195, 255, 360, 465, 510, 600, 660]"
,9,4242.0,502.5,"[4, 6, 3, 5, 3, 3, 4, 2, 2, 3, 4]","[4, 6, 3, 5, 3, 4, 2, 3, 4]","[0, 30, 75, 150, 195, 270, 315, 390, 450]"
,3,4214.0,524.0,"[4, 3, 3, 5, 3, 6, 6, 2, 5, 5, 4, 3]","[4, 3, 5, 3, 6, 2, 5, 4, 3]","[0, 30, 120, 165, 240, 285, 360, 420, 465]"
,4,5126.0,715.0,"[6, 0, 3, 2, 6, 1, 5, 4, 4, 6, 2, 5, 2, 2, 1, 6, 4, 6, 2, 4]","[6, 0, 3, 2, 6, 1, 5, 4, 6, 2, 5]","[0, 45, 195, 270, 330, 390, 480, 525, 570, 645, 705]"
,3,5123.0,718.0,"[7, 1, 5, 3, 3, 6, 0, 6, 5, 6, 4, 1, 2, 3, 1, 2, 1]","[7, 1, 5, 3, 6, 0, 6, 5, 6, 4, 1]","[0, 45, 180, 225, 285, 345, 450, 525, 570, 630, 660]"
,8,5166.0,761.0,"[4, 2, 5, 3, 4, 0, 1, 5, 1, 2, 7, 4, 5, 4, 6, 6, 4, 2, 5, 4]","[4, 2, 5, 3, 4, 0, 1, 5, 1, 2, 7]","[0, 30, 120, 180, 240, 300, 405, 495, 540, 630, 705]"
,7,5162.0,711.5,"[3, 7, 7, 5, 3, 2, 2, 3, 3, 6, 0, 1, 4, 6, 3, 4, 3, 1, 3, 7]","[3, 7, 5, 3, 2, 3, 6, 0, 1, 4, 6]","[0, 60, 135, 180, 255, 315, 390, 450, 555, 660, 675]"
,7,4687.0,662.0,"[5, 3, 4, 7, 6, 6, 0, 0, 7, 2, 5, 5, 1]","[5, 3, 4, 7, 6, 0, 7, 2, 5, 1]","[0, 30, 105, 165, 225, 285, 390, 465, 540, 585]"
,8,5151.0,711.0,"[2, 5, 1, 3, 0, 5, 4, 0, 4, 5, 5, 1, 2, 6]","[2, 5, 1, 3, 0, 5, 4, 0, 4, 5, 2]","[0, 75, 120, 225, 285, 390, 450, 495, 600, 645, 675]"
,8,5588.0,710.0,"[7, 5, 7, 5, 1, 6, 7, 2, 1, 5, 6, 2, 4, 4, 7]","[7, 5, 7, 5, 1, 6, 7, 2, 1, 5, 6, 2]","[0, 45, 105, 165, 210, 315, 360, 435, 510, 600, 645, 705]"
,2,4717.0,713.5,"[0, 4, 0, 6, 1, 2, 4, 2, 6, 6, 6, 3, 2, 1, 0]","[0, 4, 0, 6, 1, 2, 4, 2, 6, 3]","[0, 135, 195, 315, 375, 465, 525, 585, 645, 705]"
,2,4277.0,684.0,"[7, 7, 7, 7, 3, 7, 0, 4, 3, 3, 4, 1, 0]","[7, 3, 7, 0, 4, 3, 4, 1, 0]","[0, 45, 135, 195, 315, 375, 435, 495, 585]"
