日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-02,6,6143.0,724,"[4, 3, 6, 4, 6, 4, 3, 7, 4, 3, 2, 6, 2, 4]","[4, 3, 6, 4, 6, 4, 3, 7, 4, 3, 2, 6, 2]","[0, 30, 105, 150, 210, 270, 315, 375, 450, 480, 540, 600, 660]"
2022-07-02,5,5632.0,746,"[6, 2, 6, 2, 4, 4, 1, 7, 5, 5, 4, 6, 3, 3, 3, 0, 7]","[6, 2, 6, 2, 4, 1, 7, 5, 4, 6, 3, 0]","[0, 45, 150, 210, 285, 330, 420, 480, 525, 555, 630, 660]"
2022-07-02,10,5611.0,721,"[6, 3, 6, 6, 5, 6, 4, 7, 3, 3, 0, 2, 5, 2, 6, 1, 4, 6, 5]","[6, 3, 6, 5, 6, 4, 7, 3, 0, 2, 5, 2]","[0, 45, 120, 165, 210, 270, 330, 405, 450, 555, 630, 660]"
2022-07-02,7,5187.0,604,"[5, 7, 3, 4, 7, 4, 0, 4, 6, 5, 7]","[5, 7, 3, 4, 7, 4, 0, 4, 6, 5, 7]","[0, 30, 75, 135, 195, 255, 315, 420, 450, 510, 540]"
2022-07-02,10,5133.0,711,"[2, 3, 6, 2, 5, 4, 5, 6, 0, 6, 3, 4, 5, 4, 4, 2, 2, 5]","[2, 3, 6, 2, 5, 4, 5, 6, 0, 6, 3]","[0, 120, 180, 240, 300, 360, 405, 450, 495, 615, 675]"
2022-07-02,8,5606.0,706,"[5, 5, 3, 2, 3, 5, 5, 2, 5, 1, 3, 4, 4, 7, 1, 3, 6]","[5, 3, 2, 3, 5, 2, 5, 1, 3, 4, 7, 1]","[0, 30, 90, 195, 240, 285, 360, 405, 480, 540, 570, 630]"
2022-07-02,2,6087.0,729,"[6, 3, 6, 4, 1, 3, 5, 5, 2, 6, 3, 2, 3, 1, 2, 5, 7]","[6, 3, 6, 4, 1, 3, 5, 2, 6, 3, 2, 3, 2]","[0, 45, 120, 165, 225, 300, 360, 390, 465, 525, 570, 630, 675]"
2022-07-02,4,5613.0,730,"[3, 0, 3, 3, 0, 6, 5, 7, 6, 5, 4, 4, 6, 3, 5, 3]","[3, 0, 3, 0, 6, 5, 7, 6, 5, 4, 6, 3]","[0, 60, 210, 270, 375, 435, 480, 555, 615, 645, 660, 705]"
2022-07-02,7,5194.0,602,"[5, 3, 4, 5, 5, 7, 3, 4, 3, 7, 4, 7]","[5, 3, 4, 5, 7, 3, 4, 3, 7, 4, 7]","[0, 30, 90, 150, 195, 255, 315, 375, 435, 510, 540]"
2022-07-02,8,6100.0,707,"[5, 5, 3, 2, 6, 4, 3, 6, 3, 2, 6, 3, 7, 2, 4, 5, 2, 3]","[5, 3, 2, 6, 4, 3, 6, 3, 2, 6, 3, 7, 2]","[0, 30, 90, 195, 240, 300, 360, 420, 465, 540, 585, 630, 690]"
