日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-08-28,6121,675,"[6, 6, 4, 7, 3, 4, 6, 4, 4, 6, 5, 4, 7, 1, 2]","[6, 4, 7, 3, 4, 6, 4, 6, 5, 4, 7, 1, 2]","[0, 45, 105, 150, 210, 270, 315, 390, 435, 480, 525, 570, 660]"
2022-08-28,6598,666,"[3, 4, 6, 3, 7, 6, 4, 5, 5, 7, 4, 3, 7, 6, 2, 1]","[3, 4, 6, 3, 7, 6, 4, 5, 7, 4, 3, 7, 6, 2]","[0, 30, 90, 135, 210, 255, 300, 360, 405, 450, 495, 555, 600, 660]"
2022-08-28,6155,673,"[7, 7, 5, 3, 7, 2, 4, 7, 0, 4, 7, 5, 7, 4]","[7, 5, 3, 7, 2, 4, 7, 0, 4, 7, 5, 7, 4]","[0, 45, 105, 165, 210, 285, 330, 375, 480, 525, 570, 600, 645]"
2022-08-28,6073,673,"[3, 6, 4, 5, 2, 2, 5, 4, 3, 3, 6, 1, 4, 5, 5, 2]","[3, 6, 4, 5, 2, 5, 4, 3, 6, 1, 4, 5, 2]","[0, 30, 75, 135, 180, 240, 285, 330, 390, 435, 525, 570, 615]"
2022-08-28,6586,663,"[5, 4, 4, 5, 6, 2, 4, 4, 3, 4, 5, 4, 3, 4, 3, 3, 4]","[5, 4, 5, 6, 2, 4, 3, 4, 5, 4, 3, 4, 3, 4]","[0, 30, 75, 135, 180, 255, 300, 360, 420, 465, 510, 555, 585, 645]"
2022-08-28,6569,668,"[5, 4, 5, 7, 3, 5, 2, 3, 4, 3, 3, 4, 7, 7, 5, 0, 1]","[5, 4, 5, 7, 3, 5, 2, 3, 4, 3, 4, 7, 5, 0]","[0, 30, 75, 135, 180, 240, 300, 375, 435, 480, 525, 570, 615, 660]"
2022-08-28,6582,660,"[3, 7, 4, 7, 5, 5, 6, 7, 3, 6, 5, 5, 3, 7, 3, 3, 0]","[3, 7, 4, 7, 5, 6, 7, 3, 6, 5, 3, 7, 3, 0]","[0, 30, 75, 135, 180, 225, 285, 330, 375, 450, 495, 555, 600, 645]"
2022-08-28,6558,668,"[7, 5, 4, 5, 6, 4, 7, 2, 5, 5, 7, 2, 5, 0, 2]","[7, 5, 4, 5, 6, 4, 7, 2, 5, 7, 2, 5, 0, 2]","[0, 45, 105, 150, 195, 255, 315, 360, 435, 480, 525, 600, 645, 660]"
2022-08-28,6108,673,"[7, 4, 3, 4, 6, 7, 3, 7, 3, 5, 3, 5, 6]","[7, 4, 3, 4, 6, 7, 3, 7, 3, 5, 3, 5, 6]","[0, 45, 120, 180, 225, 285, 330, 375, 420, 480, 525, 585, 615]"
2022-08-28,6107,666,"[4, 3, 3, 1, 7, 2, 5, 6, 4, 5, 4, 6, 4, 2]","[4, 3, 1, 7, 2, 5, 6, 4, 5, 4, 6, 4, 2]","[0, 45, 135, 225, 270, 345, 390, 435, 495, 540, 570, 630, 660]"
