日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-05,6539,673,"[2, 2, 4, 7, 5, 5, 1, 5, 2, 2, 7, 5, 5, 4, 3, 5, 4, 5]","[2, 4, 7, 5, 1, 5, 2, 7, 5, 4, 3, 5, 4, 5]","[0, 30, 60, 135, 180, 255, 315, 375, 450, 495, 510, 585, 630, 660]"
2023-07-05,6547,642,"[4, 5, 3, 3, 3, 6, 2, 6, 4, 4, 5, 3, 4, 4, 5, 4, 5, 5, 4]","[4, 5, 3, 6, 2, 6, 4, 5, 3, 4, 5, 4, 5, 4]","[0, 30, 60, 135, 195, 255, 315, 360, 420, 495, 510, 555, 570, 615]"
2023-07-05,6473,670,"[5, 6, 5, 7, 7, 5, 6, 6, 0, 3, 5, 6, 3, 5, 4, 5, 5, 1]","[5, 6, 5, 7, 5, 6, 0, 3, 5, 6, 3, 5, 4, 5]","[0, 30, 60, 105, 165, 210, 285, 390, 465, 510, 555, 570, 615, 660]"
2023-07-05,6587,644,"[1, 6, 4, 4, 4, 3, 7, 7, 4, 2, 6, 4, 2, 5, 4, 5, 5, 4]","[1, 6, 4, 3, 7, 4, 2, 6, 4, 2, 5, 4, 5, 4]","[0, 30, 60, 135, 210, 270, 330, 390, 450, 495, 510, 555, 570, 615]"
2023-07-05,6523,647,"[2, 3, 4, 6, 5, 2, 2, 6, 6, 7, 5, 1, 5, 3, 4, 5]","[2, 3, 4, 6, 5, 2, 6, 7, 5, 1, 5, 3, 4, 5]","[0, 30, 90, 150, 210, 255, 330, 390, 465, 495, 525, 555, 585, 615]"
2023-07-05,6516,669,"[4, 5, 2, 7, 5, 3, 3, 6, 2, 6, 5, 7, 5, 4, 5, 0, 0, 0]","[4, 5, 2, 7, 5, 3, 6, 2, 6, 5, 7, 5, 4, 5]","[0, 30, 60, 120, 180, 225, 315, 375, 435, 495, 510, 570, 615, 645]"
2023-07-05,6092,658,"[3, 4, 3, 4, 5, 7, 4, 4, 3, 4, 4, 6, 5, 5, 6, 5, 5]","[3, 4, 3, 4, 5, 7, 4, 3, 4, 6, 5, 6, 5]","[0, 30, 75, 135, 195, 240, 300, 360, 450, 495, 540, 570, 645]"
2023-07-05,6099,661,"[1, 5, 4, 6, 1, 3, 4, 4, 5, 7, 4, 2, 6, 4]","[1, 5, 4, 6, 1, 3, 4, 5, 7, 4, 2, 6, 4]","[0, 30, 60, 135, 180, 255, 330, 390, 435, 510, 555, 570, 645]"
2023-07-05,6535,671,"[1, 6, 3, 3, 4, 5, 7, 6, 2, 4, 0, 5, 6, 3, 5, 1]","[1, 6, 3, 4, 5, 7, 6, 2, 4, 0, 5, 6, 3, 5]","[0, 30, 60, 150, 210, 255, 315, 375, 435, 495, 510, 555, 585, 660]"
2023-07-05,6042,670,"[4, 6, 1, 3, 2, 2, 2, 6, 6, 3, 5, 5, 0, 6, 5, 5, 1, 5]","[4, 6, 1, 3, 2, 6, 3, 5, 0, 6, 5, 1, 5]","[0, 30, 60, 165, 240, 315, 375, 450, 495, 510, 555, 585, 660]"
