日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-17,6588,658,"[3, 4, 4, 5, 6, 4, 3, 5, 4, 2, 4, 4, 6, 6, 2, 3, 4]","[3, 4, 5, 6, 4, 3, 5, 4, 2, 4, 6, 2, 3, 4]","[0, 30, 75, 120, 195, 240, 255, 300, 345, 405, 465, 525, 570, 630]"
2023-07-17,6511,670,"[1, 6, 6, 3, 4, 5, 3, 6, 7, 5, 3, 6, 6, 5, 6, 6, 3]","[1, 6, 3, 4, 5, 3, 6, 7, 5, 3, 6, 5, 6, 3]","[0, 30, 60, 150, 210, 240, 255, 315, 375, 420, 495, 540, 570, 645]"
2023-07-17,6579,654,"[3, 4, 3, 3, 4, 6, 3, 4, 4, 2, 3, 5, 6, 5, 5, 3, 3, 4]","[3, 4, 3, 4, 6, 3, 4, 2, 3, 5, 6, 5, 3, 4]","[0, 30, 75, 150, 210, 270, 285, 330, 390, 465, 495, 555, 585, 645]"
2023-07-17,6553,670,"[1, 3, 1, 2, 5, 3, 2, 2, 0, 0, 1, 7, 4, 5, 7, 5]","[1, 3, 1, 2, 5, 3, 2, 0, 1, 7, 4, 5, 7, 5]","[0, 30, 105, 180, 225, 270, 285, 345, 435, 450, 510, 555, 585, 660]"
2023-07-17,6580,671,"[1, 4, 5, 6, 6, 6, 4, 3, 2, 7, 4, 1, 1, 3, 7, 5, 3]","[1, 4, 5, 6, 4, 3, 2, 7, 4, 1, 3, 7, 5, 3]","[0, 30, 75, 135, 180, 225, 255, 315, 375, 435, 450, 525, 585, 615]"
2023-07-17,6577,669,"[2, 4, 6, 2, 5, 3, 5, 5, 3, 4, 3, 3, 5, 4, 7, 4, 1]","[2, 4, 6, 2, 5, 3, 5, 3, 4, 3, 5, 4, 7, 4]","[0, 30, 75, 135, 210, 240, 255, 315, 390, 435, 525, 555, 585, 660]"
2023-07-17,6152,662,"[2, 4, 4, 6, 0, 4, 2, 4, 6, 7, 4, 4, 4, 7, 5, 5, 4]","[2, 4, 6, 0, 4, 2, 4, 6, 7, 4, 7, 5, 4]","[0, 30, 75, 135, 240, 300, 345, 390, 450, 510, 555, 615, 645]"
2023-07-17,6572,651,"[0, 6, 5, 4, 4, 2, 3, 6, 2, 4, 6, 5, 2, 2, 2, 7, 4]","[0, 6, 5, 4, 2, 3, 6, 2, 4, 6, 5, 2, 7, 4]","[0, 30, 60, 105, 165, 225, 240, 300, 360, 405, 450, 495, 570, 630]"
2023-07-17,6548,671,"[6, 4, 7, 5, 2, 3, 7, 1, 6, 3, 3, 5, 3, 4, 5]","[6, 4, 7, 5, 2, 3, 7, 1, 6, 3, 5, 3, 4, 5]","[0, 45, 105, 180, 225, 285, 330, 390, 420, 465, 540, 570, 630, 660]"
2023-07-17,6596,666,"[5, 4, 2, 4, 3, 7, 5, 6, 1, 4, 7, 4, 1, 4, 4, 4, 0]","[5, 4, 2, 4, 3, 7, 5, 6, 1, 4, 7, 4, 1, 4]","[0, 30, 75, 165, 210, 225, 285, 330, 390, 405, 465, 525, 555, 645]"
