日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-08-02,7012,675,"[6, 0, 3, 3, 0, 4, 5, 3, 3, 6, 4, 5, 6, 1, 4, 3, 5, 0]","[6, 0, 3, 0, 4, 5, 3, 6, 4, 5, 6, 1, 4, 3, 5]","[0, 45, 150, 210, 270, 300, 330, 345, 405, 435, 465, 525, 600, 630, 660]"
2022-08-02,7048,666,"[7, 2, 6, 5, 4, 3, 5, 6, 4, 0, 7, 2, 4, 5, 4, 4]","[7, 2, 6, 5, 4, 3, 5, 6, 4, 0, 7, 2, 4, 5, 4]","[0, 45, 135, 195, 225, 270, 285, 315, 375, 405, 480, 540, 600, 630, 645]"
2022-08-02,7506,661,"[7, 3, 6, 2, 4, 6, 3, 4, 5, 4, 3, 5, 6, 4, 4, 5, 4, 0]","[7, 3, 6, 2, 4, 6, 3, 4, 5, 4, 3, 5, 6, 4, 5, 4]","[0, 45, 120, 180, 240, 270, 330, 345, 390, 435, 465, 510, 525, 585, 615, 645]"
2022-08-02,6631,653,"[3, 6, 3, 4, 2, 4, 7, 7, 4, 3, 7, 4, 5, 2, 4]","[3, 6, 3, 4, 2, 4, 7, 4, 3, 7, 4, 5, 2, 4]","[0, 60, 120, 165, 195, 270, 300, 375, 405, 450, 525, 555, 585, 630]"
2022-08-02,7051,667,"[7, 3, 7, 3, 6, 4, 6, 4, 5, 4, 6, 3, 4, 3, 3, 5]","[7, 3, 7, 3, 6, 4, 6, 4, 5, 4, 6, 3, 4, 3, 5]","[0, 45, 120, 180, 240, 285, 330, 375, 420, 435, 465, 525, 570, 600, 645]"
2022-08-02,7484,663,"[5, 4, 5, 3, 4, 5, 7, 2, 3, 1, 4, 5, 5, 5, 3, 5, 3, 4]","[5, 4, 5, 3, 4, 5, 7, 2, 3, 1, 4, 5, 3, 5, 3, 4]","[0, 30, 75, 120, 165, 195, 240, 300, 360, 405, 465, 495, 525, 570, 600, 645]"
2022-08-02,7489,663,"[5, 5, 4, 5, 4, 6, 4, 4, 5, 3, 5, 4, 2, 4, 2, 3, 5, 5, 7]","[5, 4, 5, 4, 6, 4, 5, 3, 5, 4, 2, 4, 2, 3, 5, 7]","[0, 30, 75, 120, 165, 225, 255, 285, 315, 345, 390, 435, 480, 525, 570, 600]"
2022-08-02,7058,673,"[3, 4, 2, 3, 6, 3, 1, 4, 5, 4, 7, 4, 5, 4, 6]","[3, 4, 2, 3, 6, 3, 1, 4, 5, 4, 7, 4, 5, 4, 6]","[0, 60, 120, 180, 240, 285, 300, 375, 405, 435, 465, 540, 570, 600, 615]"
2022-08-02,6992,674,"[5, 3, 0, 5, 1, 4, 2, 2, 5, 6, 5, 4, 3, 5, 4, 2]","[5, 3, 0, 5, 1, 4, 2, 5, 6, 5, 4, 3, 5, 4, 2]","[0, 30, 90, 180, 210, 270, 315, 375, 405, 465, 495, 525, 570, 600, 615]"
2022-08-02,7014,644,"[4, 6, 3, 6, 4, 6, 5, 5, 6, 3, 7, 5, 4, 5, 3, 4]","[4, 6, 3, 6, 4, 6, 5, 6, 3, 7, 5, 4, 5, 3, 4]","[0, 60, 105, 150, 210, 240, 300, 330, 375, 435, 495, 525, 555, 585, 630]"
