日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-15,2,5688.0,711,"[2, 4, 4, 1, 4, 7, 1, 3, 3, 3, 4, 7, 3, 4, 1, 5, 5, 2, 7]","[2, 4, 1, 4, 7, 1, 3, 4, 7, 3, 4, 1]","[0, 30, 60, 180, 225, 285, 360, 420, 465, 540, 585, 615]"
2022-07-15,4,6072.0,711,"[2, 1, 6, 5, 4, 3, 6, 6, 2, 5, 5, 3, 6, 7, 3, 5, 4]","[2, 1, 6, 5, 4, 3, 6, 2, 5, 3, 6, 7, 3]","[0, 30, 135, 210, 255, 300, 360, 435, 495, 525, 570, 630, 705]"
2022-07-15,6,5175.0,585,"[4, 7, 5, 7, 0, 2, 5, 2, 3, 6, 4]","[4, 7, 5, 7, 0, 2, 5, 2, 3, 6, 4]","[0, 30, 75, 90, 165, 255, 330, 345, 435, 480, 540]"
2022-07-15,8,6526.0,710,"[3, 5, 6, 4, 1, 6, 7, 5, 0, 5, 2, 3, 5, 4, 4, 4, 7, 5, 0, 2]","[3, 5, 6, 4, 1, 6, 7, 5, 0, 5, 2, 3, 5, 4]","[0, 60, 90, 150, 210, 285, 345, 420, 450, 540, 555, 630, 675, 690]"
2022-07-15,5,5137.0,682,"[5, 5, 7, 7, 2, 5, 1, 6, 4, 7, 7, 6, 1, 1, 1, 3, 3]","[5, 7, 2, 5, 1, 6, 4, 7, 6, 1, 3]","[0, 45, 90, 180, 225, 300, 375, 405, 480, 555, 645]"
2022-07-15,7,6581.0,713,"[6, 7, 3, 4, 0, 5, 3, 4, 4, 6, 4, 4, 5, 1, 4, 4, 3, 5, 5, 4]","[6, 7, 3, 4, 0, 5, 3, 4, 6, 4, 5, 1, 4, 3]","[0, 45, 90, 150, 195, 300, 345, 405, 450, 495, 525, 555, 645, 675]"
2022-07-15,2,6140.0,715,"[7, 4, 5, 3, 3, 3, 4, 2, 4, 6, 2, 6, 4, 3, 7, 7, 5, 2]","[7, 4, 5, 3, 4, 2, 4, 6, 2, 6, 4, 3, 7]","[0, 45, 105, 135, 195, 255, 330, 390, 450, 525, 585, 615, 660]"
2022-07-15,3,5645.0,706,"[3, 3, 6, 6, 7, 2, 5, 7, 4, 4, 2, 3, 6, 4, 1, 2, 3]","[3, 6, 7, 2, 5, 7, 4, 2, 3, 6, 4, 1]","[0, 60, 105, 165, 240, 285, 360, 405, 480, 525, 585, 615]"
2022-07-15,5,7030.0,742,"[7, 3, 1, 3, 4, 5, 6, 4, 3, 5, 5, 4, 4, 5, 6, 4, 2, 1, 2]","[7, 3, 1, 3, 4, 5, 6, 4, 3, 5, 4, 5, 6, 4, 2]","[0, 45, 105, 195, 255, 300, 345, 420, 450, 495, 510, 540, 570, 630, 660]"
2022-07-15,2,6139.0,750,"[2, 5, 6, 0, 3, 3, 7, 4, 4, 3, 4, 6, 4, 0, 7, 3, 7]","[2, 5, 6, 0, 3, 7, 4, 3, 4, 6, 4, 0, 7]","[0, 30, 60, 105, 225, 270, 345, 390, 450, 480, 555, 600, 690]"
2022-07-15,9,5628.0,730,"[1, 7, 3, 5, 1, 6, 6, 7, 3, 5, 4, 2, 4, 1, 5, 2, 0, 1, 0, 2]","[1, 7, 3, 5, 1, 6, 7, 3, 5, 4, 2, 4]","[0, 120, 195, 255, 300, 360, 435, 510, 555, 585, 615, 705]"
2022-07-15,2,7032.0,758,"[6, 4, 7, 7, 1, 1, 4, 3, 5, 3, 1, 5, 2, 4, 3, 5, 7, 4, 3]","[6, 4, 7, 1, 4, 3, 5, 3, 1, 5, 2, 4, 3, 5, 7]","[0, 45, 105, 165, 240, 285, 345, 375, 420, 510, 525, 600, 645, 690, 705]"
2022-07-15,9,5666.0,758,"[4, 1, 0, 4, 7, 4, 5, 4, 5, 3, 2, 7, 6, 6, 3, 5, 4, 7, 7, 4]","[4, 1, 0, 4, 7, 4, 5, 4, 5, 3, 2, 7]","[0, 30, 135, 315, 375, 465, 495, 510, 540, 570, 615, 705]"
2022-07-15,7,4706.0,495,"[4, 6, 5, 4, 6, 6, 4, 6, 6, 2, 2, 7, 4]","[4, 6, 5, 4, 6, 4, 6, 2, 7, 4]","[0, 30, 75, 90, 135, 210, 255, 315, 390, 465]"
2022-07-15,7,7054.0,713,"[4, 7, 5, 3, 4, 6, 4, 5, 4, 5, 0, 6, 3, 3, 4, 7, 2, 2, 3, 5]","[4, 7, 5, 3, 4, 6, 4, 5, 4, 5, 0, 6, 3, 4, 7]","[0, 30, 75, 90, 165, 210, 270, 315, 360, 405, 420, 510, 585, 630, 660]"
2022-07-15,8,6138.0,727,"[4, 2, 6, 3, 7, 4, 2, 7, 3, 4, 5, 7, 6, 5, 2, 4, 3, 7, 5]","[4, 2, 6, 3, 7, 4, 2, 7, 3, 4, 5, 7, 6]","[0, 30, 105, 180, 225, 300, 330, 420, 495, 540, 585, 630, 690]"
2022-07-15,6,6089.0,711,"[2, 6, 0, 2, 3, 4, 3, 6, 5, 4, 1, 5, 3, 6, 5, 1, 2, 1, 3, 3]","[2, 6, 0, 2, 3, 4, 3, 6, 5, 4, 1, 5, 3]","[0, 30, 60, 195, 255, 315, 375, 435, 495, 525, 555, 660, 675]"
2022-07-15,8,6135.0,738,"[2, 4, 4, 1, 7, 4, 3, 3, 3, 0, 3, 2, 5, 4, 2, 6, 2, 0]","[2, 4, 1, 7, 4, 3, 0, 3, 2, 5, 4, 2, 6]","[0, 30, 60, 180, 240, 285, 330, 450, 495, 555, 585, 615, 705]"
2022-07-15,4,6619.0,718,"[4, 7, 4, 7, 5, 3, 0, 3, 4, 6, 4, 4, 5, 4, 7, 7, 1, 4, 4]","[4, 7, 4, 7, 5, 3, 0, 3, 4, 6, 4, 5, 4, 7]","[0, 30, 75, 135, 210, 255, 315, 420, 465, 495, 570, 615, 630, 660]"
2022-07-15,6,5108.0,572,"[7, 6, 3, 1, 6, 7, 5, 3, 5, 1, 5]","[7, 6, 3, 1, 6, 7, 5, 3, 5, 1, 5]","[0, 45, 90, 150, 225, 285, 360, 390, 450, 465, 555]"
2022-07-15,3,5636.0,708,"[1, 4, 5, 2, 7, 7, 2, 5, 7, 4, 5, 2, 4, 7, 2, 4, 1, 0, 6]","[1, 4, 5, 2, 7, 2, 5, 7, 4, 5, 2, 4]","[0, 120, 150, 210, 270, 345, 420, 435, 525, 570, 600, 690]"
2022-07-15,2,6523.0,714,"[3, 2, 6, 2, 5, 1, 5, 3, 1, 3, 4, 6, 1, 5, 2, 7, 2]","[3, 2, 6, 2, 5, 1, 5, 3, 1, 3, 4, 6, 5, 2]","[0, 60, 135, 210, 270, 315, 390, 420, 465, 555, 600, 630, 690, 705]"
2022-07-15,8,5683.0,716,"[3, 4, 5, 2, 4, 7, 7, 4, 4, 2, 4, 3, 3, 7, 7, 1, 4, 5]","[3, 4, 5, 2, 4, 7, 4, 2, 4, 3, 7, 1]","[0, 60, 120, 150, 225, 270, 345, 390, 480, 510, 555, 630]"
2022-07-15,2,5659.0,740,"[2, 4, 7, 7, 3, 1, 6, 2, 2, 6, 2, 3, 7, 7, 2, 5, 4, 2, 7]","[2, 4, 7, 3, 1, 6, 2, 6, 2, 3, 7, 2]","[0, 30, 60, 120, 195, 255, 315, 390, 465, 540, 585, 660]"
2022-07-15,9,6107.0,721,"[3, 6, 5, 4, 6, 0, 7, 4, 4, 6, 3, 6, 2, 1, 4, 4, 6]","[3, 6, 5, 4, 6, 0, 7, 4, 6, 3, 6, 2, 4]","[0, 60, 105, 120, 165, 225, 330, 405, 450, 495, 555, 615, 705]"
2022-07-15,3,6618.0,723,"[3, 4, 7, 4, 5, 6, 4, 7, 4, 3, 4, 2, 5, 4, 4, 5, 4, 5, 7]","[3, 4, 7, 4, 5, 6, 4, 7, 4, 3, 4, 2, 5, 4]","[0, 60, 120, 195, 240, 300, 360, 405, 465, 510, 555, 600, 690, 705]"
2022-07-15,4,5628.0,617,"[4, 6, 5, 3, 6, 4, 6, 6, 4, 0, 3, 6, 6, 3]","[4, 6, 5, 3, 6, 4, 6, 4, 0, 3, 6, 3]","[0, 30, 75, 90, 150, 210, 255, 315, 375, 480, 525, 570]"
2022-07-15,2,5215.0,566,"[2, 7, 4, 3, 2, 4, 2, 3, 4, 4, 2, 6]","[2, 7, 4, 3, 2, 4, 2, 3, 4, 2, 6]","[0, 30, 75, 135, 195, 255, 315, 375, 435, 480, 495]"
2022-07-15,8,6589.0,711,"[5, 4, 6, 4, 7, 2, 5, 4, 0, 5, 4, 4, 2, 4, 3, 1, 2, 3]","[5, 4, 6, 4, 7, 2, 5, 4, 0, 5, 4, 2, 4, 3]","[0, 45, 105, 165, 210, 270, 345, 375, 420, 510, 525, 570, 645, 675]"
2022-07-15,5,5630.0,717,"[2, 1, 0, 4, 4, 5, 4, 7, 5, 7, 5, 5, 3, 1, 3, 4, 1, 7, 5, 4]","[2, 1, 0, 4, 5, 4, 7, 5, 7, 5, 3, 3]","[0, 30, 135, 315, 375, 405, 450, 525, 555, 615, 645, 675]"
2022-07-15,7,6648.0,698,"[4, 3, 7, 4, 2, 4, 2, 4, 4, 0, 4, 3, 3, 5, 5, 3, 4]","[4, 3, 7, 4, 2, 4, 2, 4, 0, 4, 3, 5, 3, 4]","[0, 30, 90, 150, 195, 270, 315, 390, 420, 510, 540, 585, 630, 675]"
2022-07-15,6,6562.0,713,"[6, 7, 5, 1, 2, 7, 4, 6, 4, 5, 4, 5, 3, 7, 6, 2, 4]","[6, 7, 5, 1, 2, 7, 4, 6, 4, 5, 4, 5, 3, 7]","[0, 45, 90, 105, 210, 270, 330, 405, 480, 510, 525, 570, 615, 660]"
2022-07-15,3,6598.0,712,"[7, 2, 4, 7, 4, 4, 3, 5, 3, 7, 3, 3, 5, 7, 3, 6, 2, 6, 4]","[7, 2, 4, 7, 4, 3, 5, 3, 7, 3, 5, 7, 3, 6]","[0, 45, 120, 165, 225, 285, 330, 360, 420, 495, 540, 570, 645, 675]"
2022-07-15,5,4246.0,598,"[4, 0, 3, 3, 5, 1, 3, 4, 4, 2, 2, 0]","[4, 0, 3, 5, 1, 3, 4, 2, 0]","[0, 30, 150, 210, 255, 345, 405, 450, 510]"
2022-07-15,7,6133.0,720,"[2, 6, 7, 4, 2, 3, 4, 2, 3, 5, 0, 1, 7, 4, 3, 6, 2, 0, 7]","[2, 6, 7, 4, 2, 3, 4, 2, 3, 5, 0, 1, 7]","[0, 30, 60, 120, 165, 240, 300, 345, 420, 465, 495, 585, 660]"
2022-07-15,7,6580.0,712,"[2, 7, 4, 4, 6, 1, 5, 7, 7, 4, 5, 0, 4, 4, 5, 4, 4, 2, 5, 3]","[2, 7, 4, 6, 1, 5, 7, 4, 5, 0, 4, 5, 4, 2]","[0, 30, 75, 135, 195, 270, 300, 375, 405, 435, 525, 570, 615, 630]"
