日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-22,6608,673,"[0, 4, 6, 4, 5, 7, 2, 4, 2, 7, 2, 3, 5, 5, 4]","[0, 4, 6, 4, 5, 7, 2, 4, 2, 7, 2, 3, 5, 4]","[0, 30, 90, 150, 195, 240, 300, 360, 405, 450, 510, 570, 630, 660]"
2023-07-22,6501,673,"[3, 5, 5, 6, 4, 3, 5, 5, 3, 5, 7, 6, 5, 3, 5, 2]","[3, 5, 6, 4, 3, 5, 3, 5, 7, 6, 5, 3, 5, 2]","[0, 30, 60, 90, 150, 225, 270, 330, 390, 465, 510, 555, 615, 645]"
2023-07-22,6989,669,"[5, 5, 7, 2, 6, 5, 4, 5, 4, 2, 5, 5, 4, 3, 5, 4, 5, 5]","[5, 7, 2, 6, 5, 4, 5, 4, 2, 5, 4, 3, 5, 4, 5]","[0, 30, 90, 150, 210, 255, 300, 345, 405, 450, 495, 525, 585, 630, 645]"
2023-07-22,6537,675,"[1, 5, 6, 2, 2, 6, 4, 5, 2, 6, 2, 4, 4, 4, 3, 6, 2]","[1, 5, 6, 2, 6, 4, 5, 2, 6, 2, 4, 3, 6, 2]","[0, 30, 60, 105, 165, 225, 270, 315, 375, 435, 495, 540, 585, 645]"
2023-07-22,6587,669,"[4, 5, 2, 6, 6, 6, 3, 2, 7, 4, 6, 4, 2, 3, 4, 5]","[4, 5, 2, 6, 3, 2, 7, 4, 6, 4, 2, 3, 4, 5]","[0, 30, 60, 120, 165, 240, 300, 375, 420, 480, 525, 570, 615, 660]"
