日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-07,8942,665,"[5, 7, 4, 2, 5, 4, 1, 3, 4, 3, 4, 5, 0, 1, 4, 3, 6, 3, 4, 0]","[5, 7, 4, 2, 5, 4, 1, 3, 4, 3, 4, 5, 0, 1, 4, 3, 6, 3, 4]","[0, 30, 75, 90, 150, 180, 210, 255, 285, 315, 345, 375, 390, 450, 510, 525, 555, 615, 645]"
2022-07-07,8005,656,"[3, 4, 7, 3, 4, 2, 5, 4, 0, 5, 2, 0, 3, 5, 4, 1, 3]","[3, 4, 7, 3, 4, 2, 5, 4, 0, 5, 2, 0, 3, 5, 4, 1, 3]","[0, 45, 75, 135, 180, 210, 255, 285, 315, 375, 390, 450, 510, 540, 555, 585, 630]"
2022-07-07,8417,652,"[3, 2, 3, 2, 4, 5, 3, 5, 4, 1, 4, 2, 5, 0, 5, 4, 6, 6, 5]","[3, 2, 3, 2, 4, 5, 3, 5, 4, 1, 4, 2, 5, 0, 5, 4, 6, 5]","[0, 45, 105, 150, 210, 225, 255, 285, 300, 345, 390, 420, 450, 480, 540, 555, 585, 630]"
2022-07-07,8926,649,"[6, 4, 3, 4, 2, 5, 3, 2, 5, 3, 4, 3, 2, 3, 2, 3, 2, 5, 5, 3]","[6, 4, 3, 4, 2, 5, 3, 2, 5, 3, 4, 3, 2, 3, 2, 3, 2, 5, 3]","[0, 45, 75, 105, 120, 180, 210, 240, 285, 315, 345, 375, 420, 450, 480, 525, 555, 600, 630]"
2022-07-07,7967,667,"[6, 2, 6, 1, 4, 5, 3, 0, 1, 4, 5, 5, 1, 4, 3, 6, 4, 3, 0]","[6, 2, 6, 1, 4, 5, 3, 0, 1, 4, 5, 1, 4, 3, 6, 4, 3]","[0, 45, 105, 165, 210, 240, 270, 300, 360, 405, 435, 450, 510, 525, 555, 630, 645]"
