日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-01,7057,657,"[4, 2, 4, 6, 5, 3, 7, 5, 3, 4, 4, 3, 3, 4, 2, 4, 5]","[4, 2, 4, 6, 5, 3, 7, 5, 3, 4, 3, 4, 2, 4, 5]","[0, 30, 90, 135, 195, 210, 255, 315, 375, 450, 480, 540, 570, 615, 630]"
2023-07-01,7059,672,"[4, 2, 6, 4, 3, 5, 3, 4, 4, 2, 7, 3, 6, 4, 2, 5]","[4, 2, 6, 4, 3, 5, 3, 4, 2, 7, 3, 6, 4, 2, 5]","[0, 30, 90, 150, 195, 225, 255, 315, 360, 420, 480, 540, 600, 615, 660]"
2023-07-01,6936,658,"[3, 5, 5, 6, 5, 6, 5, 5, 6, 5, 5, 2, 7, 2, 5, 2, 5, 3]","[3, 5, 6, 5, 6, 5, 6, 5, 2, 7, 2, 5, 2, 5, 3]","[0, 30, 60, 105, 120, 180, 195, 255, 285, 360, 420, 465, 525, 555, 600]"
2023-07-01,6958,672,"[4, 5, 1, 3, 5, 3, 3, 3, 6, 4, 6, 5, 5, 2, 5, 6, 5, 2]","[4, 5, 1, 3, 5, 3, 6, 4, 6, 5, 2, 5, 6, 5, 2]","[0, 30, 60, 180, 195, 210, 255, 315, 360, 420, 465, 510, 555, 615, 645]"
2023-07-01,7430,675,"[1, 5, 6, 6, 5, 6, 3, 2, 2, 3, 4, 2, 6, 5, 4, 5, 3, 5]","[1, 5, 6, 5, 6, 3, 2, 3, 4, 2, 6, 5, 4, 5, 3, 5]","[0, 30, 60, 105, 120, 180, 195, 255, 330, 375, 420, 465, 510, 555, 600, 660]"
2023-07-01,6594,666,"[7, 2, 4, 5, 3, 5, 4, 2, 6, 2, 2, 3, 3, 4, 0, 3]","[7, 2, 4, 5, 3, 5, 4, 2, 6, 2, 3, 4, 0, 3]","[0, 45, 105, 150, 165, 180, 210, 255, 315, 360, 420, 480, 525, 645]"
2023-07-01,7470,671,"[4, 4, 5, 2, 5, 5, 3, 5, 3, 1, 5, 4, 3, 7, 2, 3, 5, 2, 2, 0]","[4, 5, 2, 5, 3, 5, 3, 1, 5, 4, 3, 7, 2, 3, 5, 2]","[0, 30, 60, 120, 135, 150, 165, 195, 270, 330, 375, 450, 525, 555, 630, 645]"
2023-07-01,7057,665,"[2, 5, 7, 3, 5, 3, 7, 2, 4, 7, 3, 2, 5, 5, 4, 4, 3]","[2, 5, 7, 3, 5, 3, 7, 2, 4, 7, 3, 2, 5, 4, 3]","[0, 30, 60, 135, 150, 165, 180, 255, 300, 345, 420, 480, 540, 585, 615]"
2023-07-01,7478,666,"[5, 4, 5, 4, 4, 4, 5, 4, 2, 4, 5, 4, 4, 6, 5, 3, 4, 5, 4]","[5, 4, 5, 4, 5, 4, 2, 4, 5, 4, 6, 5, 3, 4, 5, 4]","[0, 30, 75, 90, 135, 165, 210, 270, 315, 375, 420, 480, 525, 585, 630, 645]"
2023-07-01,6548,653,"[2, 5, 4, 2, 6, 1, 2, 5, 4, 4, 2, 6, 2, 5, 5, 4]","[2, 5, 4, 2, 6, 1, 2, 5, 4, 2, 6, 2, 5, 4]","[0, 30, 60, 120, 165, 225, 315, 375, 435, 465, 510, 570, 600, 630]"
