日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-24,6602,663,"[5, 5, 6, 2, 3, 2, 0, 1, 4, 4, 4, 2, 2, 3, 2, 4, 3, 4]","[5, 6, 2, 3, 2, 0, 1, 4, 2, 3, 2, 4, 3, 4]","[0, 30, 60, 150, 165, 255, 315, 375, 405, 450, 510, 555, 600, 645]"
2022-07-24,7477,669,"[6, 4, 3, 1, 3, 4, 4, 1, 5, 1, 6, 6, 5, 3, 5, 3, 3, 4, 0]","[6, 4, 3, 1, 3, 4, 1, 5, 1, 6, 5, 3, 5, 3, 4, 0]","[0, 45, 60, 105, 195, 210, 270, 330, 375, 450, 495, 525, 555, 585, 630, 660]"
2022-07-24,7031,662,"[5, 5, 3, 4, 3, 2, 2, 5, 4, 2, 2, 4, 5, 5, 1, 5, 7, 3, 7]","[5, 3, 4, 3, 2, 5, 4, 2, 4, 5, 1, 5, 7, 3, 7]","[0, 30, 90, 120, 135, 210, 255, 300, 360, 375, 405, 480, 495, 555, 600]"
2022-07-24,7480,674,"[6, 7, 4, 2, 3, 4, 5, 6, 5, 2, 1, 5, 2, 5, 4, 0]","[6, 7, 4, 2, 3, 4, 5, 6, 5, 2, 1, 5, 2, 5, 4, 0]","[0, 45, 90, 105, 180, 195, 240, 285, 345, 390, 435, 510, 555, 615, 630, 660]"
2022-07-24,7062,660,"[3, 4, 5, 3, 4, 2, 3, 5, 3, 4, 2, 4, 3, 5, 4, 4]","[3, 4, 5, 3, 4, 2, 3, 5, 3, 4, 2, 4, 3, 5, 4]","[0, 75, 90, 135, 165, 210, 270, 315, 360, 405, 450, 510, 570, 600, 645]"
2022-07-24,7894,651,"[5, 6, 4, 5, 3, 6, 6, 2, 5, 4, 7, 3, 5, 3, 6, 6, 5, 3, 5]","[5, 6, 4, 5, 3, 6, 2, 5, 4, 7, 3, 5, 3, 6, 5, 3, 5]","[0, 30, 60, 90, 135, 150, 210, 270, 300, 315, 390, 450, 480, 525, 570, 615, 630]"
2022-07-24,7077,674,"[7, 4, 7, 4, 4, 3, 1, 5, 2, 7, 4, 6, 0, 0, 5, 4, 4, 3]","[7, 4, 7, 4, 3, 1, 5, 2, 7, 4, 6, 0, 5, 4, 3]","[0, 45, 75, 135, 165, 180, 240, 285, 330, 405, 435, 510, 585, 615, 645]"
2022-07-24,7471,670,"[5, 7, 4, 6, 1, 5, 5, 7, 4, 3, 3, 2, 4, 5, 3, 5, 3, 5, 0]","[5, 7, 4, 6, 1, 5, 7, 4, 3, 2, 4, 5, 3, 5, 3, 5]","[0, 30, 75, 90, 165, 225, 270, 330, 345, 405, 465, 510, 555, 600, 630, 660]"
2022-07-24,7048,658,"[4, 6, 3, 4, 5, 4, 5, 7, 4, 2, 5, 3, 2, 7, 1]","[4, 6, 3, 4, 5, 4, 5, 7, 4, 2, 5, 3, 2, 7, 1]","[0, 45, 90, 105, 120, 165, 225, 255, 315, 345, 405, 435, 480, 540, 600]"
2022-07-24,6617,609,"[7, 4, 3, 4, 5, 4, 5, 5, 7, 4, 6, 2, 4, 7, 2]","[7, 4, 3, 4, 5, 4, 5, 7, 4, 6, 2, 4, 7, 2]","[0, 45, 75, 90, 105, 165, 210, 255, 315, 330, 390, 450, 495, 555]"
