日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-10,8,5180.0,714,"[6, 3, 7, 4, 5, 3, 6, 2, 4, 4, 2, 7, 1, 0, 2, 1, 4, 5, 3, 0]","[6, 3, 7, 4, 5, 3, 6, 2, 4, 2, 7]","[0, 45, 135, 210, 270, 315, 375, 450, 525, 570, 660]"
2022-07-10,8,5628.0,707,"[5, 3, 6, 4, 1, 6, 3, 5, 4, 2, 4, 0, 0, 4, 3, 3, 7, 0, 6]","[5, 3, 6, 4, 1, 6, 3, 5, 4, 2, 4, 4]","[0, 30, 120, 180, 240, 330, 405, 465, 525, 570, 660, 690]"
2022-07-10,3,5174.0,713,"[3, 7, 4, 7, 5, 7, 3, 5, 6, 2, 7, 4, 6]","[3, 7, 4, 7, 5, 7, 3, 5, 6, 2, 7]","[0, 90, 150, 210, 270, 330, 405, 465, 510, 585, 660]"
2022-07-10,5,5640.0,706,"[4, 7, 3, 6, 4, 7, 5, 2, 4, 4, 4, 6, 5, 2, 0, 4]","[4, 7, 3, 6, 4, 7, 5, 2, 4, 6, 5, 2]","[0, 60, 120, 195, 255, 300, 375, 420, 495, 540, 600, 630]"
2022-07-10,5,6090.0,710,"[3, 7, 4, 3, 5, 7, 4, 5, 6, 5, 3, 3, 4, 6, 3, 4]","[3, 7, 4, 3, 5, 7, 4, 5, 6, 5, 3, 4, 6]","[0, 90, 150, 210, 285, 330, 405, 450, 495, 555, 600, 645, 675]"
2022-07-10,3,4736.0,627,"[7, 4, 4, 6, 4, 4, 7, 2, 2, 6, 3, 3, 2, 4]","[7, 4, 6, 4, 7, 2, 6, 3, 2, 4]","[0, 45, 120, 180, 225, 300, 390, 450, 510, 600]"
2022-07-10,7,4248.0,555,"[2, 4, 5, 4, 7, 7, 5, 4, 2, 4]","[2, 4, 5, 4, 7, 5, 4, 2, 4]","[0, 105, 165, 210, 270, 345, 390, 435, 510]"
2022-07-10,3,5157.0,724,"[6, 5, 5, 4, 6, 4, 3, 7, 1, 4, 5, 0, 4, 4, 2]","[6, 5, 4, 6, 4, 3, 7, 1, 4, 5, 0]","[0, 45, 105, 165, 225, 285, 345, 420, 510, 555, 600]"
2022-07-10,8,4257.0,714,"[1, 6, 3, 7, 4, 0, 4, 2, 3, 4, 5, 0, 2, 3, 6, 7, 3, 4, 5, 0]","[1, 6, 3, 7, 4, 0, 4, 2, 3]","[0, 165, 225, 300, 375, 435, 540, 585, 675]"
2022-07-10,8,5615.0,714,"[7, 4, 6, 6, 3, 5, 2, 2, 6, 3, 5, 5, 4, 2, 6, 0, 2]","[7, 4, 6, 3, 5, 2, 6, 3, 5, 4, 2, 6]","[0, 45, 120, 180, 240, 300, 375, 450, 510, 555, 600, 690]"
2022-07-10,3,6076.0,686,"[7, 5, 4, 7, 4, 7, 5, 6, 6, 5, 6, 5, 5, 4, 4, 3, 1]","[7, 5, 4, 7, 4, 7, 5, 6, 5, 6, 5, 4, 3]","[0, 45, 105, 165, 225, 285, 360, 405, 465, 510, 570, 615, 645]"
2022-07-10,5,5168.0,710,"[4, 5, 3, 6, 4, 7, 7, 6, 7, 4, 6, 1, 2, 4]","[4, 5, 3, 6, 4, 7, 6, 7, 4, 6, 1]","[0, 60, 120, 180, 255, 300, 375, 435, 510, 555, 630]"
2022-07-10,5,5201.0,743,"[6, 6, 6, 6, 4, 5, 2, 7, 7, 4, 7, 3, 0, 1, 2, 7, 6, 1, 3, 6]","[6, 4, 5, 2, 7, 4, 7, 3, 0, 2, 7]","[0, 45, 105, 165, 255, 345, 405, 480, 555, 675, 690]"
2022-07-10,5,5168.0,737,"[6, 5, 3, 3, 4, 7, 4, 0, 5, 5, 4, 6, 0, 2, 2, 5]","[6, 5, 3, 4, 7, 4, 0, 5, 4, 6, 0]","[0, 45, 105, 165, 225, 300, 345, 465, 525, 570, 630]"
2022-07-10,3,5614.0,714,"[7, 4, 4, 3, 2, 5, 3, 5, 7, 5, 4, 2, 5, 6, 2, 7]","[7, 4, 3, 2, 5, 3, 5, 7, 5, 4, 2, 5]","[0, 45, 120, 180, 270, 315, 390, 435, 510, 555, 600, 690]"
2022-07-10,5,4265.0,624,"[7, 4, 4, 3, 4, 2, 0, 2, 3, 6]","[7, 4, 3, 4, 2, 0, 2, 3, 6]","[0, 45, 120, 180, 240, 315, 420, 495, 570]"
2022-07-10,4,5191.0,714,"[7, 4, 3, 3, 2, 7, 4, 3, 6, 4, 5, 1, 1, 2, 4, 3, 4, 1, 6, 1]","[7, 4, 3, 2, 7, 4, 3, 6, 4, 5, 1]","[0, 45, 120, 180, 270, 345, 405, 465, 540, 585, 630]"
2022-07-10,3,4724.0,707,"[0, 6, 4, 3, 4, 5, 3, 7, 2, 4, 3, 0, 4, 1, 5]","[0, 6, 4, 3, 4, 5, 3, 7, 2, 4]","[0, 180, 240, 300, 360, 420, 465, 525, 600, 690]"
2022-07-10,4,5609.0,716,"[6, 5, 6, 5, 5, 3, 3, 0, 7, 4, 3, 2, 4, 1, 5, 2, 1]","[6, 5, 6, 5, 3, 0, 7, 4, 3, 2, 4, 5]","[0, 45, 105, 180, 225, 300, 420, 495, 540, 600, 675, 705]"
2022-07-10,8,5190.0,675,"[4, 3, 7, 7, 6, 3, 7, 3, 2, 2, 3, 4, 5]","[4, 3, 7, 6, 3, 7, 3, 2, 3, 4, 5]","[0, 60, 135, 210, 270, 345, 420, 480, 555, 615, 645]"
2022-07-10,3,5208.0,706,"[7, 6, 4, 7, 7, 5, 7, 4, 7, 3, 2, 7, 7, 1, 2]","[7, 6, 4, 7, 5, 7, 4, 7, 3, 2, 7]","[0, 45, 90, 150, 225, 285, 345, 420, 495, 555, 660]"
2022-07-10,10,5190.0,713,"[0, 6, 6, 4, 3, 7, 6, 4, 7, 3, 4, 5, 6, 2, 3, 2, 0, 0]","[0, 6, 4, 3, 7, 6, 4, 7, 3, 4, 5]","[0, 180, 240, 300, 360, 420, 480, 525, 600, 660, 690]"
2022-07-10,4,5205.0,686,"[7, 4, 7, 7, 2, 7, 2, 2, 4, 5, 4, 3, 6]","[7, 4, 7, 2, 7, 2, 4, 5, 4, 3, 6]","[0, 45, 120, 180, 270, 330, 420, 480, 525, 570, 630]"
2022-07-10,4,4756.0,727,"[3, 0, 6, 4, 2, 7, 4, 7, 4, 4, 7, 4, 1, 4, 1, 0, 1, 2, 4, 0]","[3, 0, 6, 4, 2, 7, 4, 7, 4, 7]","[0, 90, 240, 300, 360, 435, 510, 555, 630, 675]"
2022-07-10,4,4735.0,714,"[3, 7, 2, 7, 7, 0, 3, 3, 4, 3, 3, 2, 6, 0, 2, 6]","[3, 7, 2, 7, 0, 3, 4, 3, 2, 6]","[0, 90, 150, 240, 330, 435, 495, 540, 600, 690]"
2022-07-10,8,4237.0,533,"[5, 7, 3, 4, 4, 3, 5, 4, 2, 7, 7]","[5, 7, 3, 4, 3, 5, 4, 2, 7]","[0, 30, 75, 150, 210, 285, 330, 390, 480]"
2022-07-10,4,5616.0,722,"[5, 5, 4, 5, 2, 2, 3, 4, 5, 7, 4, 5, 2, 3, 4, 5, 3, 6, 5, 3]","[5, 4, 5, 2, 3, 4, 5, 7, 4, 5, 2, 3]","[0, 30, 90, 150, 240, 315, 375, 435, 510, 555, 600, 675]"
2022-07-10,6,5197.0,706,"[3, 6, 7, 4, 7, 5, 2, 1, 4, 4, 7, 4, 4, 5, 4, 1, 4, 2, 3, 0]","[3, 6, 7, 4, 7, 5, 2, 1, 4, 7, 4]","[0, 90, 150, 225, 270, 345, 405, 480, 570, 615, 690]"
2022-07-10,2,5167.0,711,"[7, 3, 7, 6, 2, 6, 7, 5, 2, 4, 6, 6, 1, 0, 7, 3, 5, 2, 5, 6]","[7, 3, 7, 6, 2, 6, 7, 5, 2, 4, 6]","[0, 45, 135, 210, 285, 375, 435, 510, 555, 645, 675]"
