日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-15,5202,666,"[5, 4, 7, 3, 4, 2, 4, 4, 4, 2, 6, 4, 2]","[5, 4, 7, 3, 4, 2, 4, 2, 6, 4, 2]","[0, 30, 60, 135, 210, 285, 360, 405, 465, 525, 600]"
2023-08-15,5160,643,"[4, 5, 7, 6, 5, 4, 2, 2, 7, 2, 2, 3, 6]","[4, 5, 7, 6, 5, 4, 2, 7, 2, 3, 6]","[0, 30, 60, 135, 195, 240, 300, 375, 450, 525, 585]"
2023-08-15,5167,644,"[5, 4, 6, 7, 4, 6, 7, 2, 5, 4, 4, 3, 3]","[5, 4, 6, 7, 4, 6, 7, 2, 5, 4, 3]","[0, 30, 60, 120, 195, 270, 330, 390, 465, 510, 585]"
2023-08-15,5582,675,"[4, 5, 6, 5, 6, 7, 5, 6, 2, 7, 6, 2]","[4, 5, 6, 5, 6, 7, 5, 6, 2, 7, 6, 2]","[0, 30, 60, 120, 180, 240, 300, 360, 420, 480, 555, 615]"
2023-08-15,5615,667,"[5, 4, 6, 5, 2, 4, 7, 4, 2, 6, 5, 2]","[5, 4, 6, 5, 2, 4, 7, 4, 2, 6, 5, 2]","[0, 30, 60, 120, 180, 255, 300, 360, 405, 480, 540, 600]"
