日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-16,5605,651,"[1, 6, 1, 7, 6, 5, 4, 3, 4, 6, 6, 5, 7]","[1, 6, 1, 7, 6, 5, 4, 3, 4, 6, 5, 7]","[0, 30, 60, 90, 180, 255, 270, 345, 375, 450, 510, 585]"
2023-08-16,5182,605,"[1, 2, 4, 0, 1, 3, 2, 7, 6, 6, 7, 6, 6, 6]","[1, 2, 4, 0, 1, 3, 2, 7, 6, 7, 6]","[0, 30, 135, 210, 225, 255, 270, 345, 390, 480, 555]"
2023-08-16,5197,654,"[6, 4, 7, 4, 2, 0, 0, 4, 3, 5, 5, 1, 4]","[6, 4, 7, 4, 2, 0, 4, 3, 5, 1, 4]","[0, 45, 135, 210, 225, 255, 270, 345, 360, 450, 585]"
2023-08-16,4717,662,"[5, 2, 7, 7, 4, 4, 4, 3, 7, 0, 7, 5, 7, 0]","[5, 2, 7, 4, 3, 7, 0, 7, 5, 7]","[0, 30, 135, 210, 225, 240, 315, 435, 510, 585]"
2023-08-16,5667,670,"[4, 6, 1, 3, 4, 2, 4, 4, 3, 3, 7, 3, 2, 6]","[4, 6, 1, 3, 4, 2, 4, 3, 7, 3, 2, 6]","[0, 45, 75, 105, 210, 225, 255, 270, 360, 435, 525, 630]"
2023-08-16,5147,667,"[6, 4, 7, 6, 1, 6, 1, 2, 5, 7, 2, 1]","[6, 4, 7, 6, 1, 6, 1, 2, 5, 7, 2]","[0, 45, 135, 210, 255, 270, 345, 375, 450, 525, 600]"
2023-08-16,5217,664,"[5, 2, 2, 7, 4, 0, 2, 4, 7, 7, 7, 0, 2, 7, 7]","[5, 2, 7, 4, 0, 2, 4, 7, 0, 2, 7]","[0, 30, 135, 210, 225, 255, 270, 345, 390, 510, 585]"
2023-08-16,5182,619,"[1, 7, 1, 7, 5, 0, 4, 7, 4, 5, 7, 7]","[1, 7, 1, 7, 5, 0, 4, 7, 4, 5, 7]","[0, 30, 90, 120, 195, 255, 285, 345, 390, 480, 555]"
2023-08-16,5189,661,"[6, 4, 7, 2, 0, 1, 2, 3, 6, 7, 3]","[6, 4, 7, 2, 0, 1, 2, 3, 6, 7, 3]","[0, 45, 135, 210, 225, 255, 270, 360, 450, 495, 585]"
2023-08-16,5604,675,"[5, 5, 6, 7, 6, 1, 5, 4, 4, 1, 4, 4, 7, 4, 5]","[5, 6, 7, 6, 1, 5, 4, 1, 4, 7, 4, 5]","[0, 30, 60, 165, 225, 255, 270, 345, 375, 450, 525, 615]"
