日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-02,6131,646,"[1, 4, 5, 3, 4, 4, 6, 3, 7, 4, 3, 3, 3, 4, 6, 7]","[1, 4, 5, 3, 4, 6, 3, 7, 4, 3, 4, 6, 7]","[0, 30, 75, 120, 180, 225, 300, 345, 420, 450, 495, 525, 585]"
2022-07-02,6615,673,"[1, 7, 7, 4, 6, 3, 7, 4, 4, 5, 1, 4, 3, 4, 3, 4]","[1, 7, 4, 6, 3, 7, 4, 5, 1, 4, 3, 4, 3, 4]","[0, 30, 75, 135, 210, 270, 330, 390, 420, 510, 555, 585, 615, 660]"
2022-07-02,6589,643,"[1, 5, 4, 2, 4, 2, 3, 5, 5, 4, 3, 3, 7, 4, 5, 4]","[1, 5, 4, 2, 4, 2, 3, 5, 4, 3, 7, 4, 5, 4]","[0, 30, 60, 120, 195, 240, 300, 360, 390, 450, 480, 555, 600, 630]"
2022-07-02,6571,675,"[5, 4, 3, 4, 3, 6, 2, 5, 5, 4, 0, 4, 5, 5, 4, 6]","[5, 4, 3, 4, 3, 6, 2, 5, 4, 0, 4, 5, 4, 6]","[0, 30, 60, 135, 195, 240, 300, 375, 420, 450, 570, 600, 615, 645]"
2022-07-02,6518,655,"[1, 5, 7, 5, 0, 6, 5, 6, 3, 4, 4, 1, 3, 5, 4]","[1, 5, 7, 5, 0, 6, 5, 6, 3, 4, 1, 3, 5, 4]","[0, 30, 60, 105, 150, 270, 330, 375, 435, 480, 495, 570, 615, 645]"
2022-07-02,6577,672,"[1, 1, 5, 7, 4, 1, 5, 7, 4, 3, 3, 5, 4, 7, 2, 3]","[1, 5, 7, 4, 1, 5, 7, 4, 3, 5, 4, 7, 2, 3]","[0, 30, 60, 105, 165, 255, 300, 375, 420, 465, 495, 510, 570, 645]"
2022-07-02,6553,619,"[4, 4, 5, 6, 6, 4, 5, 3, 6, 2, 4, 5, 4, 7, 4, 5, 5]","[4, 5, 6, 4, 5, 3, 6, 2, 4, 5, 4, 7, 4, 5]","[0, 30, 60, 105, 165, 195, 255, 315, 390, 435, 480, 495, 555, 600]"
2022-07-02,6553,674,"[5, 4, 2, 5, 4, 6, 4, 5, 6, 5, 4, 3, 7, 4]","[5, 4, 2, 5, 4, 6, 4, 5, 6, 5, 4, 3, 7, 4]","[0, 30, 60, 165, 210, 255, 315, 375, 420, 480, 510, 555, 600, 660]"
2022-07-02,6555,670,"[4, 7, 4, 4, 4, 4, 5, 2, 7, 5, 4, 3, 1, 6, 5, 4, 5]","[4, 7, 4, 5, 2, 7, 5, 4, 3, 1, 6, 5, 4, 5]","[0, 30, 75, 135, 180, 255, 315, 375, 420, 465, 540, 600, 615, 645]"
2022-07-02,6580,668,"[4, 5, 5, 4, 2, 2, 3, 6, 3, 5, 2, 4, 3, 6, 4, 3]","[4, 5, 4, 2, 3, 6, 3, 5, 2, 4, 3, 6, 4, 3]","[0, 30, 60, 120, 195, 255, 315, 375, 420, 480, 510, 555, 615, 630]"
