日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-08-18,5639,637,"[6, 5, 7, 5, 5, 2, 2, 4, 3, 7, 4, 3, 4, 6, 6]","[6, 5, 7, 5, 2, 4, 3, 7, 4, 3, 4, 6]","[0, 45, 60, 120, 135, 240, 300, 360, 435, 480, 540, 585]"
2022-08-18,6610,662,"[2, 6, 4, 5, 4, 6, 4, 6, 7, 7, 4, 3, 4, 3, 4, 4, 1, 1]","[2, 6, 4, 5, 4, 6, 4, 6, 7, 4, 3, 4, 3, 4]","[0, 30, 60, 135, 150, 210, 255, 315, 360, 435, 480, 540, 585, 630]"
2022-08-18,6108,675,"[2, 6, 5, 4, 6, 4, 5, 5, 4, 4, 3, 4, 3, 1, 4, 4]","[2, 6, 5, 4, 6, 4, 5, 4, 3, 4, 3, 1, 4]","[0, 30, 60, 90, 150, 210, 270, 315, 390, 450, 495, 555, 645]"
2022-08-18,6108,600,"[2, 5, 7, 7, 4, 5, 6, 6, 7, 6, 4, 3, 4, 6, 4]","[2, 5, 7, 4, 5, 6, 7, 6, 4, 3, 4, 6, 4]","[0, 30, 45, 90, 150, 165, 225, 300, 360, 405, 465, 510, 570]"
2022-08-18,6486,669,"[5, 6, 5, 5, 4, 5, 7, 6, 4, 3, 3, 6, 6, 5, 6, 3, 3, 5]","[5, 6, 5, 4, 5, 7, 6, 4, 3, 6, 5, 6, 3, 5]","[0, 30, 60, 90, 150, 165, 240, 285, 345, 420, 465, 525, 585, 630]"
